114,10/1/2021,274,0.19, ,0, ,496,R,11.0, ,93.2, ,47.8, ,65.2, ,96, ,13, ,52, ,47.1, ,4.4, ,106.4, ,60.3, 
114,10/2/2021,275,0.18, ,0, ,481, ,11.1, ,95.6, ,48.4, ,65.2, ,97, ,13, ,52, ,47.4, ,4.2, ,99.7, ,62.3, 
114,10/3/2021,276,0.19, ,0, ,452, ,10.4, ,97.2, ,49.3, ,67.2, ,88, ,14, ,46, ,45.7, ,3.8, ,91.6, ,63.4, 
114,10/4/2021,277,0.16, ,0, ,396, ,11.4, ,90.1, ,53.3, ,66.1, ,99, ,19, ,52, ,48.0, ,4.1, ,99.4, ,64.1, 
114,10/5/2021,278,0.14, ,0, ,424, ,15.5, ,77.4, ,52.3, ,61.5, ,100, ,52, ,83, ,56.3, ,5.6, ,135.0, ,64.7, 
114,10/6/2021,279,0.15, ,0, ,428, ,13.8, ,73.3, ,52.0, ,60.8, ,95, ,62, ,76, ,53.1, ,6.3, ,150.5, ,63.9, 
114,10/7/2021,280,0.13, ,0, ,427, ,11.9, ,71.8, ,46.5, ,56.6, ,97, ,42, ,76, ,49.1, ,5.5, ,131.8, ,61.6, 
114,10/8/2021,281,0.15, ,0, ,468,R,10.8, ,67.7, ,45.4, ,57.2, ,90, ,40, ,68, ,46.6, ,5.7, ,137.3, ,60.7, 
114,10/9/2021,282,0.15, ,0, ,458, ,10.7, ,76.8, ,43.2, ,58.0, ,90, ,32, ,65, ,46.3, ,4.3, ,102.5, ,59.9, 
114,10/10/2021,283,0.16, ,0, ,452, ,11.4, ,79.6, ,43.2, ,59.3, ,93, ,34, ,66, ,48.1, ,5.6, ,134.7, ,60.3, 
114,10/11/2021,284,0.18, ,0, ,449, ,9.4, ,69.0, ,49.3, ,58.2, ,91, ,25, ,57, ,43.0, ,9.4,R,225.8,R,59.5, 
114,10/12/2021,285,0.18, ,0, ,458,R,6.3,Y,70.9, ,38.8, ,56.2, ,80, ,21, ,41,Y,32.7,Y,6.4, ,153.7, ,56.9, 
114,10/13/2021,286,0.13, ,0, ,417, ,9.5, ,71.7, ,32.6,Y,52.8, ,96, ,31, ,70, ,43.2, ,5.4, ,130.6, ,56.1,Y
114,10/14/2021,287,0.15, ,0, ,439, ,10.5, ,78.4, ,43.0, ,57.6, ,100, ,25, ,65, ,45.8, ,4.0, ,96.0, ,58.3, 
114,10/15/2021,288,0.17, ,0, ,448,R,8.0, ,86.8, ,42.8, ,63.0, ,77, ,15, ,41, ,38.7, ,4.0, ,95.9, ,58.1, 
114,10/16/2021,289,0.17, ,0, ,448,R,7.3, ,89.1, ,44.3, ,63.5, ,68, ,11, ,36, ,36.3, ,4.0, ,96.1, ,57.3, 
114,10/17/2021,290,0.14, ,0, ,408, ,9.3, ,73.9, ,42.2, ,56.8, ,85, ,25, ,59, ,42.5, ,5.2, ,125.4, ,57.4, 
114,10/18/2021,291,0.13, ,0, ,426, ,10.3, ,66.5, ,40.4, ,53.9, ,94, ,43, ,72, ,45.2, ,4.6, ,111.3, ,57.8, 
114,10/19/2021,292,0.13, ,0, ,408, ,9.5, ,74.3, ,38.5, ,55.0, ,94, ,28, ,64, ,43.2, ,4.5, ,107.1, ,56.7, 
114,10/20/2021,293,0.12, ,0, ,279, ,11.4, ,76.4, ,56.0,Y,63.1, ,89, ,35, ,58, ,48.1, ,5.2, ,124.8, ,58.5, 
114,10/21/2021,294,0.11, ,0, ,342, ,16.7, ,78.4, ,55.3, ,64.4, ,98, ,57, ,81, ,58.3, ,4.5, ,108.6, ,61.6, 
114,10/22/2021,295,0.05, ,0, ,184, ,16.0, ,65.9, ,52.6, ,59.8, ,100, ,77, ,91, ,57.2, ,5.2, ,125.0, ,61.7, 
114,10/23/2021,296,0.10, ,0, ,340, ,12.3, ,69.8, ,47.7, ,57.4, ,96, ,57, ,77, ,50.1, ,4.1, ,98.3, ,59.8, 
114,10/24/2021,297,0.08, ,0, ,195, ,15.5, ,74.2, ,55.7,Y,63.1, ,94, ,66, ,78, ,56.3, ,9.1,R,217.4,R,59.8, 
114,10/25/2021,298,0.09, ,0.01, ,323, ,13.8, ,65.2, ,47.8, ,58.2, ,99, ,57, ,83, ,53.2, ,4.8, ,115.2, ,60.8, 
114,10/26/2021,299,0.11, ,0.01, ,383, ,11.6, ,70.2, ,43.6, ,56.4, ,96, ,52, ,75, ,48.6, ,4.4, ,104.5, ,58.5, 
114,10/27/2021,300,0.11, ,0, ,363, ,14.9, ,77.3, ,47.4, ,60.5, ,99, ,58, ,83, ,55.2, ,4.2, ,100.2, ,59.1, 
114,10/28/2021,301,0.12, ,0.00, ,359, ,15.8, ,86.4, ,50.9, ,64.9, ,99, ,38, ,75, ,56.8, ,3.3, ,79.4, ,61.0, 
114,10/29/2021,302,0.12, ,0, ,361, ,15.9, ,80.5, ,52.3, ,64.7, ,98, ,48, ,76, ,57.1, ,4.5, ,109.0, ,62.2, 
114,10/30/2021,303,0.06, ,0.01, ,209, ,16.5,Y,70.4, ,52.3, ,60.0, ,100, ,75, ,93,Y,58.1,Y,5.1, ,121.6, ,61.7, 
114,10/31/2021,304,0.09, ,0, ,313, ,13.8, ,71.3, ,53.2, ,60.4, ,95, ,53, ,77, ,53.1, ,3.8, ,92.0, ,61.7, 
