152,10/1/2021,274,0.17,R,0, ,505, ,11.4, ,81.6, ,49.5, ,65.8, ,88, ,25, ,52, ,47.9, ,2.9, ,69.3, ,61.8,Y
152,10/2/2021,275,0.17, ,0.03, ,493, ,13.0, ,82.4, ,47.8, ,64.1, ,99, ,34, ,64, ,51.6, ,2.9, ,69.7, ,62.5,Y
152,10/3/2021,276,0.18, ,0, ,487, ,11.0, ,86.5, ,50.0, ,67.0, ,80, ,27, ,49, ,47.1, ,2.9, ,68.7, ,62.4,Y
152,10/4/2021,277,0.15, ,0.07, ,386, ,12.5, ,83.5, ,51.2, ,69.3, ,97, ,29, ,51, ,50.5, ,3.3, ,79.6, ,63.1, 
152,10/5/2021,278,0.14, ,0, ,442, ,17.1, ,78.0, ,57.9, ,67.9, ,98, ,48, ,73, ,59.0, ,3.3, ,79.6, ,65.2, 
152,10/6/2021,279,0.12, ,0.07, ,423, ,17.1, ,71.5, ,57.0, ,62.9, ,99, ,68, ,87, ,59.1, ,3.0, ,72.3, ,64.6, 
152,10/7/2021,280,0.06,R,0.02, ,226, ,17.1, ,70.1, ,60.1, ,64.1, ,98, ,71, ,84, ,59.1, ,2.8, ,67.8, ,64.0, 
152,10/8/2021,281,0.09, ,0.09, ,312, ,15.3, ,69.5, ,52.2, ,60.9, ,99, ,62, ,84, ,56.0, ,3.1, ,73.9, ,63.0, 
152,10/9/2021,282,0.14, ,0, ,464, ,12.6, ,71.2, ,48.4, ,59.4, ,99, ,44, ,73, ,50.7, ,3.4, ,82.1, ,60.8,Y
152,10/10/2021,283,0.15, ,0.07, ,466, ,11.7, ,74.8, ,46.9, ,60.2, ,99, ,42, ,66, ,48.8, ,3.6, ,86.9, ,59.9,Y
152,10/11/2021,284,0.16, ,0, ,449, ,9.4, ,74.9, ,45.7, ,59.7, ,89, ,13, ,54, ,43.0, ,4.4, ,105.9, ,59.1,Y
152,10/12/2021,285,0.15, ,0.07, ,462, ,7.3, ,69.3, ,42.9, ,56.8, ,74, ,20, ,46, ,36.5, ,3.5, ,83.5, ,57.3,Y
152,10/13/2021,286,0.15, ,0, ,452, ,6.3, ,72.2, ,44.4, ,56.2, ,64, ,19, ,41, ,32.8, ,3.5, ,83.2, ,56.4,R
152,10/14/2021,287,0.14,R,0.06, ,446, ,8.6, ,72.5, ,39.2,Y,57.3, ,95, ,29, ,54, ,40.5, ,2.7, ,65.7, ,56.4,R
152,10/15/2021,288,0.24, ,0, ,450, ,4.7,Y,86.3, ,54.2, ,74.8,Y,42, ,9, ,16,Y,25.5,Y,7.0,R,168.7,R,58.0,Y
152,10/16/2021,289,0.19, ,0.03, ,451, ,5.4,Y,89.3, ,50.5, ,70.9, ,52, ,9, ,21,Y,29.0,Y,4.5, ,107.2, ,59.3,Y
152,10/17/2021,290,0.13,R,0, ,433, ,10.8, ,74.0, ,43.7, ,58.0, ,96, ,37, ,66, ,46.6, ,3.1, ,73.8, ,58.3,Y
152,10/18/2021,291,0.11, ,0.06, ,398, ,12.9, ,67.3, ,51.3, ,58.1, ,100, ,45, ,78, ,51.2, ,3.5, ,84.9, ,59.1,Y
152,10/19/2021,292,0.12, ,0, ,425, ,11.5, ,67.7, ,46.4, ,56.5, ,95, ,47, ,74, ,48.2, ,3.4, ,82.0, ,57.8,Y
152,10/20/2021,293,0.11, ,0.06, ,410, ,11.3, ,70.6, ,43.4, ,55.7, ,99, ,50, ,75, ,47.9, ,3.0, ,70.9, ,57.1,Y
152,10/21/2021,294,0.12, ,0, ,406, ,12.6, ,71.9, ,44.7, ,58.4, ,99, ,51, ,75, ,50.6, ,3.0, ,72.7, ,57.2,Y
152,10/22/2021,295,0.07, ,0.05, ,305, ,15.7, ,67.0, ,49.5, ,58.2, ,99, ,70, ,94, ,56.6, ,3.9, ,93.7, ,59.0,Y
152,10/23/2021,296,0.08, ,0.01, ,286, ,15.6, ,69.7, ,51.7, ,60.2, ,99, ,65, ,87, ,56.4, ,2.9, ,70.7, ,60.4, 
152,10/24/2021,297,0.10, ,0.07, ,367, ,14.2, ,68.8, ,50.0, ,58.2, ,99, ,64, ,86, ,54.0, ,2.7, ,63.9, ,58.9,Y
152,10/25/2021,298,0.02, ,0.76, ,111, ,14.9, ,62.4, ,49.1, ,57.1, ,99, ,74, ,94, ,55.3, ,3.5, ,83.3, ,57.7,Y
152,10/26/2021,299,0.11, ,0, ,390, ,11.1, ,68.3, ,45.0, ,56.7, ,99, ,45, ,71, ,47.2, ,2.8, ,68.3, ,55.9,R
152,10/27/2021,300,0.12, ,0, ,385, ,11.1, ,75.8, ,47.9, ,62.4, ,79, ,39, ,58, ,47.4, ,2.7, ,65.8, ,57.2,Y
152,10/28/2021,301,0.19, ,0.03, ,382, ,10.6, ,91.6, ,58.4, ,73.5,Y,67, ,18, ,37,Y,46.0,Y,5.0, ,119.9, ,59.5, 
152,10/29/2021,302,0.13, ,0, ,374, ,13.4, ,79.1, ,56.1, ,65.8, ,99, ,40, ,62, ,52.4, ,3.1, ,73.9, ,60.2, 
152,10/30/2021,303,0.04, ,0.09, ,210, ,15.7, ,63.7, ,54.3, ,58.1, ,99, ,84, ,95, ,56.7, ,2.5, ,60.9, ,59.7, 
152,10/31/2021,304,0.05, ,0.06, ,211, ,14.9, ,65.2, ,53.2, ,58.9, ,99, ,71, ,88, ,55.3, ,2.3, ,55.1, ,59.5, 
