151,10/1/2021,274,0.17,R,0, ,515, ,11.1, ,93.8, ,51.3, ,72.5, ,75, ,20, ,41, ,47.4, ,1.4, ,34.7, ,69.1, 
151,10/2/2021,275,0.16, ,0, ,486, ,12.1, ,95.5, ,55.8, ,74.7, ,73, ,21, ,41, ,49.5, ,1.2, ,29.7, ,69.0, 
151,10/3/2021,276,0.16, ,0, ,483, ,13.0, ,95.1, ,56.8, ,76.7, ,77, ,21, ,41, ,51.5, ,1.4, ,32.4, ,69.2, 
151,10/4/2021,277,0.16,R,0, ,436, ,15.1, ,97.8, ,62.6, ,79.1, ,68, ,26, ,44, ,55.6, ,1.3, ,31.8, ,69.7, 
151,10/5/2021,278,0.10, ,0.05, ,277, ,18.0, ,80.2, ,64.6, ,74.0, ,82, ,49, ,63, ,60.5, ,3.8, ,91.0, ,70.5, 
151,10/6/2021,279,0.14, ,0, ,441, ,18.7, ,92.5, ,60.4, ,75.1, ,90, ,41, ,63, ,61.5, ,1.3, ,31.0, ,70.2, 
151,10/7/2021,280,0.14, ,0, ,360, ,17.8, ,90.4, ,68.3, ,78.0, ,81, ,34, ,54, ,60.2, ,2.4, ,56.5, ,71.3, 
151,10/8/2021,281,0.09, ,0, ,196, ,14.8, ,82.5, ,62.9, ,74.4, ,67, ,41, ,51, ,55.1, ,3.6, ,87.4, ,71.0, 
151,10/9/2021,282,0.14, ,0, ,449, ,11.1, ,86.7, ,55.5, ,68.7, ,85, ,23, ,46, ,47.3, ,1.9, ,44.8, ,69.3, 
151,10/10/2021,283,0.15, ,0, ,486,R,9.5, ,85.8, ,55.5, ,70.6, ,66, ,24, ,37, ,43.2, ,2.2, ,53.5, ,68.1, 
151,10/11/2021,284,0.21, ,0, ,477, ,8.5, ,87.3, ,51.8, ,69.1, ,80, ,13, ,35, ,40.3, ,5.5, ,133.0, ,68.0, 
151,10/12/2021,285,0.14, ,0, ,467, ,6.8, ,70.7,Y,47.8, ,60.8, ,68, ,26, ,37, ,34.6, ,2.7, ,63.7, ,64.6, 
151,10/13/2021,286,0.12, ,0, ,468, ,8.1, ,76.2, ,42.9, ,59.1,Y,83, ,24, ,47,Y,39.2,Y,1.3, ,31.0, ,62.0,Y
151,10/14/2021,287,0.13, ,0, ,468,R,8.8, ,85.1, ,44.7, ,62.6, ,80, ,26, ,45, ,41.1, ,1.1, ,27.2, ,61.3,Y
151,10/15/2021,288,0.14, ,0, ,470,R,8.4, ,79.5, ,49.6, ,65.4, ,67, ,26, ,39, ,40.0, ,2.2, ,51.7, ,61.4,Y
151,10/16/2021,289,0.14, ,0, ,468,R,8.9, ,83.4, ,48.8, ,66.7, ,65, ,26, ,40, ,41.6, ,1.8, ,43.0, ,61.0,Y
151,10/17/2021,290,0.14, ,0, ,433, ,9.2, ,88.1, ,49.7, ,67.6, ,78, ,15, ,40, ,42.4, ,2.1, ,49.3, ,61.2,Y
151,10/18/2021,291,0.16, ,0, ,444, ,9.6, ,78.0, ,51.6, ,66.3, ,69, ,36, ,44, ,43.5, ,4.8, ,115.7, ,61.8,Y
151,10/19/2021,292,0.12, ,0, ,450,R,9.6, ,78.7, ,47.4, ,61.9, ,81, ,33, ,51, ,43.4, ,1.4, ,33.4, ,61.0,Y
151,10/20/2021,293,0.12, ,0, ,456,R,11.6, ,85.7, ,49.0, ,64.9, ,85, ,33, ,55, ,48.5, ,1.1, ,26.8, ,61.6,Y
151,10/21/2021,294,0.12,R,0, ,440, ,12.1, ,91.1, ,51.5, ,68.2, ,83, ,24, ,51, ,49.5, ,1.1, ,27.5, ,62.2, 
151,10/22/2021,295,0.13, ,0, ,436, ,10.7, ,88.0, ,50.2, ,67.8, ,83, ,21, ,46, ,46.4, ,1.5, ,36.7, ,61.1,Y
151,10/23/2021,296,0.14, ,0, ,384, ,11.5, ,87.4, ,52.2, ,69.7, ,64, ,31, ,46, ,48.1, ,2.9, ,70.0, ,61.3, 
151,10/24/2021,297,0.13, ,0, ,423, ,12.9, ,86.6, ,53.9, ,70.9, ,82, ,28, ,50, ,51.2, ,2.1, ,50.7, ,62.1, 
151,10/25/2021,298,0.14, ,0, ,408, ,15.7, ,84.6, ,58.8, ,70.7, ,97, ,38, ,61, ,56.7, ,3.8, ,90.7, ,63.2, 
151,10/26/2021,299,0.13, ,0, ,432,R,9.0, ,76.3, ,49.5, ,63.4, ,78, ,26, ,45, ,41.7, ,2.7, ,64.1, ,62.1, 
151,10/27/2021,300,0.12, ,0, ,417, ,10.1, ,82.6, ,47.1, ,64.0, ,77, ,32, ,49, ,44.7, ,1.7, ,41.3, ,60.6, 
151,10/28/2021,301,0.13, ,0, ,417,R,11.6, ,88.5, ,52.1, ,69.4, ,73, ,24, ,47, ,48.4, ,2.0, ,47.1, ,61.1, 
151,10/29/2021,302,0.13, ,0, ,411, ,12.1, ,92.7, ,53.7, ,71.2, ,79, ,20, ,46, ,49.5, ,1.6, ,38.3, ,61.6, 
151,10/30/2021,303,0.12,R,0, ,401, ,12.9, ,91.1, ,51.9, ,70.8, ,80, ,26, ,50, ,51.3, ,1.7, ,40.2, ,61.8, 
151,10/31/2021,304,0.14, ,0, ,404, ,13.6, ,89.7, ,57.7, ,73.1, ,80, ,28, ,49, ,52.7, ,3.4, ,80.7, ,63.1, 
