224,10/1/2021,274,0.16, ,0, ,461, ,6.9, ,91.7, ,46.8, ,68.0, ,65, ,10, ,29, ,34.9, ,2.9, ,69.5, ,73.1, 
224,10/2/2021,275,0.16, ,0, ,460,R,6.8, ,97.2, ,46.1, ,69.2, ,69, ,7, ,28, ,34.7, ,2.7, ,65.1, ,73.1, 
224,10/3/2021,276,0.17, ,0, ,439, ,7.4, ,92.9, ,47.0, ,68.5, ,66, ,12, ,31, ,36.9, ,3.1, ,74.3, ,73.2, 
224,10/4/2021,277,0.16, ,0, ,437, ,7.8, ,89.5, ,46.9, ,66.9, ,70, ,14, ,35, ,38.0, ,3.2, ,77.5, ,73.1, 
224,10/5/2021,278,0.14, ,0, ,357, ,7.3, ,82.5, ,47.0, ,64.9, ,72, ,14, ,35, ,36.3, ,3.4, ,81.7, ,72.5, 
224,10/6/2021,279,0.13, ,0, ,367, ,9.4, ,75.4, ,51.1, ,62.5, ,71, ,28, ,48, ,42.8, ,3.4, ,82.5, ,71.8, 
224,10/7/2021,280,0.12, ,0, ,440,R,6.9, ,73.5, ,46.1, ,62.2, ,83, ,16, ,36, ,35.1, ,3.5, ,83.8, ,70.6, 
224,10/8/2021,281,0.12, ,0, ,390, ,8.1, ,68.2, ,37.0, ,55.2, ,76, ,37, ,54, ,39.1, ,4.0, ,96.6, ,69.4, 
224,10/9/2021,282,0.12, ,0, ,423, ,8.2, ,79.8, ,44.8, ,60.1, ,86, ,17, ,46, ,39.4, ,2.6, ,62.1, ,69.3, 
224,10/10/2021,283,0.16, ,0, ,406, ,6.7, ,84.0, ,40.4, ,63.4, ,79, ,16, ,34, ,34.4, ,4.2, ,101.6, ,68.9, 
224,10/11/2021,284,0.16, ,0, ,428,R,4.0, ,65.3, ,40.3, ,57.2, ,55, ,13, ,25, ,21.9, ,6.4, ,152.5, ,68.4, 
224,10/12/2021,285,0.13, ,0, ,422,R,4.0, ,70.7, ,39.6, ,55.2, ,52, ,10, ,27, ,21.6, ,3.7, ,88.0, ,66.6, 
224,10/13/2021,286,0.11, ,0, ,320, ,5.4, ,72.6, ,45.9, ,57.7, ,50, ,21, ,33, ,28.7, ,2.8, ,66.3, ,66.6, 
224,10/14/2021,287,0.14, ,0, ,410,R,5.4, ,77.0, ,44.7, ,60.9, ,48, ,16, ,30, ,29.1, ,4.2, ,100.1, ,66.3, 
224,10/15/2021,288,0.13, ,0, ,403,R,5.0, ,80.7, ,42.5, ,60.8, ,53, ,11, ,27, ,26.9, ,2.6, ,63.4, ,66.0, 
224,10/16/2021,289,0.12, ,0, ,399,R,5.1, ,83.6, ,36.6, ,58.1, ,68, ,10, ,31, ,27.5, ,2.9, ,68.8, ,66.0, 
224,10/17/2021,290,0.08, ,0.21, ,184, ,7.6, ,72.1, ,37.0, ,53.2, ,96, ,21, ,55, ,37.4, ,4.4, ,106.6, ,65.5, 
224,10/18/2021,291,0.05, ,0.03, ,235, ,9.8, ,60.5,Y,38.3, ,49.2, ,98, ,51, ,82, ,44.0, ,3.0, ,73.1, ,64.3, 
224,10/19/2021,292,0.07, ,0.39, ,268, ,8.8, ,61.8, ,34.6, ,49.2, ,99, ,43, ,74, ,41.3, ,2.9, ,70.0, ,62.1, 
224,10/20/2021,293,0.00, ,0.60, ,36, ,13.0, ,54.5,Y,49.2, ,52.1, ,100, ,90, ,97, ,51.5, ,3.9, ,92.8, ,61.2, 
224,10/21/2021,294,0.00, ,0.96, ,27, ,16.3,Y,66.5, ,54.1, ,58.8, ,100, ,78, ,96,Y,57.7,Y,4.2, ,100.9, ,60.9, 
224,10/22/2021,295,0.07, ,3.59, ,256, ,13.5, ,66.3, ,51.4, ,58.3, ,100, ,44, ,81, ,52.5, ,5.0, ,119.2, ,61.4, 
224,10/23/2021,296,0.01, ,0.77, ,66, ,13.1, ,56.2,Y,50.9, ,52.6, ,100, ,86, ,97, ,51.8, ,3.1, ,74.7, ,60.4, 
224,10/24/2021,297,0.00, ,6.25, ,19, ,13.9, ,58.0, ,52.9, ,55.0, ,98, ,89, ,94, ,53.4, ,8.8,Y,210.6,Y,57.9, 
224,10/25/2021,298,0.06, ,0.04, ,279, ,11.1, ,63.1, ,45.6, ,53.8, ,99, ,49, ,79, ,47.3, ,2.8, ,67.5, ,57.3, 
224,10/26/2021,299,0.00, ,0.24, ,43, ,12.7, ,53.7,Y,48.1, ,52.5, ,100, ,80, ,94, ,50.8, ,3.2, ,76.2, ,57.3, 
224,10/27/2021,300,0.05, ,0.10, ,210, ,14.0, ,66.9, ,52.8, ,58.4, ,100, ,65, ,84, ,53.6, ,2.7, ,65.1, ,57.8, 
224,10/28/2021,301,0.10, ,0, ,338, ,13.6, ,81.6, ,52.3, ,65.1, ,100, ,35, ,64, ,52.8, ,3.0, ,73.0, ,59.3, 
224,10/29/2021,302,0.06, ,0, ,265, ,14.3, ,73.5, ,46.8, ,58.9, ,100, ,54, ,84, ,54.1, ,1.8, ,43.2, ,60.2, 
224,10/30/2021,303,0.04, ,0.02, ,173, ,15.6,Y,67.2, ,52.6, ,59.8, ,100, ,67, ,89,Y,56.6,Y,2.7, ,65.3, ,61.0, 
224,10/31/2021,304,0.05, ,0, ,210, ,12.8, ,65.7, ,50.3, ,56.8, ,100, ,58, ,81, ,51.0, ,2.1, ,49.4, ,60.8, 
