200,10/1/2021,274,0.22, ,0, ,525,R,6.6, ,96.9, ,57.5, ,76.4, ,67, ,9, ,21, ,33.9, ,4.6, ,109.7, ,73.3, 
200,10/2/2021,275,0.21, ,0, ,481, ,8.5, ,97.5, ,59.3, ,77.5, ,71, ,10, ,26, ,40.2, ,4.4, ,106.2, ,73.2, 
200,10/3/2021,276,0.22, ,0, ,495, ,9.2, ,100.0, ,61.3, ,80.0, ,64, ,10, ,26, ,42.3, ,4.2, ,101.4, ,73.6, 
200,10/4/2021,277,0.20, ,0, ,410, ,10.7, ,108.3, ,61.5, ,81.2, ,73, ,12, ,29, ,46.3, ,4.2, ,101.5, ,74.3, 
200,10/5/2021,278,0.21, ,0.05, ,457, ,13.7, ,92.1, ,71.0, ,80.2, ,58, ,24, ,39, ,52.9, ,5.7, ,135.7, ,75.0, 
200,10/6/2021,279,0.19, ,0, ,424, ,14.3, ,92.8, ,70.6, ,79.9, ,56, ,24, ,41, ,54.2, ,5.2, ,124.8, ,75.4, 
200,10/7/2021,280,0.14, ,0, ,265, ,14.1, ,84.5, ,72.1, ,76.8, ,57, ,33, ,45, ,53.7, ,6.3, ,150.1, ,75.3, 
200,10/8/2021,281,0.14, ,0.02, ,258, ,12.8, ,80.9, ,67.1, ,73.4, ,70, ,32, ,46, ,51.1, ,6.4, ,154.5, ,74.5, 
200,10/9/2021,282,0.20, ,0, ,478, ,10.2, ,84.2, ,63.5, ,72.6, ,53, ,22, ,37, ,45.1, ,6.8, ,163.9, ,72.9, 
200,10/10/2021,283,0.18, ,0, ,482,R,8.4, ,93.3, ,59.5, ,74.0, ,64, ,13, ,29, ,40.1, ,4.0, ,96.6, ,72.5, 
200,10/11/2021,284,0.21, ,0.01,H,471, ,8.0, ,93.7, ,55.1, ,69.5, ,62, ,18, ,32, ,38.7, ,6.9, ,166.0, ,72.2, 
200,10/12/2021,285,0.17, ,0.01,H,474,R,4.5, ,76.8, ,54.2, ,65.4, ,44, ,12, ,21, ,24.7, ,4.4, ,106.0, ,70.6, 
200,10/13/2021,286,0.16, ,0, ,466, ,6.4, ,84.2, ,50.1, ,64.9, ,75, ,14, ,30, ,33.2, ,4.1, ,97.8, ,69.5, 
200,10/14/2021,287,0.16, ,0, ,463, ,7.5, ,92.8, ,50.1, ,68.2, ,68, ,13, ,32, ,37.1, ,3.4, ,81.0, ,69.3, 
200,10/15/2021,288,0.17, ,0, ,469,R,6.2, ,90.2, ,54.9, ,70.5, ,49, ,11, ,24, ,32.2, ,3.9, ,93.5, ,69.3, 
200,10/16/2021,289,0.17, ,0, ,473,R,6.6, ,90.8, ,54.3, ,70.1, ,71, ,9, ,26, ,33.7, ,4.1, ,97.9, ,68.8, 
200,10/17/2021,290,0.17, ,0, ,450, ,6.4, ,86.3, ,53.6, ,70.9, ,51, ,11, ,25, ,33.3, ,3.9, ,92.9, ,68.7, 
200,10/18/2021,291,0.17, ,0, ,406, ,8.6, ,76.2, ,60.2, ,67.8, ,46, ,23, ,37, ,40.5, ,6.8, ,163.8, ,68.3, 
200,10/19/2021,292,0.14, ,0, ,456,R,7.8, ,81.0, ,52.0, ,65.9, ,79, ,15, ,36, ,38.2, ,3.8, ,90.7, ,67.0, 
200,10/20/2021,293,0.15, ,0.01,H,444,R,8.7, ,84.3, ,54.1, ,67.6, ,81, ,17, ,38, ,41.0, ,4.2, ,99.9, ,66.8, 
200,10/21/2021,294,0.15, ,0.01, ,451,R,9.4, ,89.0, ,51.5, ,69.6, ,84, ,14, ,38, ,42.9, ,3.5, ,83.1, ,66.8, 
200,10/22/2021,295,0.15, ,0.02, ,414, ,8.9, ,86.8, ,56.2, ,73.4, ,56, ,17, ,32, ,41.5, ,3.7, ,89.8, ,67.4, 
200,10/23/2021,296,0.17, ,0.00, ,391, ,11.9, ,82.9, ,62.9, ,73.2, ,60, ,33, ,43, ,49.2, ,6.1, ,145.6, ,68.1, 
200,10/24/2021,297,0.15, ,0.02, ,397, ,12.4, ,84.3, ,63.3, ,72.1, ,67, ,28, ,46, ,50.3, ,5.0, ,120.7, ,68.4, 
200,10/25/2021,298,0.13, ,0, ,285, ,13.1, ,82.2, ,58.8, ,68.3, ,74, ,37, ,56, ,51.8, ,6.2, ,149.1, ,68.9, 
200,10/26/2021,299,0.17, ,0, ,431,R,7.7, ,79.2, ,58.4, ,68.0, ,49, ,18, ,33, ,37.8, ,6.6, ,157.4, ,66.8, 
200,10/27/2021,300,0.14, ,0.00, ,416, ,8.3, ,88.7, ,53.6, ,69.3, ,55, ,16, ,34, ,39.8, ,3.4, ,80.4, ,66.2, 
200,10/28/2021,301,0.17, ,0, ,418,R,9.9, ,90.9, ,59.7, ,75.7, ,63, ,16, ,33, ,44.4, ,4.6, ,110.5, ,67.1, 
200,10/29/2021,302,0.16, ,0, ,412,R,10.4, ,92.2, ,60.0, ,75.4, ,74, ,17, ,35, ,45.7, ,3.9, ,92.6, ,67.7, 
200,10/30/2021,303,0.15, ,0, ,394, ,11.7, ,87.5, ,57.6, ,73.5, ,67, ,24, ,42, ,48.8, ,4.3, ,103.0, ,68.5, 
200,10/31/2021,304,0.15, ,0.01,H,400, ,12.2, ,87.4, ,53.3, ,73.7, ,77, ,26, ,43, ,49.9, ,4.0, ,94.9, ,68.4, 
