259,10/1/2021,274,0.09, ,0, ,347, ,14.0, ,65.3, ,44.2, ,55.3, ,99, ,79, ,94, ,53.6, ,4.7, ,112.6, ,62.9, 
259,10/2/2021,275,0.08, ,0.00, ,324, ,13.3, ,62.1, ,47.3, ,53.4, ,99, ,80, ,95, ,52.1, ,3.7, ,88.2, ,61.9, 
259,10/3/2021,276,0.09, ,0, ,356, ,13.2, ,63.1, ,44.2, ,53.4, ,99, ,77, ,95, ,52.0, ,4.1, ,98.1, ,61.9, 
259,10/4/2021,277,0.06, ,0.01, ,252, ,13.2, ,57.4, ,48.9, ,52.3, ,99, ,92, ,99, ,51.9, ,3.8, ,90.9, ,61.3, 
259,10/5/2021,278,0.06, ,0.02, ,241, ,13.5, ,67.1, ,48.7, ,53.8, ,99, ,75, ,96, ,52.6, ,4.5, ,107.9, ,61.3, 
259,10/6/2021,279,0.11, ,0, ,400, ,11.1, ,60.3, ,38.1, ,50.8, ,100, ,66, ,87, ,47.2, ,4.9, ,118.5, ,60.2, 
259,10/7/2021,280,0.10, ,0, ,275, ,11.0, ,58.5, ,42.6, ,49.7,Y,99, ,76, ,90,Y,46.9,Y,4.8, ,114.7, ,59.9, 
259,10/8/2021,281,0.09, ,0.02, ,336, ,11.4, ,62.2, ,38.6, ,52.3, ,100, ,58, ,85, ,47.9, ,3.1, ,73.7, ,58.8,Y
259,10/9/2021,282,0.11, ,0, ,399, ,10.7, ,62.5, ,39.0, ,50.6, ,99, ,60, ,85, ,46.3, ,4.3, ,102.6, ,58.8,Y
259,10/10/2021,283,0.05, ,0, ,213, ,12.1, ,58.7, ,46.0, ,52.5, ,99, ,75, ,90, ,49.5, ,6.2, ,149.3, ,58.1,Y
259,10/11/2021,284,0.11, ,0, ,382, ,10.5, ,57.3, ,46.6, ,51.7, ,91, ,65, ,80, ,45.7, ,9.5,R,228.8,R,57.0,Y
259,10/12/2021,285,0.10,R,0, ,384, ,8.5, ,57.7, ,31.2,R,45.5,R,99, ,58, ,--,R,--,I,4.2, ,100.9, ,55.6,R
259,10/13/2021,286,0.10, ,0, ,344, ,10.4, ,58.3, ,42.6, ,50.4, ,99, ,68, ,83, ,45.5, ,7.0, ,167.7, ,55.9,R
259,10/14/2021,287,0.10, ,0, ,371, ,10.1, ,62.4, ,32.9,Y,48.1,Y,100, ,61, ,88,Y,44.8,Y,4.5, ,108.0, ,55.2,R
259,10/15/2021,288,0.09, ,0, ,372, ,10.9, ,62.3, ,37.8, ,49.0,Y,99, ,72, ,92,Y,46.7,Y,4.0, ,96.2, ,55.9,Y
259,10/16/2021,289,0.10, ,0.00, ,369, ,10.9, ,67.0, ,37.3, ,50.4, ,99, ,60, ,88, ,46.9, ,4.3, ,102.7, ,55.7,Y
259,10/17/2021,290,0.01, ,0.64, ,59, ,10.8, ,61.0, ,35.3,Y,47.4,Y,99, ,73, ,97,Y,46.6,Y,3.3, ,79.4, ,54.5,R
259,10/18/2021,291,0.07, ,0.04, ,281, ,11.0, ,59.6, ,39.5, ,49.3,Y,99,H,71,H,92,Y,47.0,Y,3.4, ,81.1, ,55.0,R
259,10/19/2021,292,0.08, ,0.47, ,147, ,10.4, ,64.0, ,43.3, ,53.5, ,99, ,39, ,74, ,45.6, ,10.4,R,248.7,R,54.3,R
259,10/20/2021,293,0.03, ,0.15, ,143, ,14.3, ,63.6, ,52.1, ,57.5, ,99, ,77, ,88, ,54.1, ,4.5, ,107.6, ,55.4,Y
259,10/21/2021,294,0.04, ,0.74, ,130, ,16.7, ,67.7, ,55.3, ,61.9, ,98, ,75, ,88, ,58.4, ,8.9,Y,214.0,Y,57.6,Y
259,10/22/2021,295,0.07, ,0.01, ,252, ,13.4, ,63.8, ,50.0, ,56.2, ,99, ,68, ,87, ,52.4, ,4.3, ,104.2, ,58.5, 
259,10/23/2021,296,0.06, ,0.17, ,192, ,13.7, ,62.4, ,53.0, ,57.0, ,93, ,77, ,86, ,52.9, ,8.7,Y,208.2,Y,58.1, 
259,10/24/2021,297,0.03, ,0.87, ,76, ,13.4, ,62.5, ,47.4, ,56.6, ,96, ,70, ,85, ,52.3, ,9.4,R,224.4,R,57.8, 
259,10/25/2021,298,0.07, ,0.12, ,257, ,12.2, ,62.3, ,46.9, ,53.9, ,98, ,66, ,86, ,49.7, ,5.6, ,133.8, ,56.9,Y
259,10/26/2021,299,0.02, ,0.08, ,79, ,13.7, ,59.8, ,52.2, ,55.7, ,97, ,80, ,90, ,52.9, ,8.2,Y,196.0,Y,56.9, 
259,10/27/2021,300,0.07, ,0.01, ,259, ,15.5, ,67.9, ,50.3, ,58.9, ,99, ,75, ,91, ,56.3, ,4.6, ,111.2, ,58.6, 
259,10/28/2021,301,0.08, ,0.00, ,308, ,15.3, ,69.9, ,50.8, ,57.7, ,99, ,75, ,94, ,56.1, ,4.5, ,107.4, ,59.8, 
259,10/29/2021,302,0.05, ,0.03, ,206, ,15.9, ,66.3, ,50.7, ,57.8, ,99, ,88, ,97, ,57.1, ,4.1, ,99.3, ,60.5, 
259,10/30/2021,303,0.04, ,0.09, ,196, ,15.3, ,63.2, ,50.2, ,56.9, ,99, ,83, ,97, ,56.0, ,3.2, ,77.6, ,61.0, 
259,10/31/2021,304,0.08, ,0.02, ,258, ,13.5, ,65.9, ,51.0, ,58.6, ,99, ,63, ,80, ,52.5, ,5.2, ,125.3, ,60.8, 
