106,10/1/2021,274,0.17, ,0, ,423, ,8.7, ,95.6, ,44.0, ,67.0, ,79, ,14, ,39, ,41.0, ,2.8, ,66.6, ,71.5, 
106,10/2/2021,275,0.18, ,0, ,420, ,8.3, ,99.5, ,44.2, ,68.4, ,70, ,14, ,35, ,39.6, ,2.8, ,66.7, ,71.8, 
106,10/3/2021,276,0.17, ,0, ,420, ,8.1, ,99.8, ,44.7, ,68.9, ,69, ,15, ,34, ,39.2, ,2.5, ,59.4, ,72.1,Y
106,10/4/2021,277,0.18, ,0, ,413, ,5.8,Y,94.4, ,41.1, ,65.8, ,66, ,9, ,27,Y,30.8,Y,3.0, ,71.3, ,71.9,Y
106,10/5/2021,278,0.13, ,0, ,363, ,8.7, ,80.6, ,41.3, ,59.4, ,83, ,25, ,50, ,40.8, ,4.1, ,97.3, ,71.0, 
106,10/6/2021,279,0.09, ,0, ,270, ,9.7, ,73.4, ,40.7, ,56.8, ,90, ,28, ,61, ,43.7, ,3.0, ,73.0, ,70.1, 
106,10/7/2021,280,0.09, ,0, ,290, ,7.8, ,70.1, ,38.0, ,53.5, ,80, ,31, ,56, ,38.0, ,2.9, ,69.6, ,68.6, 
106,10/8/2021,281,0.13, ,0, ,392, ,8.1, ,69.4, ,34.1, ,51.9, ,93, ,29, ,62, ,39.1, ,4.5, ,108.2, ,67.4, 
106,10/9/2021,282,0.14, ,0, ,393, ,8.3, ,79.0, ,37.1, ,56.0, ,91, ,26, ,54, ,39.6, ,3.6, ,87.1, ,66.9, 
106,10/10/2021,283,0.14, ,0, ,390, ,8.4, ,83.6, ,36.2, ,57.5, ,85, ,22, ,52, ,40.2, ,4.0, ,94.9, ,67.1, 
106,10/11/2021,284,0.16, ,0, ,394, ,6.3, ,68.8, ,38.7, ,54.9, ,71, ,25, ,43, ,32.6, ,6.4,Y,152.8,Y,66.7, 
106,10/12/2021,285,0.15, ,0, ,391, ,4.7,Y,72.0, ,28.6,Y,50.4, ,81, ,14, ,38,Y,25.6,Y,4.6, ,110.3, ,65.1, 
106,10/13/2021,286,0.13, ,0, ,364, ,7.7, ,73.7, ,40.9, ,55.8, ,79, ,34, ,51, ,37.8, ,3.8, ,92.3, ,65.3, 
106,10/14/2021,287,0.13, ,0, ,377, ,7.3, ,81.7, ,33.5, ,55.3, ,91, ,17, ,49, ,36.5, ,3.2, ,76.9, ,65.5, 
106,10/15/2021,288,0.13, ,0, ,373, ,6.7, ,89.8, ,35.1, ,58.7, ,83, ,13, ,40, ,34.3, ,2.2, ,52.6, ,65.7, 
106,10/16/2021,289,0.14, ,0, ,373, ,5.8, ,87.2, ,35.4, ,58.7, ,77, ,13, ,35, ,30.9, ,2.8, ,67.6, ,66.2, 
106,10/17/2021,290,0.08, ,0.21, ,237, ,8.2, ,67.8, ,35.5, ,49.7, ,93, ,42, ,68, ,39.5, ,3.6, ,86.1, ,65.6, 
106,10/18/2021,291,0.10, ,0.00, ,364, ,9.8, ,66.2, ,42.4, ,52.6, ,95, ,43, ,72, ,44.0, ,2.7, ,65.9, ,64.2, 
106,10/19/2021,292,0.10, ,0.35, ,272, ,8.9, ,66.4, ,36.5, ,50.4, ,96, ,40, ,71, ,41.4, ,5.5,Y,132.0,Y,63.3, 
106,10/20/2021,293,0.03, ,0.15, ,128, ,14.0, ,62.6, ,49.7, ,56.8, ,96, ,78, ,89, ,53.5, ,3.6, ,86.7, ,62.7, 
106,10/21/2021,294,0.04, ,0.92, ,160, ,17.4,Y,67.2, ,58.5,Y,62.2, ,95, ,81, ,91,Y,59.6,Y,5.6,Y,133.5,Y,63.9, 
106,10/22/2021,295,0.06, ,0.53, ,215, ,12.8, ,65.5, ,50.8, ,57.9, ,96, ,54, ,78, ,51.0, ,3.1, ,74.5, ,64.5, 
106,10/23/2021,296,0.01, ,0.56, ,74, ,13.1, ,57.8, ,46.6, ,53.7, ,95, ,88, ,93, ,51.7, ,3.2, ,78.0, ,63.4, 
106,10/24/2021,297,0, ,4.77, ,16, ,14.7, ,61.8, ,54.1,Y,56.8, ,95, ,87, ,93, ,54.8, ,4.1, ,97.6, ,61.4, 
106,10/25/2021,298,0.07, ,0.13, ,269, ,11.0, ,61.8, ,44.6, ,53.1, ,95, ,52, ,80, ,47.0, ,3.3, ,79.5, ,60.6, 
106,10/26/2021,299,0.03, ,0.00, ,125, ,12.4, ,58.0, ,45.7, ,53.0, ,95, ,84, ,90, ,50.3, ,3.1, ,75.1, ,60.3, 
106,10/27/2021,300,0.09, ,0.03, ,291, ,15.2, ,74.5, ,52.7, ,61.1, ,97, ,59, ,83, ,55.8, ,3.3, ,79.6, ,61.3, 
106,10/28/2021,301,0.09, ,0.00, ,292, ,14.5, ,84.5, ,50.3, ,61.6, ,97, ,39, ,77, ,54.5, ,2.1, ,51.5, ,62.7, 
106,10/29/2021,302,0.07, ,0.00, ,242, ,14.9, ,82.5, ,49.9, ,61.1, ,97, ,46, ,81, ,55.2, ,2.1, ,49.4, ,63.6, 
106,10/30/2021,303,0.06, ,0.00, ,203, ,13.7, ,67.7, ,52.3, ,58.2, ,97, ,51, ,83, ,53.0, ,3.5, ,84.5, ,63.9,Y
106,10/31/2021,304,0.03, ,0, ,129, ,13.2, ,62.0, ,54.1,Y,57.3, ,93, ,67, ,83, ,52.0, ,3.6, ,85.3, ,63.3,Y
