192,10/1/2021,274,0.15, ,0, ,523, ,0.2,Y,73.3, ,29.9, ,50.2, ,2,H,1,H,2,Y,-36.9,Y,2.4, ,58.8, ,55.7, 
192,10/2/2021,275,0.15, ,0, ,513, ,0.2,Y,74.4, ,32.6, ,52.2, ,2,H,1,H,2,Y,-36.2,Y,2.5, ,59.1, ,55.3, 
192,10/3/2021,276,0.15, ,0, ,497, ,0.3,Y,76.5, ,35.6, ,56.4, ,2, ,1, ,2,Y,-33.3,Y,2.8, ,66.5, ,55.2, 
192,10/4/2021,277,0.13, ,0.04, ,445, ,7.4, ,73.4, ,53.0,Y,63.9, ,66, ,1, ,37, ,36.9, ,5.2, ,124.9, ,55.8, 
192,10/5/2021,278,0.13, ,0.09,H,489, ,10.9, ,64.0, ,43.2, ,54.0, ,98, ,58, ,77, ,46.9, ,5.4, ,128.6, ,56.5, 
192,10/6/2021,279,0.13, ,0.01, ,453, ,9.9, ,64.8, ,38.3, ,52.0, ,100, ,55, ,75, ,44.3, ,4.2, ,100.2, ,56.4, 
192,10/7/2021,280,0.06, ,0, ,262, ,11.6, ,55.1, ,42.9, ,50.5, ,100, ,77, ,92, ,48.4, ,8.5,Y,203.3,Y,56.3, 
192,10/8/2021,281,0.02, ,0.98, ,131, ,10.4, ,49.5, ,36.3, ,45.8, ,100, ,92, ,99, ,45.5, ,6.2, ,149.1, ,55.7, 
192,10/9/2021,282,0.13, ,0, ,492, ,5.7, ,58.5, ,29.2, ,42.9, ,100, ,28, ,61, ,30.3, ,3.2, ,77.5, ,54.2, 
192,10/10/2021,283,0.13, ,0, ,486, ,5.7, ,66.7, ,29.9, ,48.0, ,98, ,25, ,50, ,30.4, ,3.1, ,73.5, ,53.2, 
192,10/11/2021,284,0.10, ,0, ,359, ,5.5, ,53.9, ,35.5, ,45.4, ,80, ,31, ,54, ,29.6, ,7.1, ,170.1, ,52.9, 
192,10/12/2021,285,0.11, ,0, ,479, ,3.4, ,48.0, ,24.4, ,36.0,Y,75, ,29, ,47,Y,17.6,Y,4.3, ,103.6, ,51.6, 
192,10/13/2021,286,0.11, ,0, ,469, ,3.9, ,58.6, ,22.5,Y,38.7, ,79, ,21, ,49, ,21.1, ,2.1, ,51.2, ,50.0, 
192,10/14/2021,287,0.12, ,0, ,467, ,4.4, ,61.5, ,25.5, ,41.8, ,81, ,23, ,49, ,24.1, ,2.7, ,64.3, ,49.5, 
192,10/15/2021,288,0.14, ,0, ,468, ,4.3, ,62.2, ,27.3, ,44.6, ,85, ,18, ,42, ,23.3, ,3.7, ,88.1, ,49.3, 
192,10/16/2021,289,0.13, ,0, ,469, ,4.1, ,67.5, ,26.4, ,44.8, ,79, ,16, ,40, ,22.2, ,2.5, ,60.1, ,49.0, 
192,10/17/2021,290,0.14, ,0, ,477,R,5.0, ,60.3, ,30.6, ,46.9, ,96, ,20, ,45, ,26.9, ,6.3, ,152.1, ,48.9, 
192,10/18/2021,291,0.00, ,0.25, ,54, ,8.3, ,41.8,Y,31.9, ,39.7, ,100, ,96, ,99, ,39.6, ,6.8, ,162.5, ,48.9, 
192,10/19/2021,292,0.10, ,0, ,452, ,6.0, ,58.4, ,25.3, ,39.4,Y,100, ,30, ,74,Y,31.7,Y,2.2, ,52.2, ,48.2, 
192,10/20/2021,293,0.11, ,0, ,444, ,5.9, ,66.5, ,27.0, ,43.5, ,98, ,28, ,62, ,31.2, ,2.1, ,49.7, ,48.0, 
192,10/21/2021,294,0.12, ,0, ,447, ,5.6, ,70.1, ,27.5, ,46.2, ,95, ,16, ,52, ,29.7, ,2.0, ,47.5, ,48.0, 
192,10/22/2021,295,0.13, ,0, ,411, ,5.7, ,62.7, ,31.2, ,48.7, ,97, ,30, ,49, ,30.2, ,5.0, ,120.0, ,48.2, 
192,10/23/2021,296,0.08, ,0, ,372, ,10.1, ,59.2, ,40.3, ,48.8, ,100, ,56, ,86, ,44.8, ,5.2, ,124.3, ,48.9, 
192,10/24/2021,297,0.10, ,0, ,388, ,9.2, ,64.6, ,36.1, ,48.9, ,100, ,40, ,78, ,42.5, ,5.0, ,119.5, ,49.8, 
192,10/25/2021,298,0, ,2.92, ,30, ,9.4, ,48.9, ,29.2, ,42.6, ,100, ,95, ,100, ,43.0, ,7.4, ,178.2, ,49.9, 
192,10/26/2021,299,0.08, ,0.00, ,416, ,6.3, ,49.9, ,25.5, ,36.5, ,100, ,58, ,86, ,32.7, ,2.9, ,69.4, ,47.8, 
192,10/27/2021,300,0.11, ,0, ,402, ,7.5, ,64.9, ,30.0, ,47.5, ,99, ,42, ,67, ,37.1, ,3.3, ,78.3, ,47.0, 
192,10/28/2021,301,0.12, ,0, ,406, ,7.8, ,67.3, ,35.6, ,52.2, ,92, ,34, ,59, ,38.2, ,4.1, ,97.7, ,47.8, 
192,10/29/2021,302,0.11, ,0, ,403, ,7.7, ,73.8, ,32.6, ,49.9, ,97, ,29, ,63, ,37.8, ,2.8, ,67.5, ,48.0, 
192,10/30/2021,303,0.11, ,0, ,394, ,8.1, ,67.1, ,34.0, ,50.3, ,98, ,40, ,65, ,39.0, ,4.5, ,106.9, ,48.4, 
192,10/31/2021,304,0.10, ,0.02, ,388, ,8.4, ,60.8, ,39.6, ,50.5, ,94, ,45, ,68, ,40.1, ,5.2, ,123.8, ,48.8, 
