218,10/1/2021,274,0.22, ,0, ,508, ,8.4, ,93.1, ,50.9, ,73.2, ,63, ,12, ,30, ,40.1, ,5.0, ,119.4, ,72.0, 
218,10/2/2021,275,0.22, ,0, ,491, ,10.2, ,95.7, ,55.0, ,75.4, ,62, ,13, ,34, ,45.0, ,4.8, ,114.5, ,72.1, 
218,10/3/2021,276,0.21, ,0, ,464, ,10.3, ,97.8, ,58.4, ,77.9, ,61, ,13, ,32, ,45.4, ,4.6, ,111.0, ,72.4, 
218,10/4/2021,277,0.19, ,0, ,394, ,11.5, ,96.8, ,61.1, ,78.8, ,62, ,16, ,34, ,48.2, ,4.5, ,108.3, ,72.8, 
218,10/5/2021,278,0.22, ,0.02,H,424, ,15.0, ,89.3, ,71.7, ,79.9, ,59, ,30, ,43, ,55.4, ,7.0, ,168.5, ,73.0, 
218,10/6/2021,279,0.18, ,0, ,407, ,16.4, ,90.2, ,67.1, ,78.7, ,71, ,28, ,49, ,57.9, ,5.3, ,127.8, ,73.4, 
218,10/7/2021,280,0.11, ,0, ,235, ,16.0, ,86.1, ,70.7, ,77.3, ,64, ,35, ,50, ,57.2, ,5.8, ,138.6, ,73.7, 
218,10/8/2021,281,0.14, ,0, ,208, ,14.0, ,80.3, ,65.7, ,74.0, ,61, ,35, ,49, ,53.5, ,8.6,Y,205.3,Y,73.1, 
218,10/9/2021,282,0.22, ,0, ,458, ,10.9, ,85.2, ,60.5, ,72.7, ,69, ,21, ,40, ,46.9, ,8.4, ,202.2, ,71.5, 
218,10/10/2021,283,0.19, ,0, ,468, ,9.6, ,90.5, ,54.8, ,72.9, ,69, ,14, ,35, ,43.5, ,4.8, ,115.6, ,71.0, 
218,10/11/2021,284,0.23, ,0, ,453, ,8.7, ,87.1, ,52.2, ,67.8, ,77, ,16, ,38, ,41.0, ,8.3, ,199.5, ,70.6, 
218,10/12/2021,285,0.17, ,0, ,462, ,5.8, ,75.0,Y,50.9, ,63.0,Y,58, ,16, ,30,Y,30.9,Y,4.6, ,110.2, ,68.7, 
218,10/13/2021,286,0.16, ,0, ,453, ,7.1, ,78.8, ,45.6, ,62.9,Y,66, ,16, ,36,Y,35.8,Y,4.8, ,116.1, ,67.7, 
218,10/14/2021,287,0.16, ,0, ,450, ,7.9, ,82.5, ,47.4, ,64.2,Y,65, ,16, ,38,Y,38.3,Y,4.0, ,96.5, ,67.3, 
218,10/15/2021,288,0.19, ,0, ,451, ,7.3, ,85.9, ,50.3, ,67.4, ,58, ,12, ,32, ,36.6, ,5.6, ,135.3, ,66.9, 
218,10/16/2021,289,0.17, ,0, ,450, ,7.5, ,91.4, ,49.6, ,68.1, ,66, ,10, ,32, ,37.1, ,4.2, ,100.9, ,66.8, 
218,10/17/2021,290,0.18, ,0, ,439, ,8.3, ,84.9, ,51.1, ,69.3, ,62, ,19, ,34, ,39.7, ,4.7, ,112.0, ,67.1, 
218,10/18/2021,291,0.21, ,0, ,414, ,9.0, ,77.6,Y,58.1, ,68.9, ,55, ,22, ,37, ,41.8, ,9.4,R,226.1,R,66.7, 
218,10/19/2021,292,0.15, ,0, ,436, ,8.7, ,81.8, ,51.0, ,64.6, ,76, ,16, ,42, ,40.9, ,4.6, ,109.8, ,65.9,Y
218,10/20/2021,293,0.15, ,0, ,431, ,9.7, ,83.8, ,45.6, ,64.0, ,80, ,21, ,47, ,43.6, ,4.5, ,107.3, ,65.9, 
218,10/21/2021,294,0.15, ,0, ,407, ,10.4, ,87.1, ,48.7, ,66.3, ,77, ,21, ,47, ,45.5, ,4.0, ,95.8, ,65.9, 
218,10/22/2021,295,0.14, ,0, ,408, ,10.5, ,86.4, ,49.9, ,67.9, ,74, ,20, ,45, ,45.7, ,3.6, ,87.1, ,66.3, 
218,10/23/2021,296,0.16, ,0, ,370, ,12.4, ,83.8, ,56.9, ,70.6, ,72, ,33, ,48, ,50.2, ,6.4, ,153.2, ,66.8, 
218,10/24/2021,297,0.15, ,0, ,389, ,13.4, ,84.2, ,60.3, ,70.5, ,74, ,31, ,53, ,52.3, ,5.6, ,135.0, ,67.3, 
218,10/25/2021,298,0.12, ,0, ,265, ,13.9, ,80.6, ,56.3, ,67.6, ,83, ,39, ,60, ,53.3, ,7.2, ,173.8, ,67.6, 
218,10/26/2021,299,0.16, ,0, ,397, ,8.5, ,78.8, ,53.6, ,66.5, ,66, ,22, ,38, ,40.3, ,5.9, ,142.0, ,66.5, 
218,10/27/2021,300,0.13, ,0, ,386, ,9.5, ,84.1, ,48.8, ,65.6, ,67, ,21, ,44, ,43.1, ,3.5, ,85.1, ,66.1, 
218,10/28/2021,301,0.16, ,0, ,392, ,11.5, ,92.5, ,57.2, ,72.5, ,65, ,19, ,42, ,48.2, ,4.7, ,113.4, ,66.5, 
218,10/29/2021,302,0.15, ,0, ,386, ,11.5, ,88.8, ,55.3, ,71.0, ,70, ,21, ,44, ,48.2, ,4.2, ,100.7, ,66.9, 
218,10/30/2021,303,0.14, ,0, ,376, ,12.1, ,84.6, ,53.8, ,68.8, ,76, ,27, ,50, ,49.6, ,3.9, ,92.7, ,67.1, 
218,10/31/2021,304,0.13, ,0, ,374, ,12.7, ,83.6, ,51.6, ,68.9, ,79, ,30, ,53, ,50.9, ,4.1, ,97.8, ,67.3, 
