225,10/1/2021,274,0.14, ,0, ,436, ,7.8, ,81.1, ,34.4, ,56.1, ,96, ,18, ,51, ,38.2, ,2.9, ,68.7, ,58.6, 
225,10/2/2021,275,0.14, ,0, ,419, ,8.4, ,84.8, ,34.2, ,57.2, ,99, ,18, ,53, ,40.0, ,2.5, ,60.0, ,58.8, 
225,10/3/2021,276,0.14, ,0, ,417, ,8.2, ,86.7, ,35.7, ,58.9, ,98, ,16, ,48, ,39.4, ,2.7, ,63.7, ,59.0, 
225,10/4/2021,277,0.15, ,0, ,405, ,6.9, ,84.7, ,35.9, ,56.8, ,95, ,12, ,44, ,35.0, ,3.3, ,80.3, ,59.1, 
225,10/5/2021,278,0.14, ,0.04, ,337, ,6.5, ,77.8, ,31.5, ,54.5, ,90, ,15, ,45, ,33.5, ,5.2, ,123.9, ,58.3, 
225,10/6/2021,279,0.06, ,0, ,237, ,9.0, ,61.0, ,40.7, ,50.8, ,98, ,47, ,71, ,41.8, ,3.8, ,91.9, ,58.7, 
225,10/7/2021,280,0.11, ,0, ,370, ,6.8, ,69.8, ,30.4, ,47.2, ,100, ,21, ,62, ,34.7, ,2.5, ,59.4, ,57.4, 
225,10/8/2021,281,0.10, ,0, ,335, ,6.0, ,64.1, ,25.5, ,46.9, ,93, ,31, ,54, ,31.4, ,3.4, ,82.4, ,56.4, 
225,10/9/2021,282,0.11, ,0, ,399, ,6.1, ,68.7, ,27.4, ,47.0, ,97, ,26, ,56, ,32.0, ,2.5, ,60.1, ,56.2, 
225,10/10/2021,283,0.12, ,0, ,334, ,6.2, ,69.6, ,27.3, ,46.6, ,94, ,29, ,57, ,32.4, ,6.0,Y,143.1,Y,55.6, 
225,10/11/2021,284,0.12, ,0, ,354, ,4.4, ,52.9,Y,27.7, ,42.7, ,74, ,26, ,47, ,24.0, ,6.8,R,162.1,R,55.1, 
225,10/12/2021,285,0.10, ,0, ,378, ,3.8, ,60.0, ,16.1, ,40.1, ,90, ,15, ,45, ,20.7, ,2.5, ,60.2, ,53.5, 
225,10/13/2021,286,0.09, ,0, ,307, ,6.5, ,59.8, ,27.7, ,46.8, ,88, ,31, ,60, ,33.5, ,4.2, ,101.1, ,54.8, 
225,10/14/2021,287,0.09, ,0, ,375, ,5.1, ,63.6, ,20.6, ,40.6, ,93, ,29, ,59, ,27.5, ,2.4, ,58.7, ,53.6, 
225,10/15/2021,288,0.10, ,0, ,373, ,5.3, ,74.7, ,21.7, ,44.7, ,93, ,20, ,53, ,28.5, ,2.2, ,53.6, ,53.2, 
225,10/16/2021,289,0.11, ,0, ,368, ,5.7, ,79.7, ,25.6, ,49.0, ,91, ,17, ,48, ,30.1, ,2.2, ,52.5, ,53.3, 
225,10/17/2021,290,0.11, ,0.09, ,257, ,6.4, ,66.1, ,26.0, ,45.2, ,100, ,22, ,63, ,33.2, ,6.3,Y,150.7,Y,53.1, 
225,10/18/2021,291,0.08, ,0.01, ,326, ,7.7, ,58.5, ,31.0, ,45.0, ,100, ,43, ,76, ,37.9, ,3.0, ,73.0, ,53.6, 
225,10/19/2021,292,0.10, ,0.01, ,217, ,6.0, ,57.2, ,25.8, ,42.1, ,100, ,37, ,66, ,31.6, ,9.0,R,214.9,R,52.4, 
225,10/20/2021,293,0.06, ,0.11,H,195, ,8.9, ,59.0, ,38.2, ,49.4, ,100, ,51, ,74, ,41.5, ,5.7, ,136.9, ,53.0, 
225,10/21/2021,294,0.09, ,0.02, ,213, ,10.6, ,67.3, ,36.1, ,53.7, ,100, ,46, ,75, ,46.0, ,8.9,R,214.0,R,53.0, 
225,10/22/2021,295,0.06, ,0.01, ,215, ,9.9, ,58.5, ,45.2, ,49.8, ,100, ,55, ,81, ,44.2, ,4.3, ,102.5, ,54.1, 
225,10/23/2021,296,0.04, ,0.01, ,128, ,8.9, ,54.0, ,41.7, ,48.3, ,100, ,58, ,77, ,41.5, ,5.6, ,134.1, ,53.8, 
225,10/24/2021,297,0.02, ,0.00, ,77, ,9.1, ,55.3, ,41.5, ,48.1, ,97, ,62, ,79, ,42.1, ,6.5,Y,156.4,Y,53.1, 
225,10/25/2021,298,0.06, ,0.00, ,259, ,7.8, ,54.9, ,33.7, ,43.8, ,100, ,52, ,81, ,38.2, ,4.1, ,97.5, ,52.3, 
225,10/26/2021,299,0.06, ,0.00, ,157, ,9.0, ,61.1, ,41.7, ,49.9, ,98, ,48, ,74, ,41.8, ,5.9, ,141.4, ,52.5, 
225,10/27/2021,300,0.05, ,0.00,R,231, ,11.6, ,67.0, ,42.3, ,57.6,Y,100, ,54, ,72,Y,48.5,Y,3.5, ,84.2, ,54.8, 
225,10/28/2021,301,0.04, ,0.01, ,209, ,11.0, ,67.2, ,39.9, ,49.4, ,100, ,57, ,92, ,47.1, ,1.8, ,43.9, ,54.4, 
225,10/29/2021,302,0.04, ,0.00, ,177, ,11.1, ,62.9, ,39.5, ,48.8, ,100, ,69, ,94, ,47.3, ,1.8, ,42.3, ,54.5, 
225,10/30/2021,303,0.05, ,0.06, ,215, ,10.7, ,62.7, ,38.9, ,50.0, ,100, ,59, ,87, ,46.4, ,3.1, ,75.1, ,54.6, 
225,10/31/2021,304,0.08, ,0, ,279, ,8.8, ,61.8, ,40.2, ,50.4, ,99, ,45, ,71, ,41.3, ,4.6, ,109.6, ,54.7, 
