163,4/1/2022,91,0.16, ,0, ,505, ,10.1, ,75.8, ,38.3, ,56.8, ,97, ,35, ,64, ,44.8, ,2.9, ,69.2, ,--,S
163,4/2/2022,92,0.15, ,0, ,488, ,10.6, ,74.1, ,39.9, ,55.1, ,96, ,42, ,72, ,46.1, ,2.3, ,56.3, ,--,S
163,4/3/2022,93,0.16, ,0, ,508, ,10.0, ,74.8, ,43.2, ,57.4, ,97, ,35, ,62, ,44.6, ,2.7, ,63.8, ,--,S
163,4/4/2022,94,0.18, ,0, ,506, ,8.9, ,75.8, ,37.1, ,57.6, ,89, ,32, ,55, ,41.6, ,4.8, ,114.5, ,--,S
163,4/5/2022,95,0.19, ,0, ,513, ,10.1, ,77.9, ,48.7, ,61.8, ,90, ,31, ,54, ,44.8, ,4.5, ,108.7, ,--,S
163,4/6/2022,96,0.20, ,0, ,525, ,8.3, ,84.5, ,43.9, ,65.1,Y,84, ,21, ,39,Y,39.8,Y,3.5, ,84.6, ,--,S
163,4/7/2022,97,0.20, ,0, ,529, ,9.9, ,93.6,Y,43.0, ,65.5,Y,93, ,13, ,46,Y,44.4,Y,2.2, ,53.5, ,--,S
163,4/8/2022,98,0.21, ,0, ,530, ,9.9, ,93.3,Y,44.4, ,68.4,R,91,H,14,H,--,R,--,I,2.8, ,67.4, ,--,S
163,4/9/2022,99,0.20, ,0, ,540, ,8.5, ,81.9, ,44.1, ,62.2, ,84, ,21, ,44, ,40.4, ,4.0, ,97.2, ,--,S
163,4/10/2022,100,0.19, ,0, ,534, ,6.4, ,73.0, ,37.6, ,56.2, ,90, ,14, ,41, ,33.0, ,4.0, ,96.4, ,--,S
163,4/11/2022,101,0.15, ,0, ,483, ,7.6, ,60.9, ,37.3, ,49.1, ,91, ,27, ,64, ,37.5, ,4.2, ,100.8, ,--,S
163,4/12/2022,102,0.18, ,0, ,559, ,5.0,Y,62.5, ,38.7, ,49.2, ,77, ,14, ,42,Y,27.3,Y,5.4,Y,130.7,Y,--,S
163,4/13/2022,103,0.16, ,0, ,544, ,6.2, ,65.5, ,32.6, ,48.7, ,90, ,25, ,53, ,32.3, ,3.5, ,84.0, ,--,S
163,4/14/2022,104,0.15, ,0, ,514, ,8.5, ,66.3, ,33.2, ,49.4, ,95, ,43, ,71, ,40.4, ,2.8, ,67.3, ,--,S
163,4/15/2022,105,0.17, ,0, ,539, ,9.6, ,70.7, ,36.4, ,53.3, ,97, ,41, ,69, ,43.5, ,2.9, ,69.2, ,--,S
163,4/16/2022,106,0.07, ,0.16, ,293, ,11.7, ,61.9, ,43.0, ,52.8, ,96, ,66, ,86, ,48.6, ,3.2, ,76.6, ,--,S
163,4/17/2022,107,0.17, ,0, ,561, ,10.0, ,75.1, ,39.3, ,54.1, ,99, ,31, ,70, ,44.5, ,2.6, ,62.4, ,--,S
163,4/18/2022,108,0.13, ,0, ,410, ,8.7, ,69.4, ,36.3, ,52.2, ,94, ,35, ,65, ,40.9, ,2.5, ,58.9, ,--,S
163,4/19/2022,109,0.17, ,0, ,548, ,10.4, ,69.6, ,41.1, ,54.9, ,94, ,45, ,71, ,45.6, ,3.0, ,71.0, ,--,S
163,4/20/2022,110,0.17, ,0, ,564, ,8.6, ,67.0, ,35.6, ,51.6, ,96, ,38, ,66, ,40.8, ,3.2, ,76.5, ,--,S
163,4/21/2022,111,0.11, ,0.10, ,379, ,11.4, ,63.3, ,48.2, ,54.0, ,93, ,61, ,80, ,48.1, ,4.1, ,99.6, ,--,S
163,4/22/2022,112,0.12, ,0.01, ,433, ,9.7, ,61.8, ,41.0, ,52.1, ,97, ,57, ,73, ,43.8, ,3.3, ,80.1, ,--,S
163,4/23/2022,113,0.19, ,0, ,566, ,8.8, ,73.7, ,37.6, ,56.1, ,96, ,26, ,57, ,41.1, ,3.7, ,88.5, ,--,S
163,4/24/2022,114,0.20, ,0, ,577, ,8.6, ,80.7, ,40.6, ,60.0, ,92, ,20, ,49, ,40.7, ,2.9, ,68.8, ,--,S
163,4/25/2022,115,0.20, ,0, ,564, ,8.6, ,82.3, ,39.0, ,60.7, ,93, ,19, ,48, ,40.7, ,2.6, ,62.0, ,--,S
163,4/26/2022,116,0.15, ,0, ,439, ,9.1, ,74.9, ,41.5, ,57.5, ,93, ,31, ,56, ,42.2, ,3.1, ,75.2, ,--,S
163,4/27/2022,117,0.19, ,0, ,594, ,7.7, ,74.2, ,38.4, ,54.0, ,93, ,21, ,54, ,37.8, ,2.8, ,67.3, ,--,S
163,4/28/2022,118,0.19, ,0, ,599, ,7.7, ,67.8, ,34.6, ,52.5, ,92, ,30, ,57, ,37.6, ,4.3, ,102.5, ,--,S
163,4/29/2022,119,0.21, ,0, ,599, ,7.8, ,78.2, ,38.5, ,59.3, ,92, ,21, ,45, ,38.0, ,3.6, ,86.9, ,--,S
163,4/30/2022,120,0.22, ,0, ,599, ,9.0, ,81.9, ,38.5, ,61.6, ,90, ,21, ,48, ,41.7, ,4.2, ,101.3, ,--,S
