229,4/1/2022,91,0.14, ,0, ,481, ,11.2, ,68.6, ,38.4, ,51.9, ,99, ,64, ,85, ,47.5, ,3.4, ,81.2, ,60.3, 
229,4/2/2022,92,0.13, ,0, ,475, ,11.4, ,66.8, ,39.9, ,53.6, ,99, ,60, ,81, ,48.0, ,3.0, ,73.0, ,61.1, 
229,4/3/2022,93,0.15, ,0, ,500, ,10.4, ,64.6, ,41.4, ,52.3, ,98, ,53, ,78, ,45.6, ,3.8, ,92.0, ,61.9, 
229,4/4/2022,94,0.15, ,0.01, ,491, ,11.1, ,66.4, ,43.3, ,55.6, ,92, ,48, ,73, ,47.2, ,3.9, ,92.6, ,62.1, 
229,4/5/2022,95,0.15, ,0, ,507, ,10.6, ,65.4, ,41.7, ,53.0, ,98, ,55, ,77, ,46.0, ,3.2, ,76.7, ,62.9, 
229,4/6/2022,96,0.16,R,0, ,524, ,9.3, ,--,S,41.4, ,61.3,Y,96,H,24,H,50,Y,42.7,Y,3.3, ,78.7, ,63.1, 
229,4/7/2022,97,0.14,H,0, ,193, ,9.8, ,--,S,52.5, ,--,S,74,H,56,H,--,Q,--,Q,3.3, ,78.9, ,64.6,Y
229,4/8/2022,98,0.19, ,0, ,593, ,11.3, ,77.1,Y,48.1, ,59.7, ,80, ,39, ,64, ,47.7, ,4.1, ,98.3, ,65.5,Y
229,4/9/2022,99,0.19, ,0.00, ,624,R,11.3, ,73.8, ,42.8, ,56.4, ,91, ,51, ,72, ,47.7, ,4.1, ,97.5, ,65.2,Y
229,4/10/2022,100,0.17, ,0, ,602, ,8.8, ,63.0, ,35.1, ,50.8, ,92, ,50, ,69, ,41.1, ,4.6, ,110.9, ,64.3, 
229,4/11/2022,101,0.10, ,0.07, ,370, ,9.7, ,56.8, ,46.0, ,50.5, ,94, ,56, ,78, ,43.8, ,6.1,Y,146.7,Y,63.5, 
229,4/12/2022,102,0.16, ,0, ,597, ,7.1, ,57.1, ,30.1,Y,46.3, ,93, ,42, ,66, ,35.6, ,4.6, ,109.4, ,61.4, 
229,4/13/2022,103,0.16, ,0, ,546, ,7.7, ,60.4, ,31.6, ,47.7, ,96, ,44, ,69, ,37.9, ,3.6, ,86.1, ,61.3, 
229,4/14/2022,104,0.12, ,0, ,380, ,10.8, ,67.1, ,42.4, ,56.1, ,86, ,57, ,70, ,46.7, ,3.3, ,79.1, ,62.0, 
229,4/15/2022,105,0.16, ,0.00, ,528, ,12.8, ,70.9, ,47.8, ,57.4, ,94, ,62, ,79, ,51.1, ,3.2, ,76.7, ,63.1, 
229,4/16/2022,106,0.09, ,0.26, ,327, ,12.5, ,65.6, ,40.5, ,54.3, ,96, ,72, ,86, ,50.4, ,3.7, ,89.7, ,63.9, 
229,4/17/2022,107,0.15, ,0, ,550, ,10.4, ,65.2, ,40.4, ,50.7, ,98, ,63, ,82, ,45.5, ,3.5, ,84.1, ,62.3, 
229,4/18/2022,108,0.16, ,0, ,482, ,10.5, ,74.7, ,34.8, ,56.1, ,96, ,42, ,68, ,45.7, ,3.4, ,82.4, ,62.1, 
229,4/19/2022,109,0.15, ,0, ,463, ,13.4, ,69.0, ,45.5, ,59.6, ,95, ,46, ,77, ,52.3, ,3.7, ,89.8, ,63.3, 
229,4/20/2022,110,0.20, ,0, ,574, ,10.0, ,80.8,Y,41.7, ,59.5,H,96,H,36,H,57, ,44.5, ,4.0, ,96.7, ,63.7, 
229,4/21/2022,111,0.07, ,0.23, ,262, ,13.1, ,67.6, ,47.6, ,59.1, ,97, ,52, ,77, ,51.8, ,2.8, ,67.8, ,64.3, 
229,4/22/2022,112,0.14, ,0.08, ,474, ,11.6, ,63.0, ,47.5, ,54.4, ,97, ,63, ,80, ,48.4, ,3.6, ,85.8, ,62.7, 
229,4/23/2022,113,0.18, ,0.00, ,583, ,12.8, ,71.4, ,45.0, ,57.9, ,97, ,61, ,78, ,51.0, ,3.5, ,85.0, ,62.5, 
229,4/24/2022,114,0.17, ,0, ,571, ,12.8, ,69.7, ,40.9, ,56.0, ,98, ,60, ,84, ,51.2, ,3.0, ,72.9, ,63.2, 
229,4/25/2022,115,0.17, ,0.00, ,546, ,12.0, ,70.4, ,42.1, ,56.4, ,99, ,54, ,77, ,49.4, ,3.4, ,81.1, ,63.9, 
229,4/26/2022,116,0.15, ,0.01, ,497, ,12.0, ,67.2, ,46.2, ,55.7, ,99, ,62, ,79, ,49.4, ,4.1, ,99.5, ,64.2, 
229,4/27/2022,117,0.17, ,0, ,585, ,10.6, ,61.5, ,50.5, ,54.8, ,84, ,58, ,72, ,46.1, ,4.5, ,106.9, ,64.1, 
229,4/28/2022,118,0.16, ,0, ,526, ,10.5, ,65.9, ,42.3, ,53.8, ,95, ,54, ,74, ,45.7, ,4.4, ,105.3, ,64.3, 
229,4/29/2022,119,0.19, ,0.00, ,603, ,9.9, ,70.2, ,37.1, ,54.4, ,95, ,46, ,69, ,44.3, ,3.6, ,87.1, ,64.1, 
229,4/30/2022,120,0.18, ,0, ,595, ,12.6, ,72.7, ,38.5, ,56.0, ,97, ,65, ,82, ,50.7, ,4.3, ,103.6, ,64.5, 
