68,4/1/2022,91,0.22, ,0, ,576, ,9.9, ,85.7, ,52.5, ,70.4, ,62, ,23, ,39, ,44.3, ,3.5, ,83.5, ,70.5, 
68,4/2/2022,92,0.20, ,0, ,577, ,12.1, ,85.5, ,50.1, ,68.0, ,91, ,28, ,52, ,49.6, ,3.3, ,79.5, ,70.8, 
68,4/3/2022,93,0.23, ,0, ,586, ,11.7, ,85.9, ,56.9, ,71.6, ,74, ,25, ,44, ,48.7, ,5.3, ,127.9, ,71.5, 
68,4/4/2022,94,0.22, ,0, ,588, ,11.0, ,92.0, ,56.6, ,74.0, ,70, ,17, ,39, ,47.2, ,3.0, ,72.5, ,72.0, 
68,4/5/2022,95,0.21, ,0, ,597, ,13.8, ,92.4, ,53.7, ,73.1, ,87, ,23, ,50, ,53.2, ,2.9, ,69.5, ,72.6, 
68,4/6/2022,96,0.24, ,0, ,613, ,10.5, ,93.5, ,55.6, ,75.0, ,84, ,14, ,35, ,45.7, ,3.5, ,85.0, ,73.1, 
68,4/7/2022,97,0.27, ,0, ,636,R,5.9, ,94.2, ,56.9, ,76.6, ,45, ,9, ,19, ,31.2, ,4.6, ,111.0, ,72.7, 
68,4/8/2022,98,0.26, ,0, ,642,R,5.5, ,97.9, ,58.7, ,80.2, ,30, ,7, ,16, ,29.2, ,3.4, ,82.4, ,72.9, 
68,4/9/2022,99,0.35, ,0, ,631, ,6.7, ,100.5, ,59.9, ,81.8,Y,36, ,10, ,18,Y,34.4,Y,8.6, ,206.6, ,73.3, 
68,4/10/2022,100,0.33, ,0, ,626, ,9.2, ,92.4, ,57.5, ,77.2, ,69, ,16, ,29, ,42.2, ,10.3, ,247.7, ,74.2, 
68,4/11/2022,101,0.35, ,0, ,625, ,9.7, ,85.3, ,63.6, ,72.7, ,57, ,23, ,35, ,43.8, ,14.6, ,350.6, ,73.7, 
68,4/12/2022,102,0.28, ,0, ,630, ,7.1, ,74.3, ,55.7, ,64.9, ,54, ,16, ,34, ,35.6, ,11.1, ,265.3, ,72.6, 
68,4/13/2022,103,0.22, ,0, ,653,R,5.5, ,77.7, ,44.8, ,63.9, ,48, ,11, ,27, ,29.4, ,4.1, ,98.7, ,71.9, 
68,4/14/2022,104,0.27, ,0, ,649,R,5.9, ,90.3, ,45.9, ,69.3, ,48, ,9, ,24, ,31.1, ,6.1, ,145.7, ,71.9, 
68,4/15/2022,105,0.26, ,0, ,593, ,7.0, ,92.8, ,46.2, ,71.7, ,57, ,10, ,26, ,35.4, ,5.2, ,124.6, ,72.3, 
68,4/16/2022,106,0.35, ,0, ,651, ,8.5, ,89.0, ,57.9, ,75.1, ,57, ,17, ,29, ,40.4, ,11.5, ,276.2, ,73.0, 
68,4/17/2022,107,0.24, ,0, ,657,R,9.4, ,90.1, ,50.5, ,72.2, ,66, ,18, ,35, ,42.9, ,3.4, ,82.5, ,73.3, 
68,4/18/2022,108,0.27, ,0, ,666,R,7.3, ,102.1, ,55.7, ,79.6, ,54, ,9, ,21, ,36.4, ,4.3, ,102.2, ,74.1, 
68,4/19/2022,109,0.43, ,0, ,619, ,5.9, ,93.6, ,68.9,Y,80.2, ,38, ,8, ,17, ,31.1, ,14.2, ,340.1, ,74.7, 
68,4/20/2022,110,0.36, ,0, ,652, ,9.4, ,89.0, ,58.6, ,74.8, ,59, ,21, ,32, ,42.9, ,12.5, ,300.8, ,74.3, 
68,4/21/2022,111,0.34, ,0, ,656, ,8.5, ,92.5, ,57.3, ,75.4, ,49, ,17, ,28, ,40.5, ,11.4, ,273.7, ,74.4, 
68,4/22/2022,112,0.33, ,0, ,659, ,8.8, ,76.4, ,53.3, ,67.2, ,59, ,25, ,39, ,41.3, ,13.6, ,325.8, ,73.7, 
68,4/23/2022,113,0.25, ,0, ,669, ,7.4, ,85.0, ,49.1, ,68.3, ,69, ,13, ,31, ,36.8, ,4.4, ,106.2, ,73.0, 
68,4/24/2022,114,0.28, ,0, ,671, ,6.1, ,86.3, ,51.8, ,70.9, ,53, ,12, ,24, ,32.0, ,5.1, ,121.8, ,73.2, 
68,4/25/2022,115,0.27, ,0, ,676, ,5.2, ,91.8, ,49.6, ,73.9, ,46, ,9, ,18, ,27.9, ,3.6, ,86.7, ,73.5, 
68,4/26/2022,116,0.30, ,0, ,636, ,5.8, ,97.8, ,56.8, ,78.9, ,35, ,10, ,17, ,30.8, ,5.6, ,135.0, ,74.2, 
68,4/27/2022,117,0.35, ,0, ,684,R,5.7, ,96.5, ,63.2, ,80.5, ,27, ,7, ,16, ,30.3, ,8.5, ,203.1, ,75.3, 
68,4/28/2022,118,0.40, ,0, ,686, ,7.0, ,87.5, ,61.6, ,75.2, ,38, ,14, ,23, ,35.3, ,12.9, ,309.7, ,75.1, 
68,4/29/2022,119,0.26, ,0, ,683, ,6.3, ,92.5, ,55.0, ,74.7, ,48, ,10, ,22, ,32.9, ,3.5, ,82.9, ,75.0, 
68,4/30/2022,120,0.31, ,0, ,685, ,6.1, ,97.6, ,53.7, ,80.3, ,38, ,9, ,17, ,32.0, ,5.5, ,131.7, ,75.7, 
