259,4/1/2022,91,0.11, ,0, ,432, ,10.6, ,54.2, ,41.1, ,48.9, ,99, ,80, ,90, ,46.1, ,6.6, ,159.3, ,55.4, 
259,4/2/2022,92,0.14, ,0, ,548, ,10.1, ,56.1, ,37.9, ,48.6, ,99, ,67, ,87, ,44.8, ,7.4, ,177.4, ,55.7, 
259,4/3/2022,93,0.11, ,0, ,427, ,9.9, ,55.2, ,36.0, ,47.2, ,99, ,71, ,90, ,44.3, ,4.4, ,105.8, ,55.0, 
259,4/4/2022,94,0.03, ,0.28, ,165, ,11.4, ,57.2, ,41.2, ,48.4, ,99, ,87, ,98, ,47.9, ,5.7, ,136.4, ,54.1, 
259,4/5/2022,95,0.14, ,0.00, ,546, ,9.1, ,55.1, ,35.4, ,45.3, ,100, ,66, ,89, ,42.2, ,6.0, ,143.6, ,53.9, 
259,4/6/2022,96,0.15, ,0, ,560, ,9.8, ,61.9, ,37.4, ,48.0, ,100, ,57, ,86, ,44.1, ,5.2, ,123.8, ,54.1, 
259,4/7/2022,97,0.15, ,0, ,548, ,11.8, ,67.9, ,41.5, ,52.1, ,99, ,65, ,89, ,48.9, ,4.9, ,117.4, ,55.6, 
259,4/8/2022,98,0.12, ,0.01, ,434, ,10.6, ,55.7, ,42.6, ,49.7, ,100, ,70, ,87, ,46.1, ,10.8,Y,258.8,Y,55.5, 
259,4/9/2022,99,0.17, ,0, ,583, ,8.7, ,54.3, ,44.4, ,48.6, ,88, ,63, ,75, ,41.0, ,14.4,R,346.2,R,54.4, 
259,4/10/2022,100,0.14, ,0.10, ,535, ,9.4, ,55.4, ,41.6, ,48.1, ,99, ,68, ,82, ,42.9, ,7.7, ,183.9, ,53.9, 
259,4/11/2022,101,0.11, ,0.36, ,393, ,8.6, ,51.1, ,38.5, ,46.3, ,99, ,66, ,81, ,40.6, ,11.6,Y,278.7,Y,52.8, 
259,4/12/2022,102,0.12, ,0.24, ,493, ,8.6, ,52.8, ,36.8, ,44.5,Y,99, ,65, ,86,Y,40.6,Y,5.0, ,120.6, ,52.0,Y
259,4/13/2022,103,0.03, ,0.39, ,169, ,9.9, ,53.0, ,42.1, ,46.2, ,99, ,77, ,93, ,44.4, ,7.1, ,169.9, ,51.9,Y
259,4/14/2022,104,0.09, ,0.15, ,355, ,9.0, ,53.2, ,31.9,Y,45.3, ,99, ,64, ,87, ,41.8, ,5.5, ,131.2, ,51.9,Y
259,4/15/2022,105,0.06,R,0.42, ,283, ,7.4, ,50.1, ,31.4,Y,41.0,R,99, ,57, ,--,R,--,I,3.7, ,88.9, ,50.3,Y
259,4/16/2022,106,0.16, ,0.28, ,616, ,8.4, ,54.1, ,36.0, ,45.4,Y,99, ,59, ,82,Y,40.1,Y,5.9, ,141.6, ,51.1,Y
259,4/17/2022,107,0.16, ,0, ,570, ,8.1, ,58.0, ,35.7, ,45.8,Y,99, ,46, ,78,Y,39.2,Y,6.0, ,143.0, ,51.6,Y
259,4/18/2022,108,0.04, ,0.60, ,235, ,11.8, ,58.7, ,42.5, ,50.4, ,99, ,72, ,94, ,48.9, ,6.4, ,152.6, ,52.3,Y
259,4/19/2022,109,0.08, ,0.04, ,323, ,10.5, ,58.2, ,42.0, ,49.0, ,99, ,62, ,88, ,45.7, ,6.0, ,145.2, ,52.3,Y
259,4/20/2022,110,0.09, ,0.50, ,326, ,11.6, ,61.8, ,46.0, ,52.0, ,99, ,74, ,87, ,48.4, ,9.6,Y,230.1,Y,53.2,Y
259,4/21/2022,111,0.13, ,0.13, ,483, ,10.6, ,58.9, ,42.8, ,50.5, ,99, ,66, ,85, ,46.1, ,6.5, ,156.4, ,54.7, 
259,4/22/2022,112,0.14, ,0.18, ,516, ,10.8, ,58.9, ,41.5, ,49.8, ,99, ,72, ,89, ,46.6, ,5.1, ,122.1, ,55.7, 
259,4/23/2022,113,0.08, ,0, ,365, ,11.2, ,56.8, ,43.8, ,49.2, ,99, ,84, ,94, ,47.6, ,4.6, ,111.1, ,56.1, 
259,4/24/2022,114,0.13, ,0, ,521, ,11.0, ,57.4, ,41.0, ,50.3, ,99, ,79, ,88, ,47.0, ,4.5, ,107.9, ,57.7, 
259,4/25/2022,115,0.08, ,0, ,345, ,12.0, ,58.5, ,43.0, ,50.7, ,99, ,85, ,96, ,49.4, ,4.6, ,109.5, ,57.6, 
259,4/26/2022,116,0.17, ,0, ,630, ,10.4, ,56.9, ,42.1, ,50.2, ,100, ,66, ,84, ,45.5, ,7.1, ,169.7, ,57.8, 
259,4/27/2022,117,0.14, ,0, ,516, ,10.0, ,56.2, ,39.3, ,48.1, ,100, ,74, ,87, ,44.5, ,5.8, ,138.2, ,57.3, 
259,4/28/2022,118,0.15, ,0.02, ,572, ,9.8, ,57.9, ,37.7, ,47.8, ,100, ,68, ,86, ,43.9, ,3.8, ,91.9, ,57.6, 
259,4/29/2022,119,0.16, ,0, ,582, ,10.4, ,60.4, ,37.4, ,50.8, ,99, ,60, ,82, ,45.5, ,4.4, ,104.4, ,58.5, 
259,4/30/2022,120,0.08, ,0.17, ,329, ,12.0, ,58.5, ,48.2, ,52.9, ,99, ,67, ,88, ,49.4, ,4.8, ,114.3, ,60.0, 
