158,4/1/2022,91,0.15, ,0.00, ,521, ,10.0, ,70.6, ,38.5, ,52.6, ,97, ,49, ,74, ,44.6, ,2.6, ,63.2, ,56.9, 
158,4/2/2022,92,0.15, ,0, ,494, ,10.6, ,74.8, ,39.8, ,55.4, ,96, ,45, ,70, ,46.0, ,2.5, ,60.5, ,57.3, 
158,4/3/2022,93,0.17, ,0, ,526, ,8.7, ,74.2, ,38.8, ,56.2, ,90, ,31, ,57, ,41.0, ,2.9, ,69.6, ,57.5, 
158,4/4/2022,94,0.14, ,0, ,478, ,10.9, ,67.7, ,43.0, ,55.1, ,95, ,55, ,74, ,46.8, ,3.3, ,78.3, ,57.7, 
158,4/5/2022,95,0.16, ,0, ,524, ,9.5, ,69.9, ,40.1, ,53.9, ,99, ,42, ,67, ,43.2, ,2.5, ,59.5, ,57.7, 
158,4/6/2022,96,0.18, ,0, ,528, ,9.9, ,83.3,Y,39.1, ,59.9, ,90, ,31, ,56, ,44.3, ,2.7, ,65.0, ,58.2, 
158,4/7/2022,97,0.19, ,0, ,521, ,11.4, ,88.9,Y,44.0, ,64.8,Y,91, ,26, ,55,Y,48.1,Y,2.5, ,59.9, ,59.7, 
158,4/8/2022,98,0.18, ,0, ,533, ,11.0, ,84.5,Y,44.7, ,62.8,Y,89, ,37, ,56,Y,46.9,Y,2.6, ,61.6, ,60.6, 
158,4/9/2022,99,0.18, ,0, ,556, ,7.8, ,74.9, ,39.0, ,56.9, ,82, ,25, ,49, ,38.1, ,2.4, ,58.7, ,59.5, 
158,4/10/2022,100,0.18, ,0, ,525, ,6.9, ,68.3, ,37.7, ,53.0, ,80, ,29, ,50, ,35.0, ,4.4,Y,106.2,Y,57.9, 
158,4/11/2022,101,0.16, ,0.01, ,564, ,7.5, ,56.9, ,40.5, ,50.0, ,93, ,31, ,61, ,37.0, ,5.6,R,134.9,R,56.5, 
158,4/12/2022,102,0.14, ,0, ,500, ,6.7, ,56.7, ,31.7, ,45.7, ,92, ,43, ,64, ,34.4, ,4.0, ,95.8, ,54.2, 
158,4/13/2022,103,0.10, ,0.07, ,372, ,8.3, ,55.5, ,35.6, ,46.2, ,97, ,58, ,78, ,39.8, ,3.3, ,78.5, ,54.2, 
158,4/14/2022,104,0.02, ,0.57, ,122, ,12.3, ,53.9, ,44.5, ,51.3, ,98, ,92, ,95, ,50.0, ,3.1, ,75.0, ,55.8, 
158,4/15/2022,105,0.14, ,0, ,529, ,9.1, ,59.3, ,38.7, ,49.0, ,99, ,52, ,77, ,42.1, ,2.3, ,54.3, ,55.9, 
158,4/16/2022,106,0.14, ,0.83, ,506, ,11.5, ,63.2, ,37.0, ,53.1, ,99, ,62, ,84, ,48.3, ,2.9, ,70.0, ,57.7, 
158,4/17/2022,107,0.15, ,0, ,582, ,8.0, ,59.6, ,32.2, ,45.2, ,99, ,49, ,78, ,38.7, ,2.6, ,63.2, ,56.9, 
158,4/18/2022,108,0.10, ,0.02, ,376, ,10.4, ,63.6, ,33.8, ,49.7, ,98, ,59, ,86, ,45.6, ,2.9, ,69.7, ,56.6, 
158,4/19/2022,109,0.13, ,0, ,472, ,11.0, ,61.2, ,44.5, ,52.0, ,99, ,59, ,83, ,47.0, ,2.6, ,62.2, ,58.0, 
158,4/20/2022,110,0.06, ,0, ,249, ,12.0, ,62.1, ,47.3, ,53.7, ,97, ,64, ,85, ,49.3, ,2.7, ,65.0, ,58.2, 
158,4/21/2022,111,0.10, ,0.21, ,366, ,11.0, ,60.4, ,45.9, ,51.6, ,99, ,60, ,84, ,47.0, ,2.7, ,65.1, ,58.2, 
158,4/22/2022,112,0.16, ,0.00, ,581, ,10.3, ,61.8, ,41.8, ,50.8, ,100, ,58, ,81, ,45.2, ,2.7, ,63.9, ,58.2, 
158,4/23/2022,113,0.18,R,0, ,565, ,10.3, ,70.8, ,38.3, ,53.8, ,99, ,47, ,73, ,45.2, ,2.6, ,61.6, ,58.6, 
158,4/24/2022,114,0.18, ,0, ,566, ,10.7, ,72.8, ,38.8, ,54.5, ,97, ,42, ,74, ,46.3, ,2.4, ,57.8, ,59.3, 
158,4/25/2022,115,0.18, ,0.05, ,577, ,11.2, ,72.5, ,41.9, ,55.4, ,96, ,50, ,75, ,47.5, ,2.5, ,59.0, ,59.9, 
158,4/26/2022,116,0.18,R,0, ,585, ,10.6, ,70.7, ,43.7, ,56.4, ,94, ,47, ,68, ,46.1, ,2.6, ,61.7, ,60.5, 
158,4/27/2022,117,0.17, ,0, ,563, ,9.3, ,67.3, ,37.6, ,51.7, ,96, ,47, ,71, ,42.5, ,2.5, ,59.3, ,60.0, 
158,4/28/2022,118,0.18, ,0, ,591, ,8.8, ,66.3, ,39.6, ,53.7, ,89, ,41, ,63, ,41.3, ,3.6, ,85.5, ,59.4, 
158,4/29/2022,119,0.16, ,0, ,516, ,9.1, ,71.5, ,38.7, ,56.0, ,95, ,39, ,60, ,42.2, ,2.3, ,54.6, ,59.4, 
158,4/30/2022,120,0.19, ,0.04, ,580, ,11.4, ,70.9, ,44.4, ,57.3, ,94, ,55, ,71, ,48.0, ,3.7, ,88.3, ,60.3, 
