43,4/1/2022,91,0.16, ,0, ,545, ,5.6, ,67.9, ,24.1, ,47.9, ,95, ,19, ,49, ,29.8, ,3.7, ,88.4, ,47.7, 
43,4/2/2022,92,0.17, ,0, ,593,R,4.8, ,64.7, ,28.1, ,47.5, ,84, ,16, ,43, ,26.3, ,4.7, ,114.0, ,48.2, 
43,4/3/2022,93,0.16, ,0, ,497, ,4.1, ,67.2, ,20.0, ,44.5, ,83, ,16, ,41, ,22.5, ,4.9, ,117.1, ,47.4, 
43,4/4/2022,94,0.11, ,0, ,265, ,7.2, ,55.8, ,37.0, ,47.9, ,72, ,53, ,63, ,36.1, ,11.9,Y,286.6,Y,47.1, 
43,4/5/2022,95,0.17, ,0, ,610,R,4.2, ,57.6, ,27.2, ,43.2, ,74, ,22, ,44, ,22.9, ,6.1, ,146.1, ,46.9, 
43,4/6/2022,96,0.18, ,0, ,604,R,4.7, ,74.3, ,22.3, ,49.0, ,84, ,16, ,40, ,25.6, ,3.9, ,92.5, ,46.9, 
43,4/7/2022,97,0.20, ,0, ,604,R,5.9, ,81.4,Y,26.2, ,55.7, ,97, ,16, ,39, ,31.0, ,3.7, ,89.1, ,47.8, 
43,4/8/2022,98,0.22, ,0, ,583, ,6.8, ,73.6, ,36.5, ,54.3, ,85, ,22, ,47, ,34.7, ,7.0, ,169.1, ,48.7, 
43,4/9/2022,99,0.20, ,0, ,640,R,3.5, ,57.3, ,30.0, ,43.4, ,61, ,16, ,36, ,18.5, ,10.4, ,250.7, ,48.5, 
43,4/10/2022,100,0.15, ,0, ,572, ,4.6, ,57.4, ,19.7, ,41.5, ,83, ,31, ,52, ,25.2, ,4.4, ,104.9, ,47.6, 
43,4/11/2022,101,0.13, ,0.09, ,458, ,4.9, ,44.3, ,23.4, ,36.7, ,94, ,38, ,66, ,26.4, ,13.0,R,311.8,R,47.4, 
43,4/12/2022,102,0.15, ,0, ,550, ,3.7, ,45.4, ,12.0,R,32.7,Y,92, ,42, ,58,Y,19.7,Y,8.6, ,206.0, ,46.0, 
43,4/13/2022,103,0.12, ,0.04, ,387, ,5.3, ,46.8, ,30.6, ,37.9, ,96, ,49, ,69, ,28.5, ,12.2,Y,293.6,Y,46.1, 
43,4/14/2022,104,0.09, ,0.11,H,373, ,7.7, ,52.7, ,33.5, ,40.7, ,100, ,69, ,89, ,37.7, ,7.6, ,182.8, ,47.0, 
43,4/15/2022,105,0.14, ,0.24, ,525, ,7.0, ,54.2, ,34.9, ,42.2, ,100, ,50, ,77, ,35.5, ,6.2, ,148.4, ,47.7, 
43,4/16/2022,106,0.13, ,0.67, ,451, ,6.4, ,53.0, ,32.0, ,40.9, ,100, ,41, ,74, ,33.1, ,6.9, ,164.7, ,47.4, 
43,4/17/2022,107,0.18, ,0, ,638, ,6.2, ,60.7, ,29.9, ,44.9, ,95, ,37, ,61, ,32.3, ,5.0, ,119.0, ,47.4, 
43,4/18/2022,108,0.16, ,0.09, ,507, ,6.7, ,54.3, ,24.2, ,42.6, ,100, ,48, ,72, ,34.4, ,10.2, ,243.7, ,47.4, 
43,4/19/2022,109,0.11, ,0.20, ,367, ,7.2, ,50.8, ,36.4, ,43.0, ,99, ,54, ,76, ,36.1, ,8.1, ,194.7, ,47.1, 
43,4/20/2022,110,0.08, ,0.02, ,250, ,7.2, ,50.1, ,28.6, ,42.5, ,100, ,60, ,78, ,36.2, ,9.0, ,215.3, ,46.5, 
43,4/21/2022,111,0.12, ,0.64, ,464, ,7.0, ,49.6, ,32.1, ,39.9, ,100, ,56, ,84, ,35.5, ,6.6, ,158.8, ,46.2, 
43,4/22/2022,112,0.13, ,0.09, ,758,R,7.5, ,54.8, ,35.9, ,45.9, ,100, ,51, ,71, ,37.2, ,4.8, ,115.8, ,47.1, 
43,4/23/2022,113,0.17, ,0.00, ,647, ,7.0, ,62.4, ,32.4, ,45.6, ,100, ,31, ,68, ,35.5, ,3.4, ,80.8, ,48.1, 
43,4/24/2022,114,0.20, ,0, ,663, ,5.9, ,69.4, ,29.5, ,49.2, ,94, ,20, ,50, ,31.3, ,3.9, ,94.0, ,49.2, 
43,4/25/2022,115,0.21,R,0.02, ,627, ,7.9, ,67.5, ,35.9, ,52.1, ,91, ,36, ,59, ,38.4, ,6.0, ,144.9, ,50.1, 
43,4/26/2022,116,0.21, ,0.05, ,666, ,7.9, ,65.0, ,38.9, ,51.2, ,100, ,26, ,61, ,38.4, ,6.1, ,147.5, ,51.3, 
43,4/27/2022,117,0.20, ,0, ,669, ,5.6, ,63.9, ,30.7, ,48.1, ,87, ,24, ,49, ,29.8, ,5.4, ,130.5, ,51.3, 
43,4/28/2022,118,0.09, ,0.47, ,349, ,7.9, ,53.6, ,35.9, ,43.7, ,98, ,67, ,82, ,38.6, ,5.6, ,135.3, ,51.0, 
43,4/29/2022,119,0.18, ,0, ,668, ,6.4, ,65.0, ,31.0, ,47.6, ,96, ,24, ,57, ,33.3, ,3.9, ,93.0, ,50.6, 
43,4/30/2022,120,0.22, ,0, ,603, ,8.6, ,63.6, ,37.8, ,53.1, ,94, ,44, ,62, ,40.6, ,9.3, ,222.7, ,51.6, 
