106,8/1/2022,213,0.08, ,0, ,231, ,17.0, ,85.2, ,61.6,Y,71.2, ,84, ,49, ,65, ,58.9, ,2.8, ,67.6, ,79.7, 
106,8/2/2022,214,0.25, ,0, ,589, ,16.4, ,100.9, ,58.7, ,77.7, ,91, ,26, ,51, ,57.9, ,3.4, ,81.3, ,78.5, 
106,8/3/2022,215,0.22, ,0, ,510, ,15.3, ,102.4, ,60.0,Y,77.4, ,75, ,28, ,48, ,56.0, ,3.3, ,79.4, ,79.5, 
106,8/4/2022,216,0.26, ,0, ,592, ,14.9, ,96.0, ,57.8, ,75.0, ,76, ,30, ,50, ,55.3, ,5.0, ,119.5, ,79.8, 
106,8/5/2022,217,0.23, ,0, ,603, ,16.2, ,87.8, ,58.1, ,70.2, ,89, ,43, ,64, ,57.5, ,6.2,Y,150.0,Y,80.0, 
106,8/6/2022,218,0.22, ,0, ,572, ,15.1, ,87.6, ,58.8, ,70.4, ,83, ,35, ,59, ,55.6, ,5.6, ,134.2, ,79.8, 
106,8/7/2022,219,0.23, ,0, ,607, ,14.2, ,90.0, ,48.5, ,67.8, ,93, ,34, ,61, ,53.8, ,4.0, ,95.6, ,79.5, 
106,8/8/2022,220,0.24, ,0, ,623, ,13.5, ,90.0, ,47.2, ,68.1, ,95, ,31, ,58, ,52.5, ,3.6, ,86.5, ,78.9, 
106,8/9/2022,221,0.23, ,0, ,618, ,13.0, ,88.1, ,47.4, ,66.6, ,94, ,30, ,58, ,51.6, ,3.7, ,90.0, ,78.4, 
106,8/10/2022,222,0.23, ,0, ,619, ,13.1, ,92.0, ,45.0, ,67.3, ,95, ,25, ,57, ,51.8, ,3.6, ,86.3, ,77.9, 
106,8/11/2022,223,0.24, ,0, ,615, ,13.7, ,93.7, ,47.2, ,69.0, ,95, ,24, ,56, ,52.9, ,4.0, ,95.5, ,77.8, 
106,8/12/2022,224,0.24, ,0, ,617, ,13.7, ,90.0, ,46.9, ,68.5, ,94, ,32, ,57, ,52.9, ,4.8, ,115.9, ,77.9, 
106,8/13/2022,225,0.25, ,0, ,616, ,12.0, ,97.2, ,47.0, ,70.8, ,93, ,18, ,47, ,49.3, ,3.7, ,89.0, ,77.6, 
106,8/14/2022,226,0.25, ,0, ,591, ,13.4, ,98.6, ,50.7, ,73.2, ,87, ,22, ,48, ,52.3, ,3.8, ,92.3, ,77.9, 
106,8/15/2022,227,0.25, ,0, ,574, ,13.4, ,104.1, ,52.0, ,75.5, ,88, ,17, ,44, ,52.4, ,3.4, ,81.5, ,78.3, 
106,8/16/2022,228,0.26, ,0, ,590, ,12.4, ,108.4,Y,52.4, ,78.7, ,84, ,11, ,37, ,50.3, ,3.1, ,73.5, ,78.7, 
106,8/17/2022,229,0.22, ,0, ,470, ,12.2, ,104.3, ,54.9, ,77.6, ,68, ,16, ,38, ,49.8, ,3.4, ,81.0, ,79.3, 
106,8/18/2022,230,0.26, ,0, ,587, ,12.3, ,104.2, ,55.6, ,76.9, ,78, ,18, ,39, ,50.1, ,3.5, ,84.9, ,79.4, 
106,8/19/2022,231,0.26, ,0, ,596, ,12.4, ,99.8, ,47.9, ,74.1, ,80, ,20, ,43, ,50.2, ,4.0, ,95.6, ,79.3, 
106,8/20/2022,232,0.25, ,0, ,576, ,13.5, ,107.0,Y,55.1, ,79.0,Y,79, ,16, ,40,Y,52.5,Y,3.2, ,77.4, ,79.4, 
106,8/21/2022,233,0.24, ,0, ,574, ,13.5, ,96.0, ,55.3, ,73.8, ,81, ,25, ,48, ,52.6, ,3.9, ,93.5, ,80.0, 
106,8/22/2022,234,0.25, ,0, ,572, ,15.2, ,94.6, ,50.4, ,73.4, ,89, ,31, ,54, ,55.8, ,5.1, ,123.0, ,79.4, 
106,8/23/2022,235,0.24, ,0, ,570, ,15.9, ,99.1, ,56.0, ,76.0, ,93, ,25, ,52, ,57.0, ,3.9, ,92.4, ,79.4, 
106,8/24/2022,236,0.24, ,0, ,568, ,15.0, ,98.6, ,53.4, ,76.3, ,87, ,24, ,48, ,55.3, ,3.6, ,87.0, ,79.6, 
106,8/25/2022,237,0.23, ,0, ,571, ,14.8, ,92.0, ,50.7, ,70.8, ,92, ,34, ,58, ,55.1, ,4.6, ,111.2, ,79.8, 
106,8/26/2022,238,0.23, ,0, ,559, ,14.0, ,96.0, ,52.3, ,72.6, ,96, ,25, ,51, ,53.6, ,3.8, ,90.1, ,79.5, 
106,8/27/2022,239,0.22, ,0, ,557, ,14.4, ,94.2, ,50.0, ,72.0, ,93, ,31, ,54, ,54.3, ,3.2, ,77.2, ,79.4, 
106,8/28/2022,240,0.21, ,0, ,553, ,14.3, ,88.1, ,49.9, ,69.0, ,94, ,34, ,59, ,54.1, ,4.2, ,100.1, ,79.2, 
106,8/29/2022,241,0.19, ,0, ,476, ,14.1, ,91.7, ,55.1, ,70.5, ,91, ,29, ,55, ,53.8, ,4.2, ,100.6, ,79.0, 
106,8/30/2022,242,0.22, ,0, ,549, ,12.8, ,94.1, ,47.4, ,70.7, ,93, ,25, ,50, ,51.1, ,4.2, ,99.9, ,78.7, 
106,8/31/2022,243,0.22, ,0, ,572, ,11.1, ,100.9, ,44.3, ,70.7, ,94, ,10, ,43, ,47.3, ,2.9, ,70.1, ,78.4, 
