64,8/1/2022,213,0.26,R,0, ,687, ,16.7, ,98.0, ,62.1,Y,77.1,Y,85, ,24, ,52,Y,58.3,Y,3.0, ,72.3, ,82.4,Y
64,8/2/2022,214,0.25, ,0, ,0, ,16.8, ,69.4,Y,60.6, ,63.6, ,92, ,26, ,84, ,58.6, ,2.2,R,51.6,R,83.0,Y
64,8/3/2022,215,0.24, ,0, ,647, ,17.1, ,93.5, ,58.7, ,71.8, ,100, ,34, ,64, ,59.1, ,3.0, ,72.7, ,83.2,Y
64,8/4/2022,216,0.23, ,0, ,610, ,14.7, ,97.0, ,60.0, ,73.5, ,95, ,16, ,52, ,54.9, ,3.0,Y,72.2,Y,83.2,Y
64,8/5/2022,217,0.21, ,0, ,605, ,16.6, ,91.0, ,56.9, ,69.1, ,99, ,34, ,68, ,58.2, ,3.1, ,73.9, ,83.3,Y
64,8/6/2022,218,0.21, ,0, ,635, ,16.9, ,83.8, ,55.4, ,67.5, ,100, ,45, ,73, ,58.7, ,2.9,Y,69.6,Y,83.2,Y
64,8/7/2022,219,0.23, ,0, ,661, ,16.1, ,87.8, ,54.7, ,67.9, ,100, ,40, ,69, ,57.4, ,2.8,Y,68.2,Y,82.9,Y
64,8/8/2022,220,0.23, ,0, ,651, ,16.3, ,86.5, ,56.2, ,68.3, ,100, ,41, ,69, ,57.8, ,2.9,Y,70.5,Y,82.8,Y
64,8/9/2022,221,0.22, ,0, ,614, ,16.2, ,92.0, ,57.5, ,68.5, ,100, ,33, ,68, ,57.5, ,2.9,Y,70.5,Y,82.8,Y
64,8/10/2022,222,0.24, ,0, ,672, ,15.5, ,90.5, ,54.5, ,69.3, ,100, ,31, ,63, ,56.4, ,3.0,Y,72.1,Y,82.7,Y
64,8/11/2022,223,0.21, ,0, ,621, ,16.5, ,84.3, ,56.5, ,66.4, ,100, ,43, ,74, ,58.0, ,2.9,Y,68.6,Y,82.7,Y
64,8/12/2022,224,0.22, ,0, ,648, ,15.9, ,86.2, ,56.4, ,67.4, ,100, ,40, ,69, ,57.1, ,2.9,Y,69.4,Y,82.6, 
64,8/13/2022,225,0.23, ,0, ,652, ,15.3, ,92.0, ,54.7, ,68.9, ,100, ,33, ,63, ,56.0, ,2.5,R,60.1,R,82.5, 
64,8/14/2022,226,0.22, ,0, ,645, ,15.2, ,86.1, ,55.3, ,65.6, ,100, ,37, ,70, ,55.7, ,3.2, ,76.6, ,82.6, 
64,8/15/2022,227,0.22, ,0, ,647, ,14.8, ,91.5, ,54.3, ,66.8, ,100, ,29, ,66, ,55.1, ,2.4,R,57.2,R,82.5, 
64,8/16/2022,228,0.24, ,0, ,635, ,13.8, ,101.8,Y,53.9, ,72.8, ,100, ,14, ,50, ,53.2, ,2.6,Y,62.3,Y,82.5, 
64,8/17/2022,229,0.25, ,0, ,885,R,14.3, ,99.1, ,58.1, ,--,S,95, ,19, ,--,Q,--,Q,4.0, ,94.9, ,82.6,Y
64,8/18/2022,230,0.23, ,0, ,767,R,15.7, ,93.7, ,55.7, ,70.9, ,100, ,27, ,61, ,56.7, ,3.4,H,80.6,H,82.9,Y
64,8/19/2022,231,0.22, ,0, ,630, ,15.3, ,93.2, ,54.4, ,66.7, ,100, ,31, ,69, ,56.0, ,3.0,Y,71.8,Y,82.9,Y
64,8/20/2022,232,0.22, ,0, ,629, ,16.3, ,90.5, ,54.3, ,67.3, ,100, ,40, ,71, ,57.7, ,2.9,Y,69.3,Y,82.9,Y
64,8/21/2022,233,0.21, ,0, ,628, ,17.6, ,87.2, ,56.1, ,68.3, ,100, ,45, ,75, ,59.9, ,3.0,Y,72.9,Y,82.8,Y
64,8/22/2022,234,0.21, ,0, ,612, ,16.6, ,90.5, ,56.8, ,68.7, ,100, ,35, ,69, ,58.2, ,3.1, ,73.2, ,82.8,Y
64,8/23/2022,235,0.21, ,0, ,612, ,16.0, ,89.6, ,55.6, ,66.5, ,100, ,37, ,72, ,57.2, ,3.2, ,77.3, ,82.8,Y
64,8/24/2022,236,0.22, ,0, ,624, ,15.7, ,92.7, ,54.1, ,68.5, ,100, ,34, ,66, ,56.6, ,3.0,Y,72.6,Y,82.7,Y
64,8/25/2022,237,0.22, ,0, ,626, ,15.9, ,93.0, ,52.9, ,69.2, ,100, ,34, ,65, ,57.1, ,3.1, ,73.6, ,82.7,Y
64,8/26/2022,238,0.22, ,0, ,621, ,15.4, ,95.2, ,54.6, ,69.0, ,100, ,27, ,64, ,56.2, ,3.2, ,77.2, ,82.7,Y
64,8/27/2022,239,0.21, ,0, ,616, ,15.7, ,89.1, ,55.2, ,67.1, ,100, ,36, ,69, ,56.7, ,3.2, ,76.9, ,82.8,Y
64,8/28/2022,240,0.19, ,0, ,587, ,15.0, ,81.1, ,51.5, ,63.8, ,100, ,46, ,74, ,55.4, ,3.1, ,74.7, ,82.7,Y
64,8/29/2022,241,0.20, ,0, ,597, ,14.3, ,88.3, ,48.5, ,64.6, ,100, ,37, ,69, ,54.1, ,2.7,Y,65.9,Y,82.5,Y
64,8/30/2022,242,0.21, ,0, ,608, ,13.8, ,89.6, ,44.1,Y,65.5, ,100, ,34, ,64, ,53.1, ,2.8,Y,67.6,Y,82.2,Y
64,8/31/2022,243,0.21, ,0, ,604, ,15.2, ,92.1, ,50.0, ,68.1, ,100, ,34, ,65, ,55.8, ,2.9,Y,70.0,Y,82.0,Y
