206,8/1/2022,213,0.17, ,0.00, ,382, ,17.1, ,85.8, ,67.5, ,75.7, ,76, ,41, ,56, ,59.1, ,5.8, ,138.4, ,80.3, 
206,8/2/2022,214,0.28, ,0, ,624, ,19.4,Y,97.0, ,67.6, ,81.1, ,81, ,35, ,53,Y,62.6,Y,6.2, ,149.5, ,79.9, 
206,8/3/2022,215,0.30, ,0, ,661, ,17.0, ,97.6, ,66.3, ,81.6, ,64, ,30, ,46, ,58.8, ,6.2, ,147.8, ,80.5, 
206,8/4/2022,216,0.28, ,0, ,599, ,16.5, ,98.1, ,68.1, ,82.3, ,77, ,28, ,44, ,58.1, ,5.6, ,135.2, ,80.9, 
206,8/5/2022,217,0.16, ,0, ,389, ,16.3, ,86.4, ,66.3, ,74.1, ,74, ,43, ,57, ,57.8, ,5.4, ,130.0, ,80.6, 
206,8/6/2022,218,0.25, ,0, ,669, ,17.6, ,87.3, ,60.9, ,72.9, ,88, ,46, ,64, ,59.9, ,7.5,Y,180.5,Y,79.8, 
206,8/7/2022,219,0.27, ,0, ,673, ,16.1, ,88.6, ,57.5, ,72.9, ,88, ,39, ,58, ,57.4, ,7.1, ,171.4, ,79.6, 
206,8/8/2022,220,0.25, ,0, ,593, ,15.5, ,89.2, ,60.1, ,73.4, ,83, ,35, ,55, ,56.4, ,7.9,Y,189.7,Y,79.3, 
206,8/9/2022,221,0.26, ,0, ,647, ,15.9, ,87.3, ,62.9, ,73.6, ,76, ,37, ,56, ,57.0, ,7.9,Y,188.8,Y,79.2, 
206,8/10/2022,222,0.25, ,0, ,671, ,16.0, ,87.3, ,59.0, ,72.5, ,86, ,37, ,59, ,57.2, ,6.6, ,158.7, ,79.2, 
206,8/11/2022,223,0.28, ,0, ,672, ,14.6, ,89.9, ,58.6, ,74.2, ,79, ,28, ,51, ,54.8, ,6.9, ,165.9, ,79.1, 
206,8/12/2022,224,0.28, ,0, ,680,R,14.0, ,89.9, ,58.0, ,74.0, ,76, ,31, ,49, ,53.5, ,6.8, ,163.1, ,78.9, 
206,8/13/2022,225,0.27, ,0, ,681,R,12.8, ,92.1, ,55.0, ,73.9, ,77, ,24, ,45, ,51.2, ,5.6, ,134.8, ,78.8, 
206,8/14/2022,226,0.27, ,0, ,687,R,13.3, ,93.9, ,53.6, ,74.3, ,82, ,24, ,46, ,52.2, ,5.0, ,120.5, ,78.6, 
206,8/15/2022,227,0.26, ,0, ,676,R,15.2, ,96.7, ,56.3, ,76.9, ,85, ,25, ,48, ,55.8, ,4.1, ,98.5, ,78.7, 
206,8/16/2022,228,0.27, ,0, ,647, ,16.0, ,99.1, ,61.4, ,80.7, ,81, ,21, ,45, ,57.2, ,4.2, ,101.0, ,79.1, 
206,8/17/2022,229,0.21, ,0, ,458, ,16.1, ,94.8, ,63.6, ,79.4, ,74, ,27, ,47, ,57.3, ,4.9, ,116.4, ,79.4, 
206,8/18/2022,230,0.30, ,0, ,630, ,14.7, ,98.3, ,63.6, ,80.7, ,62, ,25, ,41, ,54.8, ,6.4, ,153.3, ,79.2, 
206,8/19/2022,231,0.26, ,0, ,653,R,14.6, ,97.5, ,59.6, ,78.5, ,70, ,26, ,44, ,54.8, ,4.7, ,112.0, ,79.6, 
206,8/20/2022,232,0.25, ,0, ,653,R,15.8, ,99.4, ,57.7, ,78.7, ,83, ,23, ,47, ,56.8, ,3.7, ,88.1, ,79.6, 
206,8/21/2022,233,0.26, ,0, ,627, ,16.9, ,93.0, ,61.4, ,76.8, ,83, ,34, ,54, ,58.7, ,5.4, ,130.4, ,79.6, 
206,8/22/2022,234,0.25, ,0, ,634, ,16.5, ,93.7, ,59.7, ,75.6, ,82, ,28, ,55, ,58.0, ,5.6, ,133.5, ,79.4, 
206,8/23/2022,235,0.24, ,0, ,635, ,18.6, ,96.0, ,59.6, ,77.9, ,89, ,32, ,57, ,61.5, ,4.3, ,103.3, ,79.3, 
206,8/24/2022,236,0.25, ,0, ,617, ,17.9, ,99.8, ,62.2, ,79.9, ,89, ,26, ,51, ,60.3, ,4.0, ,96.2, ,79.6, 
206,8/25/2022,237,0.23, ,0,H,625,H,16.9,H,93.6, ,60.7, ,76.7,H,84,H,34,H,54, ,58.8, ,4.4,H,105.5,H,79.7,H
206,8/26/2022,238,0.23, ,0, ,611, ,17.2, ,92.1, ,59.6, ,74.9, ,87, ,38, ,58, ,59.2, ,5.0, ,120.7, ,79.6, 
206,8/27/2022,239,0.24, ,0, ,622, ,15.8, ,94.7, ,60.0, ,76.1, ,87, ,27, ,52, ,56.9, ,4.5, ,108.9, ,79.4, 
206,8/28/2022,240,0.23, ,0, ,608, ,15.6, ,88.1, ,57.8, ,72.9, ,82, ,38, ,56, ,56.4, ,5.3, ,126.4, ,79.2, 
206,8/29/2022,241,0.23, ,0, ,576, ,15.5, ,90.9, ,59.5, ,74.3, ,82, ,33, ,53, ,56.3, ,5.8, ,139.9, ,78.9, 
206,8/30/2022,242,0.24, ,0, ,597, ,16.5, ,93.0, ,62.1, ,76.2, ,77, ,34, ,53, ,58.0, ,5.5, ,132.9, ,79.0, 
206,8/31/2022,243,0.25, ,0, ,596, ,14.8, ,93.6, ,60.2, ,75.8, ,80, ,29, ,49, ,55.1, ,5.9, ,142.5, ,79.0, 
