47,8/1/2022,213,0.17, ,0.02, ,397, ,15.7, ,88.0, ,63.9, ,73.7, ,96, ,22, ,55, ,56.7, ,4.7, ,112.4, ,77.1, 
47,8/2/2022,214,0.28, ,0, ,596, ,16.3, ,97.9, ,63.7, ,80.1, ,95, ,26, ,46, ,57.7, ,5.4, ,130.8, ,77.5, 
47,8/3/2022,215,0.30, ,0.03, ,634, ,15.2, ,100.6, ,65.5,Y,82.1, ,77, ,24, ,41, ,55.8, ,5.4, ,129.1, ,79.3, 
47,8/4/2022,216,0.31, ,0, ,633, ,13.5, ,98.4, ,66.7,Y,80.0, ,73, ,18, ,39, ,52.6, ,6.8, ,163.8, ,80.0, 
47,8/5/2022,217,0.26, ,0.03, ,641, ,15.8, ,89.3, ,63.4, ,74.0, ,75, ,39, ,55, ,56.9, ,6.3, ,152.3, ,79.6, 
47,8/6/2022,218,0.26, ,0, ,653, ,16.1, ,88.8, ,59.2, ,72.4, ,99, ,31, ,59, ,57.3, ,5.9, ,142.1, ,78.6, 
47,8/7/2022,219,0.27, ,0.03, ,658, ,14.2, ,90.2, ,54.1, ,72.4, ,99, ,25, ,52, ,53.8, ,5.1, ,123.4, ,77.9, 
47,8/8/2022,220,0.26, ,0.01, ,608, ,14.2, ,91.4, ,57.0, ,73.5, ,93, ,27, ,50, ,53.9, ,5.1, ,123.4, ,77.0, 
47,8/9/2022,221,0.26, ,0.00, ,617, ,14.3, ,88.9, ,59.6, ,72.5, ,98, ,26, ,52, ,54.0, ,6.5, ,155.9, ,76.5, 
47,8/10/2022,222,0.27, ,0.03, ,650, ,15.3, ,89.8, ,57.6, ,73.1, ,99, ,29, ,55, ,56.0, ,6.5, ,157.0, ,76.4, 
47,8/11/2022,223,0.26, ,0, ,649, ,13.6, ,93.3, ,54.2, ,73.3, ,96, ,21, ,48, ,52.7, ,4.9, ,116.5, ,76.5, 
47,8/12/2022,224,0.27, ,0.02, ,655, ,12.0, ,94.4, ,51.4, ,73.1, ,99, ,18, ,43, ,49.5, ,4.9, ,117.6, ,76.5, 
47,8/13/2022,225,0.28, ,0, ,654, ,11.6, ,97.4, ,52.8, ,74.2, ,94, ,19, ,40, ,48.5, ,5.2, ,124.5, ,76.1, 
47,8/14/2022,226,0.28, ,0.02, ,658, ,12.3, ,99.0, ,51.6, ,75.6, ,99, ,7, ,40, ,50.0, ,5.3, ,127.2, ,76.2, 
47,8/15/2022,227,0.28, ,0.06, ,641, ,14.3, ,101.9, ,56.4, ,78.3, ,99, ,11, ,43, ,54.0, ,4.4, ,106.4, ,76.5, 
47,8/16/2022,228,0.29, ,0, ,617, ,13.2, ,105.1,Y,57.9, ,81.7, ,99, ,9, ,36, ,52.0, ,4.9, ,118.2, ,76.6, 
47,8/17/2022,229,0.19, ,0.02, ,358, ,12.9, ,95.5, ,68.5,Y,80.0, ,65, ,14, ,37, ,51.4, ,5.2, ,123.8, ,76.6, 
47,8/18/2022,230,0.30, ,0, ,607, ,12.7, ,100.6, ,60.2, ,80.4, ,69, ,20, ,36, ,50.9, ,5.6, ,134.8, ,76.2, 
47,8/19/2022,231,0.27, ,0.02, ,625, ,13.6, ,101.6, ,57.2, ,79.1, ,96, ,15, ,40, ,52.8, ,4.3, ,104.1, ,77.2, 
47,8/20/2022,232,0.27, ,0, ,623, ,14.3, ,103.0, ,56.2, ,78.9, ,99, ,15, ,42, ,54.1, ,4.1, ,98.8, ,77.4, 
47,8/21/2022,233,0.26, ,0.03, ,617, ,16.0, ,93.8, ,58.4, ,73.5, ,99, ,32, ,57, ,57.2, ,6.6, ,157.4, ,--,S
47,8/22/2022,234,0.27, ,0.02, ,616, ,15.9, ,97.4, ,58.2, ,77.3, ,99, ,19, ,50, ,57.1, ,5.4, ,130.4, ,--,S
47,8/23/2022,235,0.26, ,0, ,608, ,16.6, ,97.7, ,61.2, ,79.1, ,99, ,22, ,49, ,58.3, ,4.6, ,109.6, ,--,S
47,8/24/2022,236,0.26, ,0.02, ,612, ,16.5, ,95.1, ,59.3, ,76.4, ,99, ,21, ,53, ,58.0, ,5.3, ,127.5, ,--,S
47,8/25/2022,237,0.24, ,0, ,611, ,16.4, ,91.0, ,54.2, ,72.6, ,99, ,32, ,60, ,57.9, ,5.1, ,121.2, ,--,S
47,8/26/2022,238,0.25, ,0.02, ,605, ,15.2, ,92.1, ,53.1, ,73.2, ,100, ,26, ,54, ,55.7, ,4.9, ,116.6, ,--,S
47,8/27/2022,239,0.24, ,0, ,601, ,15.4, ,92.9, ,53.9, ,72.5, ,99, ,26, ,56, ,56.1, ,4.7, ,113.2, ,--,S
47,8/28/2022,240,0.24, ,0.01, ,588, ,15.3, ,87.4, ,52.2, ,70.7, ,99, ,33, ,60, ,56.0, ,5.4, ,130.5, ,--,S
47,8/29/2022,241,0.24, ,0.02, ,550, ,14.7, ,93.2, ,57.0, ,73.1, ,99, ,25, ,53, ,54.9, ,5.6, ,134.2, ,--,S
47,8/30/2022,242,0.24, ,0, ,576, ,14.8, ,91.5, ,56.2, ,73.7, ,94, ,32, ,52, ,55.0, ,5.4, ,129.1, ,--,S
47,8/31/2022,243,0.25, ,0.02, ,585, ,12.9, ,97.3, ,53.4, ,74.5, ,99, ,13, ,44, ,51.2, ,4.5, ,108.6, ,--,S
