257,8/1/2022,213,0.26, ,0, ,614, ,19.6, ,99.4, ,73.8, ,83.6, ,82, ,25, ,50, ,62.9, ,4.5, ,107.8, ,--,S
257,8/2/2022,214,0.30, ,0, ,714, ,15.7, ,102.7, ,71.6, ,88.9, ,68, ,20, ,34, ,56.8, ,3.9, ,94.2, ,--,S
257,8/3/2022,215,0.30, ,0, ,635, ,13.7, ,106.8, ,77.3, ,92.8, ,42, ,16, ,26, ,53.0, ,4.2, ,100.0, ,--,S
257,8/4/2022,216,0.24, ,0.04, ,440, ,15.9, ,98.1, ,76.5, ,86.9, ,66, ,23, ,36, ,57.0, ,5.9, ,140.4, ,--,S
257,8/5/2022,217,0.17, ,0.01, ,468, ,20.9,Y,92.4, ,71.7, ,79.9, ,86, ,38, ,60,Y,64.7,Y,3.3, ,79.2, ,--,S
257,8/6/2022,218,0.28, ,0, ,746,R,11.4, ,100.4, ,65.7, ,85.0, ,66, ,11, ,28, ,47.9, ,3.4, ,81.0, ,--,S
257,8/7/2022,219,0.30, ,0, ,673, ,10.5, ,105.0, ,67.2, ,89.5, ,49, ,13, ,22, ,45.8, ,3.8, ,90.0, ,--,S
257,8/8/2022,220,0.34, ,0, ,722,R,11.2, ,105.9, ,74.9, ,92.5, ,40, ,12, ,22, ,47.5, ,4.8, ,115.1, ,--,S
257,8/9/2022,221,0.32, ,0, ,687, ,10.3, ,102.2, ,80.5, ,92.0, ,29, ,14, ,20, ,45.4, ,6.0, ,144.7, ,--,S
257,8/10/2022,222,0.32, ,0, ,717,R,10.6, ,100.1, ,73.7, ,89.2, ,37, ,16, ,22, ,46.0, ,5.2, ,125.6, ,--,S
257,8/11/2022,223,0.31, ,0, ,724,R,9.1, ,103.8, ,71.1, ,90.1, ,42, ,9, ,19, ,42.0, ,4.7, ,113.6, ,--,S
257,8/12/2022,224,0.33, ,0, ,729,R,7.4, ,106.1, ,71.5, ,90.7, ,30, ,9, ,15, ,36.8, ,5.1, ,122.9, ,--,S
257,8/13/2022,225,0.34, ,0, ,709,R,7.7, ,104.1, ,73.7, ,90.2, ,32, ,9, ,16, ,37.7, ,6.1, ,146.4, ,--,S
257,8/14/2022,226,0.31, ,0, ,710,R,6.3, ,105.4, ,71.8, ,90.8, ,26, ,8, ,13, ,32.7, ,4.5, ,107.3, ,--,S
257,8/15/2022,227,0.30, ,0, ,721,R,5.9, ,106.4, ,71.3, ,90.4, ,26, ,7, ,12, ,31.1, ,4.1, ,99.6, ,--,S
257,8/16/2022,228,0.31, ,0, ,633, ,9.3, ,105.6, ,70.9, ,90.3, ,30, ,13, ,19, ,42.7, ,4.7, ,112.4, ,--,S
257,8/17/2022,229,0.30, ,0, ,623, ,10.7, ,107.2, ,78.4, ,93.7, ,38, ,12, ,20, ,46.2, ,4.2, ,99.9, ,--,S
257,8/18/2022,230,0.32, ,0, ,678,R,10.5, ,105.8, ,82.0, ,92.6, ,35, ,10, ,20, ,45.8, ,5.2, ,123.9, ,--,S
257,8/19/2022,231,0.30, ,0, ,845,R,8.6, ,105.9, ,84.7,Y,97.3,Y,33, ,11, ,14,Y,40.6,Y,4.6, ,111.6, ,--,S
257,8/20/2022,232,0.31, ,0, ,620, ,7.5, ,107.5, ,72.0, ,93.3, ,35, ,8, ,14, ,37.2, ,4.9, ,116.5, ,--,S
257,8/21/2022,233,0.31, ,0, ,643, ,6.7, ,108.4, ,72.8, ,93.5, ,25, ,7, ,13, ,34.4, ,5.1, ,122.0, ,--,S
257,8/22/2022,234,0.30, ,0, ,634, ,6.7, ,109.3, ,72.2, ,92.8, ,25, ,7, ,13, ,34.4, ,4.7, ,113.7, ,--,S
257,8/23/2022,235,0.30, ,0, ,635, ,7.5, ,109.0, ,70.6, ,92.9, ,34, ,7, ,14, ,37.0, ,4.3, ,102.5, ,--,S
257,8/24/2022,236,0.31, ,0, ,402, ,9.1, ,106.6, ,83.2, ,95.8,Y,28, ,9, ,16,Y,42.1,Y,8.8, ,211.3, ,--,S
257,8/25/2022,237,0.29, ,0, ,603, ,9.1, ,104.7, ,74.8, ,91.0, ,30, ,12, ,18, ,42.1, ,4.5, ,107.9, ,--,S
257,8/26/2022,238,0.29, ,0, ,623, ,9.0, ,105.0, ,74.3, ,91.1, ,35, ,9, ,18, ,41.9, ,4.2, ,102.0, ,--,S
257,8/27/2022,239,0.32, ,0, ,638, ,7.2, ,103.7, ,70.8, ,90.7, ,27, ,7, ,15, ,36.1, ,6.5, ,156.5, ,--,S
257,8/28/2022,240,0.28, ,0, ,619, ,9.5, ,100.4, ,69.9, ,88.2, ,35, ,13, ,21, ,43.1, ,4.5, ,107.7, ,--,S
257,8/29/2022,241,0.28, ,0, ,614, ,10.3, ,104.2, ,71.1, ,89.7, ,38, ,13, ,22, ,45.4, ,3.9, ,93.3, ,--,S
257,8/30/2022,242,0.24, ,0, ,622, ,9.0, ,106.5, ,67.9, ,89.9, ,43, ,8, ,19, ,41.7, ,2.7, ,64.7, ,--,S
257,8/31/2022,243,0.23, ,0, ,622, ,7.7, ,109.2, ,69.9, ,91.4, ,37, ,7, ,15, ,37.6, ,1.9, ,45.4, ,92.3,Y
