113,6/1/2022,152,0.31, ,0, ,729, ,8.2,Y,91.8, ,43.4, ,66.9, ,70, ,17, ,36,Y,39.3,Y,6.2, ,148.3, ,69.4, 
113,6/2/2022,153,0.30, ,0, ,677, ,10.1, ,85.8, ,44.8, ,65.2, ,80, ,27, ,48, ,44.8, ,7.5, ,179.8, ,70.1, 
113,6/3/2022,154,0.24, ,0.07, ,626, ,13.7, ,80.7, ,50.0, ,63.0, ,96, ,42, ,70, ,52.9, ,8.4, ,201.5, ,70.7, 
113,6/4/2022,155,0.25, ,0, ,619, ,12.1, ,83.1, ,51.5, ,64.3, ,97, ,27, ,59, ,49.5, ,6.2, ,148.0, ,71.4, 
113,6/5/2022,156,0.27, ,0, ,699, ,15.2, ,86.6, ,52.3, ,68.6, ,90, ,40, ,64, ,55.8, ,7.5, ,180.7, ,71.7, 
113,6/6/2022,157,0.30, ,0, ,734, ,13.8, ,86.6, ,49.8, ,68.0, ,96, ,25, ,59, ,53.2, ,9.1, ,219.1, ,72.4, 
113,6/7/2022,158,0.29, ,0, ,730, ,10.8, ,85.1, ,45.2, ,63.1, ,97, ,31, ,55, ,46.5, ,7.7, ,185.0, ,72.7, 
113,6/8/2022,159,0.30, ,0, ,700, ,13.0, ,88.0, ,45.3, ,66.1, ,86, ,40, ,59, ,51.6, ,8.7, ,209.5, ,72.6, 
113,6/9/2022,160,0.27, ,0, ,634, ,12.9, ,90.3, ,51.1, ,69.0, ,96, ,31, ,53, ,51.2, ,7.2, ,171.9, ,72.6, 
113,6/10/2022,161,0.34, ,0, ,717, ,13.5, ,104.1,Y,51.2, ,77.3,Y,80,H,17,H,42,Y,52.5,Y,7.0, ,169.1, ,73.0, 
113,6/11/2022,162,0.36,R,0, ,740, ,13.9, ,100.0,Y,55.5, ,77.6,Y,78,H,15,H,43,Y,53.3,Y,8.3, ,200.4, ,73.9, 
113,6/12/2022,163,0.27, ,0, ,662, ,16.7,Y,89.0, ,55.1, ,70.2, ,89, ,39, ,66,Y,58.3,Y,9.1, ,218.5, ,74.6, 
113,6/13/2022,164,0.32, ,0, ,745, ,10.0, ,82.6, ,49.4, ,64.1, ,86, ,22, ,49, ,44.4, ,10.6, ,255.5, ,74.6, 
113,6/14/2022,165,0.32, ,0, ,735, ,9.3, ,90.1, ,42.9, ,66.1, ,86, ,16, ,43, ,42.7, ,7.3, ,174.5, ,74.0, 
113,6/15/2022,166,0.33, ,0.02,H,743, ,9.8, ,92.0, ,44.0, ,67.1, ,84, ,22, ,43, ,43.9, ,7.0, ,168.0, ,73.8, 
113,6/16/2022,167,0.29, ,0, ,726, ,10.2, ,84.3, ,43.1, ,61.6, ,86, ,28, ,54, ,45.0, ,8.4, ,201.7, ,73.6, 
113,6/17/2022,168,0.25, ,0, ,644, ,9.9, ,74.0, ,48.6, ,59.4, ,82, ,32, ,57, ,44.3, ,10.1, ,241.9, ,73.4, 
113,6/18/2022,169,0.28, ,0, ,736, ,9.6, ,74.8, ,43.0, ,58.9, ,91, ,29, ,56, ,43.5, ,9.1, ,217.3, ,73.0, 
113,6/19/2022,170,0.29, ,0, ,737, ,8.9, ,85.6, ,41.0, ,62.8, ,88, ,20, ,46, ,41.6, ,6.6, ,157.9, ,72.5, 
113,6/20/2022,171,0.29, ,0, ,734, ,10.3, ,91.2, ,42.0, ,67.6, ,86, ,22, ,45, ,45.4, ,5.2, ,125.7, ,72.7, 
113,6/21/2022,172,0.32,R,0, ,729, ,8.9, ,103.2,Y,50.5, ,76.6,Y,70, ,10, ,28,Y,41.6,Y,5.0, ,120.3, ,73.3, 
113,6/22/2022,173,0.28, ,0, ,617, ,11.1, ,99.1, ,48.4, ,74.1,H,81,H,19,H,39, ,47.3, ,5.3, ,128.1, ,74.4, 
113,6/23/2022,174,0.31, ,0, ,706, ,13.3, ,93.8, ,54.9, ,72.2, ,86, ,23, ,49, ,52.1, ,6.4, ,153.6, ,74.9, 
113,6/24/2022,175,0.30, ,0, ,705, ,11.7, ,94.3, ,49.0, ,69.4, ,98, ,20, ,48, ,48.7, ,5.2, ,125.3, ,75.3, 
113,6/25/2022,176,0.31, ,0, ,722, ,11.3, ,91.8, ,47.3, ,68.0, ,96, ,14, ,48, ,47.7, ,5.6, ,134.7, ,75.5, 
113,6/26/2022,177,0.30, ,0.00, ,719, ,11.6, ,93.8, ,49.4, ,66.7, ,98, ,18, ,52, ,48.5, ,5.8, ,139.4, ,75.5, 
113,6/27/2022,178,0.32, ,0, ,720, ,12.3, ,93.4, ,51.8, ,70.1, ,97, ,20, ,49, ,50.0, ,6.5, ,156.4, ,75.7, 
113,6/28/2022,179,0.31, ,0, ,720, ,11.4, ,93.8, ,47.9, ,68.5, ,97, ,19, ,48, ,48.0, ,6.3, ,151.1, ,75.9, 
113,6/29/2022,180,0.27, ,0, ,714, ,11.8, ,85.8, ,46.7, ,63.0, ,92, ,28, ,60, ,48.9, ,6.0, ,144.9, ,75.9, 
113,6/30/2022,181,0.25, ,0.02,H,700, ,11.9, ,82.1, ,50.6, ,61.4, ,92, ,33, ,64, ,49.1, ,6.5, ,156.2, ,75.7, 
