163,6/1/2022,152,0.25, ,0, ,626, ,7.7, ,92.6, ,44.6, ,69.4, ,78, ,13, ,31, ,37.7, ,3.1, ,74.5, ,--,S
163,6/2/2022,153,0.23, ,0, ,569, ,9.1, ,91.4, ,47.6, ,70.2, ,72, ,20, ,36, ,42.1, ,2.8, ,68.3, ,--,S
163,6/3/2022,154,0.21, ,0, ,577, ,11.8, ,82.7, ,50.0, ,64.5, ,87, ,34, ,57, ,49.0, ,3.0, ,73.1, ,--,S
163,6/4/2022,155,0.21, ,0, ,609, ,10.7, ,78.1, ,48.7, ,62.9, ,96, ,28, ,55, ,46.3, ,2.7, ,65.8, ,--,S
163,6/5/2022,156,0.21, ,0, ,601, ,13.7, ,81.0, ,50.1, ,66.4, ,91, ,41, ,62, ,53.0, ,2.9, ,70.1, ,--,S
163,6/6/2022,157,0.24, ,0, ,628, ,14.4, ,86.6, ,58.9,Y,71.6, ,93, ,20, ,54, ,54.3, ,4.1, ,98.0, ,--,S
163,6/7/2022,158,0.26, ,0, ,638, ,8.9, ,92.3, ,47.5, ,71.3, ,84, ,12, ,34, ,41.5, ,3.6, ,86.9, ,--,S
163,6/8/2022,159,0.25, ,0.00, ,601, ,11.8, ,92.4, ,50.2, ,72.9, ,69, ,28, ,43, ,49.0, ,4.0, ,97.1, ,--,S
163,6/9/2022,160,0.23, ,0, ,522, ,12.5, ,96.0, ,58.1,Y,77.3,Y,75, ,22, ,39,Y,50.5,Y,4.0, ,95.2, ,--,S
163,6/10/2022,161,0.27, ,0, ,620, ,12.0, ,102.6,Y,58.6,Y,82.6,Y,73,H,17,H,32,Y,49.4,Y,3.7, ,88.2, ,--,S
163,6/11/2022,162,0.27,R,0, ,634, ,11.4, ,99.9, ,65.1,R,83.6,Y,60,H,12,H,29,Y,48.0,Y,3.7, ,88.5, ,--,S
163,6/12/2022,163,0.22, ,0, ,605, ,16.5,Y,88.0, ,58.5,Y,71.0, ,90, ,32, ,64,Y,58.0,Y,3.1, ,74.6, ,--,S
163,6/13/2022,164,0.24, ,0, ,632, ,10.2, ,82.5, ,49.5, ,67.6, ,85, ,20, ,44, ,45.2, ,4.5, ,108.6, ,--,S
163,6/14/2022,165,0.26, ,0.00, ,630, ,7.7, ,89.7, ,48.3, ,70.9, ,74, ,14, ,30, ,37.8, ,3.9, ,93.6, ,--,S
163,6/15/2022,166,0.27, ,0.00, ,636, ,7.5, ,97.3, ,48.0, ,74.2, ,74, ,10, ,26, ,37.0, ,3.4, ,81.2, ,--,S
163,6/16/2022,167,0.24, ,0, ,630, ,8.4, ,89.4, ,49.2, ,67.7, ,77, ,17, ,36, ,40.2, ,3.1, ,73.4, ,--,S
163,6/17/2022,168,0.17, ,0.02, ,545, ,9.5, ,68.3, ,46.5, ,55.9, ,86, ,40, ,62, ,43.2, ,3.0, ,71.3, ,--,S
163,6/18/2022,169,0.21, ,0.02, ,630, ,9.1, ,74.5, ,40.6, ,58.6, ,93, ,31, ,54, ,42.1, ,3.9, ,92.5, ,--,S
163,6/19/2022,170,0.23, ,0.04, ,638, ,8.5, ,82.2, ,42.5, ,64.2, ,91, ,22, ,42, ,40.4, ,3.8, ,90.4, ,--,S
163,6/20/2022,171,0.25, ,0.00, ,634, ,8.6, ,91.7, ,46.3, ,71.3, ,76, ,14, ,33, ,40.5, ,3.2, ,77.4, ,--,S
163,6/21/2022,172,0.25, ,0, ,625, ,9.1, ,94.8, ,50.4, ,71.3, ,77, ,15, ,35, ,42.1, ,3.0, ,71.8, ,--,S
163,6/22/2022,173,0.25, ,0.02, ,623, ,8.9, ,93.7, ,50.0, ,71.7, ,64, ,18, ,34, ,41.6, ,2.9, ,70.0, ,--,S
163,6/23/2022,174,0.25, ,0.02,H,619, ,10.8, ,92.4, ,54.4, ,73.3, ,66, ,23, ,39, ,46.6, ,2.7, ,65.1, ,--,S
163,6/24/2022,175,0.25, ,0.02, ,623, ,10.6, ,96.8, ,54.1, ,74.6, ,74, ,19, ,36, ,46.1, ,2.6, ,63.2, ,--,S
163,6/25/2022,176,0.25, ,0.01, ,622, ,9.8, ,97.3, ,54.4, ,74.5, ,72, ,15, ,34, ,44.1, ,2.7, ,63.9, ,--,S
163,6/26/2022,177,0.26, ,0.01, ,636, ,8.8, ,99.6, ,52.1, ,75.2, ,67, ,10, ,29, ,41.1, ,2.7, ,65.2, ,--,S
163,6/27/2022,178,0.26, ,0, ,629, ,10.2, ,103.5, ,52.8, ,76.7, ,70, ,12, ,33, ,45.1, ,2.8, ,68.0, ,--,S
163,6/28/2022,179,0.26, ,0, ,625, ,9.4, ,101.4, ,56.3, ,78.2, ,68, ,11, ,28, ,42.9, ,2.8, ,66.7, ,--,S
163,6/29/2022,180,0.25, ,0.02, ,625, ,10.5, ,89.4, ,55.8, ,72.7, ,69, ,20, ,38, ,45.9, ,2.8, ,67.1, ,--,S
163,6/30/2022,181,0.23, ,0.02, ,649, ,9.9, ,87.2, ,49.5, ,66.0, ,89, ,16, ,45, ,44.2, ,3.0, ,72.9, ,--,S
