78,6/1/2022,152,0.26, ,0, ,746,R,14.9, ,87.9, ,51.6, ,68.7, ,94, ,35, ,62, ,55.3, ,4.6, ,110.2, ,65.7, 
78,6/2/2022,153,0.25, ,0, ,728, ,16.0, ,84.6, ,55.5, ,68.0, ,94, ,42, ,69, ,57.3, ,4.9, ,116.8, ,66.3, 
78,6/3/2022,154,0.17, ,0, ,536, ,16.0, ,78.5, ,59.8, ,65.9, ,89, ,50, ,73, ,57.1, ,4.9, ,117.5, ,66.8, 
78,6/4/2022,155,0.15, ,0.03, ,503, ,15.7, ,74.9, ,60.9, ,65.4, ,88, ,57, ,74, ,56.7, ,4.4, ,106.1, ,67.0, 
78,6/5/2022,156,0.19, ,0, ,590, ,16.1, ,80.5, ,61.3, ,67.9, ,86, ,49, ,69, ,57.4, ,4.6, ,109.8, ,67.2, 
78,6/6/2022,157,0.24, ,0, ,731, ,17.2, ,82.7, ,58.6, ,69.8, ,91, ,49, ,69, ,59.2, ,4.6, ,109.2, ,67.6, 
78,6/7/2022,158,0.24, ,0.00, ,709, ,18.3, ,84.1, ,61.6, ,70.8, ,92, ,49, ,71, ,61.0, ,5.0, ,120.0, ,68.3, 
78,6/8/2022,159,0.24, ,0, ,714, ,18.5, ,85.4, ,61.4, ,71.2, ,92, ,45, ,71, ,61.3, ,4.9, ,118.2, ,68.7, 
78,6/9/2022,160,0.25, ,0.01, ,709, ,18.7, ,89.2, ,60.5, ,72.2, ,93, ,44, ,69, ,61.5, ,4.7, ,112.6, ,69.3, 
78,6/10/2022,161,0.26, ,0, ,735, ,18.8, ,92.0, ,60.7, ,74.6, ,95, ,37, ,64, ,61.7, ,4.8, ,115.3, ,69.5, 
78,6/11/2022,162,0.27, ,0.00, ,734, ,17.5, ,89.8, ,60.3, ,74.4, ,93, ,39, ,60, ,59.8, ,4.5, ,107.0, ,69.8, 
78,6/12/2022,163,0.26, ,0, ,757,R,16.4, ,84.1, ,59.8, ,71.2, ,91, ,40, ,63, ,57.9, ,5.1, ,121.8, ,69.6, 
78,6/13/2022,164,0.17, ,0, ,521, ,17.3, ,79.1, ,61.3, ,68.1, ,89, ,57, ,74, ,59.5, ,5.1, ,121.2, ,69.5, 
78,6/14/2022,165,0.22, ,0.05, ,636, ,16.9, ,84.4, ,61.8, ,70.1, ,88, ,44, ,67, ,58.8, ,5.1, ,121.3, ,69.5, 
78,6/15/2022,166,0.25, ,0.00, ,707, ,17.8, ,89.5, ,58.6, ,70.6, ,95, ,39, ,70, ,60.2, ,4.9, ,116.6, ,69.3, 
78,6/16/2022,167,0.24, ,0.00, ,698, ,18.4, ,86.5, ,60.2, ,70.3, ,94, ,46, ,73, ,61.2, ,5.4,Y,129.2,Y,69.5, 
78,6/17/2022,168,0.19, ,0, ,594, ,15.9, ,79.1, ,57.3, ,67.2, ,88, ,44, ,70, ,57.0, ,5.2,Y,125.0,Y,69.5, 
78,6/18/2022,169,0.25, ,0.02, ,764,R,12.2, ,77.5, ,53.9, ,66.4, ,82, ,27, ,55, ,49.9, ,4.3, ,103.8, ,69.0, 
78,6/19/2022,170,0.26, ,0, ,765,R,11.8,Y,81.5, ,51.2, ,66.7, ,90, ,33, ,53,Y,49.0,Y,4.0, ,96.2, ,67.7, 
78,6/20/2022,171,0.29, ,0, ,763,R,10,Y,97.4, ,52.7, ,76.0, ,82, ,9, ,33,Y,44.6,Y,3.7, ,88.4, ,67.3, 
78,6/21/2022,172,0.28, ,0.04, ,766,R,13.0, ,90.3, ,58.0, ,74.9, ,83, ,25, ,44, ,51.5, ,3.9, ,94.2, ,67.6, 
78,6/22/2022,173,0.18, ,0.01, ,489, ,16.8, ,91.0, ,64.0, ,76.5, ,91, ,33, ,54, ,58.5, ,3.2, ,77.0, ,68.2, 
78,6/23/2022,174,0.28, ,0.02, ,742, ,13.2, ,93.2, ,60.5, ,77.2, ,79, ,19, ,42, ,52.0, ,3.8, ,90.5, ,68.8, 
78,6/24/2022,175,0.29, ,0, ,756,R,12.0,Y,94.9, ,56.9, ,76.3, ,82, ,16, ,39,Y,49.4,Y,3.5, ,84.8, ,68.6, 
78,6/25/2022,176,0.29,R,0.04, ,784,R,13.1, ,93.8, ,53.9, ,75.0, ,90, ,18, ,44, ,51.7, ,3.8, ,90.1, ,68.3, 
78,6/26/2022,177,0.29, ,0.00, ,770,R,15.2, ,94.7, ,56.6, ,76.4, ,94, ,29, ,49, ,55.8, ,4.1, ,98.7, ,68.4, 
78,6/27/2022,178,0.29, ,0, ,723, ,15.5, ,97.4, ,62.2, ,80.0, ,77, ,24, ,44, ,56.3, ,4.0, ,94.9, ,68.9, 
78,6/28/2022,179,0.29, ,0.03, ,737, ,14.6, ,95.2, ,63.3, ,78.9, ,79, ,20, ,43, ,54.6, ,4.6, ,109.3, ,69.5, 
78,6/29/2022,180,0.28, ,0.00,H,734, ,15.8, ,92.1, ,61.8, ,77.2, ,85, ,30, ,50, ,56.9, ,4.4, ,104.8, ,69.8, 
78,6/30/2022,181,0.27, ,0.02, ,735, ,16.6, ,90.5, ,62.2, ,75.1, ,87, ,24, ,56, ,58.2, ,4.4, ,106.7, ,70.6, 
