200,6/1/2022,152,0.34, ,0, ,768,R,9.9, ,108.4, ,75.1, ,91.6, ,47, ,8, ,20, ,44.3, ,5.2, ,124.4, ,75.4, 
200,6/2/2022,153,0.33, ,0, ,714, ,11.9, ,124.0,R,69.7, ,92.1, ,57, ,10, ,23, ,49.2, ,4.8, ,115.3, ,76.2, 
200,6/3/2022,154,0.34, ,0, ,718, ,12.4, ,105.7, ,76.8, ,91.1, ,36, ,13, ,25, ,50.2, ,6.4, ,152.6, ,76.7, 
200,6/4/2022,155,0.35, ,0, ,740, ,13.7, ,108.5, ,77.8, ,89.9, ,48, ,15, ,29, ,52.9, ,7.1, ,170.3, ,77.1, 
200,6/5/2022,156,0.36, ,0, ,722, ,16.6, ,108.0, ,80.1, ,91.5, ,49, ,20, ,33, ,58.2, ,8.3, ,200.2, ,77.4, 
200,6/6/2022,157,0.35, ,0, ,735, ,14.7, ,103.0, ,80.2, ,91.6, ,44, ,16, ,29, ,54.8, ,6.9, ,165.3, ,78.5, 
200,6/7/2022,158,0.33, ,0, ,730, ,15.7, ,105.9, ,77.2, ,92.4, ,51, ,12, ,30, ,56.7, ,5.1, ,123.3, ,79.9, 
200,6/8/2022,159,0.32, ,0, ,727, ,15.7, ,103.7, ,74.0, ,88.9, ,69, ,13, ,34, ,56.7, ,4.7, ,112.6, ,80.6, 
200,6/9/2022,160,0.31, ,0,R,969,R,14.8, ,105.9, ,76.0, ,94.0, ,78, ,14, ,27, ,55.0, ,5.0, ,120.8, ,82.5, 
200,6/10/2022,161,0.31, ,0, ,693, ,16.1, ,109.7, ,74.1, ,92.4, ,74, ,14, ,31, ,57.3, ,4.3, ,104.0, ,82.5, 
200,6/11/2022,162,0.36, ,0, ,722, ,13.5, ,108.1, ,81.4, ,95.8, ,36, ,12, ,23, ,52.6, ,5.9, ,142.0, ,83.0, 
200,6/12/2022,163,0.37, ,0, ,758,R,11.4, ,113.1, ,74.6, ,93.8, ,34, ,10, ,21, ,47.9, ,6.0, ,144.5, ,82.5, 
200,6/13/2022,164,0.38, ,0, ,770,R,13.4, ,122.2,Y,74.1, ,90.4, ,49, ,11, ,27, ,52.3, ,8.0, ,192.6, ,81.4, 
200,6/14/2022,165,0.33, ,0, ,753,R,11.2, ,110.2, ,71.7, ,88.0, ,49, ,9, ,25, ,47.6, ,6.0, ,144.0, ,80.6, 
200,6/15/2022,166,0.34, ,0, ,751,R,11.2, ,107.6, ,73.0, ,89.6, ,56, ,7, ,24, ,47.6, ,4.9, ,118.3, ,81.4, 
200,6/16/2022,167,0.35, ,0, ,744, ,11.1, ,113.6, ,70.0, ,90.6, ,46, ,8, ,23, ,47.4, ,5.5, ,131.7, ,81.8, 
200,6/17/2022,168,0.37, ,0, ,757,R,9.0, ,101.5, ,73.1, ,88.5, ,39, ,11, ,20, ,41.7, ,7.4, ,177.3, ,81.1, 
200,6/18/2022,169,0.36, ,0, ,783,R,6.2, ,109.7, ,65.5, ,82.5, ,29, ,7, ,16, ,32.3, ,7.3, ,175.7, ,78.3, 
200,6/19/2022,170,0.33, ,0, ,787,R,7.4, ,101.3, ,66.0, ,81.7, ,37, ,8, ,20, ,36.8, ,6.5, ,155.5, ,77.2, 
200,6/20/2022,171,0.33, ,0, ,788,R,8.0, ,119.9,Y,67.0, ,85.3, ,66, ,5, ,19, ,38.8, ,5.4, ,128.6, ,78.0, 
200,6/21/2022,172,0.35, ,0, ,689, ,8.4, ,107.0, ,65.1, ,87.3, ,49, ,7, ,19, ,40.0, ,5.9, ,140.9, ,78.0, 
200,6/22/2022,173,0.24, ,0, ,470, ,12.8, ,99.5, ,70.4, ,86.8, ,39, ,21, ,29, ,51.0, ,5.4, ,128.7, ,78.6, 
200,6/23/2022,174,0.34, ,0, ,709, ,13.1, ,104.8, ,77.3, ,92.5, ,47, ,12, ,25, ,51.7, ,5.5, ,133.1, ,80.7, 
200,6/24/2022,175,0.35, ,0, ,747,R,10.1, ,108.0, ,81.5, ,94.8, ,28, ,12, ,18, ,44.8, ,5.1, ,121.8, ,81.8, 
200,6/25/2022,176,0.37, ,0, ,768,R,8.9, ,118.5,Y,78.4, ,95.4, ,29, ,8, ,16, ,41.5, ,5.8, ,139.2, ,81.1, 
200,6/26/2022,177,0.36, ,0.00, ,726, ,15.9, ,110.7, ,69.3, ,91.5, ,50, ,11, ,31, ,57.0, ,6.8, ,163.5, ,80.9, 
200,6/27/2022,178,0.32, ,0.05, ,701, ,21.4, ,111.3, ,79.4, ,93.4, ,74, ,22, ,40, ,65.4, ,4.6, ,110.9, ,82.9, 
200,6/28/2022,179,0.37, ,0, ,719, ,11.9, ,122.5,R,77.3, ,96.4, ,37, ,13, ,20, ,49.1, ,5.7, ,137.1, ,83.2, 
200,6/29/2022,180,0.39, ,0, ,729, ,9.5, ,--,S,85.7, ,97.8, ,32, ,9, ,16, ,43.3, ,6.9, ,164.9, ,82.3, 
200,6/30/2022,181,0.35, ,0, ,726, ,12.4, ,--,S,77.9, ,95.9, ,38, ,12, ,22, ,50.3, ,5.5, ,131.6, ,83.0, 
