181,11/1/2021,305,0.10, ,0, ,363, ,13.4, ,86.1, ,58.6, ,71.3, ,86, ,29, ,51, ,52.4, ,1.7, ,40.6, ,73.8, 
181,11/2/2021,306,0.12, ,0, ,418,R,11.8, ,85.5, ,55.7, ,68.4, ,72, ,24, ,50, ,49.0, ,1.2, ,28.5, ,73.5, 
181,11/3/2021,307,0.12, ,0, ,417,R,10.1, ,91.6, ,54.1, ,70.9, ,70, ,14, ,39, ,44.9, ,1.4, ,34.2, ,72.9, 
181,11/4/2021,308,0.11,R,0, ,406,R,10.2, ,93.1, ,53.9, ,70.9, ,70, ,16, ,40, ,45.1, ,1.0, ,25.1, ,72.8, 
181,11/5/2021,309,0.11,R,0, ,397,R,11.6, ,90.3, ,54.4, ,70.3, ,74, ,20, ,46, ,48.5, ,1.1, ,25.9, ,72.8, 
181,11/6/2021,310,0.11, ,0, ,392,R,14.9, ,87.9, ,53.4, ,68.6, ,85, ,34, ,63, ,55.3, ,1.3, ,31.1, ,72.8, 
181,11/7/2021,311,0.09, ,0, ,349, ,15.7, ,87.0, ,54.8, ,67.0, ,100, ,26, ,70, ,56.7, ,1.3, ,30.9, ,72.9, 
181,11/8/2021,312,0.10, ,0, ,396,R,12.8, ,84.0, ,50.1, ,65.5, ,98, ,27, ,60, ,51.1, ,1.5, ,35.6, ,72.2, 
181,11/9/2021,313,0.10, ,0, ,391,R,11.7, ,86.1, ,51.9, ,68.6, ,85, ,22, ,49, ,48.7, ,2.0, ,47.6, ,71.8, 
181,11/10/2021,314,0.11, ,0.02,H,372, ,12.4, ,88.2, ,57.7, ,70.7, ,75, ,21, ,48, ,50.3, ,2.2, ,52.8, ,71.9, 
181,11/11/2021,315,0.13, ,0, ,365, ,11.1, ,89.8, ,55.4, ,72.5,Y,66, ,18, ,41,Y,47.4,Y,2.8, ,68.0, ,71.7, 
181,11/12/2021,316,0.12, ,0, ,366, ,12.6, ,91.2, ,57.5, ,73.1,Y,72, ,21, ,45,Y,50.6,Y,2.8, ,66.7, ,72.5, 
181,11/13/2021,317,0.10, ,0, ,364, ,12.0, ,89.6, ,53.0, ,68.4, ,74, ,23, ,51, ,49.4, ,1.4, ,32.4, ,71.8, 
181,11/14/2021,318,0.10, ,0, ,364, ,11.6, ,90.4, ,52.0, ,67.7, ,78, ,21, ,50, ,48.5, ,1.6, ,37.7, ,71.2, 
181,11/15/2021,319,0.10, ,0, ,357, ,12.1, ,86.7, ,49.3, ,65.6, ,81, ,27, ,56, ,49.5, ,1.3, ,31.2, ,70.5, 
181,11/16/2021,320,0.08, ,0, ,289, ,12.4, ,83.4, ,50.0, ,63.6, ,87, ,26, ,62, ,50.2, ,1.5, ,35.3, ,69.7, 
181,11/17/2021,321,0.09,R,0, ,340, ,12.1, ,84.8, ,51.6, ,64.8, ,90, ,24, ,58, ,49.6, ,1.3, ,32.2, ,69.3, 
181,11/18/2021,322,0.09,R,0, ,326, ,10.8, ,83.9, ,48.3, ,63.6, ,84, ,20, ,54, ,46.6, ,1.3, ,30.9, ,68.8, 
181,11/19/2021,323,0.08, ,0, ,326, ,11.1, ,83.9, ,48.2, ,62.9, ,86, ,23, ,57, ,47.4, ,1.2, ,28.8, ,68.3, 
181,11/20/2021,324,0.08, ,0, ,291, ,11.0, ,77.1, ,46.9, ,60.8, ,81, ,36, ,61, ,47.2, ,1.4, ,32.6, ,67.7, 
181,11/21/2021,325,0.09, ,0, ,270, ,9.8, ,81.2, ,55.1, ,66.9, ,69, ,19, ,44, ,44.1, ,2.5, ,59.9, ,67.1, 
181,11/22/2021,326,0.09, ,0, ,292, ,9.0, ,81.0, ,51.4, ,65.9, ,65, ,16, ,41, ,41.9, ,2.5, ,59.1, ,66.6, 
181,11/23/2021,327,0.06, ,0, ,168, ,9.8, ,78.0, ,55.1, ,64.2, ,75, ,26, ,48, ,44.1, ,2.0, ,48.8, ,66.8, 
181,11/24/2021,328,0.12,R,0, ,323, ,6.9, ,78.8, ,47.6, ,62.9, ,76, ,15, ,35, ,35.0, ,3.8, ,90.7, ,65.3, 
181,11/25/2021,329,0.13, ,0, ,336, ,5.7, ,73.8, ,55.0, ,65.3, ,49, ,14, ,27, ,30.2, ,5.1, ,121.4, ,63.7, 
181,11/26/2021,330,0.09, ,0, ,332, ,6.5, ,78.3, ,45.8, ,60.1, ,59, ,12, ,36, ,33.4, ,2.2, ,52.1, ,64.3, 
181,11/27/2021,331,0.08, ,0, ,327, ,7.3, ,80.2, ,40.5, ,56.7, ,72, ,17, ,47, ,36.6, ,1.4, ,34.6, ,63.4, 
181,11/28/2021,332,0.08, ,0, ,325, ,7.7, ,84.0, ,41.5, ,57.6, ,77, ,17, ,48, ,37.9, ,1.4, ,34.7, ,62.9, 
181,11/29/2021,333,0.08, ,0, ,325, ,8.5, ,83.5, ,42.7, ,59.4, ,79, ,18, ,49, ,40.2, ,1.2, ,28.6, ,62.7, 
181,11/30/2021,334,0.08, ,0, ,318, ,9.8, ,84.0, ,43.5, ,59.8, ,79, ,24, ,56, ,43.9, ,1.3, ,31.2, ,62.8, 
