113,11/1/2021,305,0.04, ,0, ,118, ,13.0, ,65.5, ,48.6, ,57.7, ,92, ,64, ,80, ,51.5, ,5.5, ,133.0, ,61.1, 
113,11/2/2021,306,0.10, ,0, ,332, ,14.7, ,76.5, ,49.2, ,61.4, ,97, ,51, ,79, ,54.9, ,3.5, ,84.9, ,60.9, 
113,11/3/2021,307,0.08, ,0.01, ,282, ,14.2, ,78.2, ,50.6, ,60.1, ,98, ,43, ,80, ,54.0, ,2.7, ,64.5, ,61.1, 
113,11/4/2021,308,0.10, ,0, ,287, ,12.8, ,72.2, ,46.7, ,57.1, ,95, ,55, ,80, ,51.2, ,5.0, ,120.7, ,61.2, 
113,11/5/2021,309,0.10, ,0.00, ,333, ,11.0, ,76.2, ,41.4, ,54.2, ,98, ,38, ,76, ,46.9, ,3.1, ,75.2, ,60.8, 
113,11/6/2021,310,0.10, ,0.00, ,317, ,10.7, ,71.4, ,38.8, ,54.7, ,97, ,43, ,73, ,46.2, ,4.4, ,106.0, ,60.1, 
113,11/7/2021,311,0.10, ,0, ,271, ,8.6, ,66.8, ,39.9, ,52.9, ,92, ,32, ,63, ,40.8, ,5.7, ,135.9, ,59.6, 
113,11/8/2021,312,0.10, ,0, ,372,R,8.5, ,69.3, ,56.8,Y,63.0, ,92, ,35, ,43, ,40.2, ,4.9, ,117.5, ,58.6, 
113,11/9/2021,313,0.06, ,0.04, ,209, ,12.9, ,68.7, ,48.0, ,57.6, ,97, ,57, ,80, ,51.3, ,5.0, ,118.9, ,58.6, 
113,11/10/2021,314,0.09, ,0.01, ,278, ,12.9, ,73.8, ,47.9, ,58.1, ,98, ,37, ,78, ,51.4, ,4.0, ,97.1, ,59.0, 
113,11/11/2021,315,0.10, ,0, ,317, ,11.2, ,79.4, ,41.3, ,58.2, ,96, ,36, ,67, ,47.4, ,3.0, ,73.1, ,59.3, 
113,11/12/2021,316,0.10, ,0, ,318, ,12.1, ,81.4, ,41.3, ,58.9, ,97, ,36, ,71, ,49.6, ,3.0, ,73.0, ,59.1, 
113,11/13/2021,317,0.10, ,0.00, ,314, ,10.8, ,82.4, ,42.7, ,59.1, ,98, ,24, ,63, ,46.7, ,2.6, ,63.0, ,59.1, 
113,11/14/2021,318,0.11, ,0.00, ,317, ,10.5, ,84.5, ,40.0, ,59.9, ,95, ,26, ,60, ,45.9, ,3.3, ,80.2, ,58.9, 
113,11/15/2021,319,0.09, ,0, ,257, ,10.4, ,81.5, ,43.2, ,57.7, ,92, ,30, ,64, ,45.5, ,3.5, ,82.9, ,58.7, 
113,11/16/2021,320,0.07, ,0, ,266, ,12.1, ,75.9, ,46.2, ,55.5, ,98, ,42, ,81, ,49.6, ,3.1, ,74.1, ,58.7, 
113,11/17/2021,321,0.07, ,0.01, ,253, ,11.7, ,73.4, ,44.6, ,54.9, ,99, ,43, ,80, ,48.8, ,3.0, ,71.9, ,58.8, 
113,11/18/2021,322,0.06, ,0.01, ,227, ,11.6, ,71.5, ,43.6, ,53.7, ,99, ,43, ,82, ,48.4, ,3.6, ,86.1, ,59.0, 
113,11/19/2021,323,0.07, ,0, ,237, ,12.5, ,69.7, ,49.7, ,56.4, ,98, ,37, ,80, ,50.4, ,4.0, ,96.6, ,59.0, 
113,11/20/2021,324,0.07, ,0.02, ,270, ,12.2, ,70.8, ,45.2, ,56.6, ,98, ,47, ,78, ,49.8, ,2.7, ,65.6, ,59.2, 
113,11/21/2021,325,0.09, ,0, ,294, ,8.6, ,77.1, ,38.2, ,53.7, ,97, ,25, ,61, ,40.7, ,3.1, ,74.0, ,59.2, 
113,11/22/2021,326,0.09, ,0, ,298, ,6.9, ,79.3, ,34.8, ,53.8, ,88, ,17, ,49, ,35.1, ,3.0, ,71.3, ,58.6, 
113,11/23/2021,327,0.10, ,0, ,284, ,7.4, ,72.1, ,32.7, ,50.8, ,90, ,23, ,58, ,36.6, ,5.0, ,119.9, ,57.9, 
113,11/24/2021,328,0.10, ,0, ,293, ,6.0, ,70.1, ,32.9, ,49.5, ,96, ,15, ,50, ,31.6, ,4.1, ,97.6, ,57.3, 
113,11/25/2021,329,0.09, ,0, ,290, ,4.9, ,75.7, ,31.1, ,49.7, ,74, ,16, ,40, ,26.6, ,3.1, ,75.1, ,56.8, 
113,11/26/2021,330,0.09, ,0, ,270, ,4.9, ,75.4, ,34.6, ,51.1, ,66, ,14, ,38, ,26.7, ,3.1, ,75.2, ,56.2, 
113,11/27/2021,331,0.08, ,0, ,271, ,6.4, ,77.0, ,34.9, ,53.1, ,81, ,17, ,46, ,33.0, ,2.9, ,68.7, ,55.8, 
113,11/28/2021,332,0.09, ,0, ,271, ,7.7, ,80.1, ,37.3, ,56.1, ,78, ,24, ,50, ,37.9, ,3.0, ,70.9, ,54.8, 
113,11/29/2021,333,0.09, ,0, ,271, ,8.1, ,81.3,Y,36.1, ,55.2, ,87, ,21, ,55, ,39.1, ,3.1, ,73.7, ,55.0, 
113,11/30/2021,334,0.09, ,0, ,270, ,8.0, ,80.7,Y,36.1, ,55.7, ,91, ,20, ,53, ,38.6, ,2.9, ,70.7, ,55.3, 
