241,11/1/2021,305,0.05, ,0.02, ,225, ,14.6, ,68.8, ,49.7, ,57.9, ,99, ,71, ,89, ,54.7, ,3.5, ,84.3, ,64.0, 
241,11/2/2021,306,0.08, ,0, ,319, ,15.0, ,64.7, ,53.3, ,57.7, ,99, ,79, ,92, ,55.4, ,3.9, ,93.2, ,63.8, 
241,11/3/2021,307,0.09, ,0.02, ,367, ,15.4, ,67.0, ,51.6, ,57.7, ,99, ,78, ,95, ,56.1, ,3.7, ,88.0, ,64.6, 
241,11/4/2021,308,0.08, ,0.01, ,342, ,15.4, ,65.6, ,53.1, ,57.6, ,99, ,80, ,95, ,56.2, ,3.9, ,92.6, ,65.4, 
241,11/5/2021,309,0.08, ,0.01, ,357, ,14.5, ,67.1, ,47.6, ,56.0, ,100, ,77, ,95, ,54.6, ,3.3, ,79.6, ,65.0, 
241,11/6/2021,310,0.08, ,0, ,323, ,14.5, ,64.5, ,51.6, ,56.6, ,99, ,78, ,92, ,54.5, ,3.8, ,91.9, ,65.2, 
241,11/7/2021,311,0.07, ,0, ,313, ,14.4, ,63.9, ,52.4, ,57.1, ,98, ,75, ,90, ,54.3, ,3.9, ,94.6, ,64.9, 
241,11/8/2021,312,0.08, ,0, ,345, ,13.3, ,65.0, ,47.9, ,56.2, ,99, ,70, ,86, ,52.1, ,3.9, ,93.3, ,64.7, 
241,11/9/2021,313,0.09, ,0, ,339, ,13.7, ,67.8, ,49.3, ,58.4, ,98, ,67, ,82, ,53.0, ,3.8, ,92.3, ,64.1, 
241,11/10/2021,314,0.09, ,0, ,361, ,14.3, ,67.6, ,49.2, ,58.4, ,97, ,72, ,86, ,54.1, ,3.9, ,93.3, ,64.2, 
241,11/11/2021,315,0.14, ,0, ,363, ,10.7, ,85.3, ,51.8, ,68.7, ,91, ,25, ,45, ,46.4, ,5.0, ,119.0, ,64.3, 
241,11/12/2021,316,0.15,R,0, ,366, ,9.4, ,92.8,Y,57.6, ,71.1, ,55, ,14, ,36, ,42.8, ,4.9, ,118.0, ,64.2, 
241,11/13/2021,317,0.13, ,0.02, ,367,R,8.7, ,85.2, ,53.9, ,67.1, ,63, ,21, ,39, ,41.0, ,4.5, ,107.3, ,64.2, 
241,11/14/2021,318,0.13, ,0, ,365,R,9.5, ,82.9, ,51.6, ,65.8, ,65, ,24, ,44, ,43.2, ,4.4, ,105.1, ,63.5, 
241,11/15/2021,319,0.11, ,0.02, ,357, ,12.3, ,80.5, ,49.9, ,61.9, ,100, ,31, ,65, ,50.0, ,3.9, ,94.3, ,62.8, 
241,11/16/2021,320,0.06, ,0.01, ,283, ,13.7, ,62.3, ,47.0, ,55.2, ,100, ,81, ,92, ,53.0, ,3.3, ,78.2, ,62.9, 
241,11/17/2021,321,0.08, ,0.00, ,328, ,13.4, ,66.0, ,47.8, ,56.5, ,98, ,70, ,86, ,52.4, ,3.8, ,90.9, ,62.8, 
241,11/18/2021,322,0.06, ,0.02, ,258, ,13.8, ,64.2, ,45.6, ,55.0, ,100, ,79, ,94, ,53.2, ,3.4, ,81.7, ,61.5, 
241,11/19/2021,323,0.06, ,0.01, ,266, ,13.9, ,63.4, ,50.9, ,56.6, ,96, ,76, ,89, ,53.4, ,3.7, ,89.7, ,62.3, 
241,11/20/2021,324,0.07, ,0, ,280, ,13.6, ,65.0, ,50.8, ,56.4, ,96, ,69, ,88, ,52.8, ,3.9, ,94.2, ,62.7, 
241,11/21/2021,325,0.15, ,0.04, ,341, ,7.1, ,86.9, ,47.2, ,68.3, ,97, ,10, ,30, ,35.8, ,4.8, ,115.9, ,61.9, 
241,11/22/2021,326,0.14, ,0.00, ,319, ,5.5, ,82.5, ,57.9, ,69.6, ,43, ,14, ,22, ,29.2, ,4.3, ,103.8, ,61.5, 
241,11/23/2021,327,0.10, ,0.01, ,323, ,10.6, ,71.8, ,48.3, ,59.9, ,95, ,28, ,60, ,46.1, ,4.1, ,98.5, ,61.3, 
241,11/24/2021,328,0.10, ,0.01, ,319, ,9.8, ,68.7, ,45.9, ,57.4, ,91, ,12, ,61, ,44.1, ,4.3, ,103.4, ,60.3, 
241,11/25/2021,329,0.16, ,0.00, ,336, ,2.4, ,76.8, ,46.6, ,64.5, ,35, ,7, ,12, ,10.1, ,5.7, ,136.7, ,58.4, 
241,11/26/2021,330,0.13, ,0.00, ,336, ,4.5, ,82.1, ,46.3, ,63.4, ,47, ,8, ,22, ,24.4, ,4.4, ,104.5, ,58.0, 
241,11/27/2021,331,0.11, ,0, ,327, ,5.7, ,73.8, ,43.4, ,56.5, ,71, ,17, ,36, ,30.3, ,4.5, ,106.8, ,57.3, 
241,11/28/2021,332,0.09, ,0.01, ,322, ,8.0, ,73.8, ,42.0, ,56.3, ,79, ,25, ,52, ,38.9, ,4.3, ,102.1, ,57.1, 
241,11/29/2021,333,0.09, ,0.02, ,318, ,9.6, ,75.0, ,45.1, ,57.3, ,86, ,34, ,60, ,43.3, ,4.1, ,98.8, ,57.5, 
241,11/30/2021,334,0.07, ,0.02, ,314, ,11.2, ,64.8, ,41.0, ,53.4, ,93, ,61, ,80, ,47.5, ,4.0, ,95.1, ,57.3, 
