216,11/1/2021,305,0.04, ,0, ,179, ,13.3, ,68.2, ,49.9, ,57.9, ,95, ,61, ,81, ,52.2, ,2.3, ,55.0, ,68.6, 
216,11/2/2021,306,0.10, ,0, ,372, ,12.5, ,72.0, ,47.1, ,58.6, ,89, ,52, ,74, ,50.4, ,2.9, ,70.5, ,67.0, 
216,11/3/2021,307,0.12, ,0, ,382, ,12.2, ,86.5, ,48.4, ,64.4, ,93, ,25, ,59, ,49.8, ,2.8, ,66.2, ,67.6, 
216,11/4/2021,308,0.11, ,0, ,378, ,12.8, ,82.4, ,48.0, ,63.8, ,99, ,33, ,63, ,51.1, ,2.8, ,68.3, ,68.9, 
216,11/5/2021,309,0.13, ,0, ,388,R,10.8, ,85.4, ,53.7, ,66.2, ,96, ,25, ,49, ,46.5, ,3.1, ,74.5, ,69.4, 
216,11/6/2021,310,0.10, ,0, ,356, ,13.3, ,74.0, ,49.5, ,58.5, ,100, ,51, ,80, ,52.2, ,2.8, ,66.3, ,69.8, 
216,11/7/2021,311,0.09, ,0, ,350, ,12.4, ,71.7, ,46.7, ,56.9, ,99, ,49, ,79, ,50.3, ,3.0, ,72.1, ,69.0, 
216,11/8/2021,312,0.09, ,0, ,331, ,12.1, ,70.0, ,49.5, ,57.1, ,95, ,51, ,76, ,49.5, ,3.0, ,71.7, ,68.2, 
216,11/9/2021,313,0.09, ,0, ,343, ,12.1, ,70.9, ,45.9, ,57.2, ,95, ,50, ,76, ,49.6, ,2.6, ,62.5, ,67.5, 
216,11/10/2021,314,0.11, ,0, ,354, ,11.3, ,86.5, ,47.0, ,62.4, ,97, ,22, ,59, ,47.8, ,2.9, ,70.2, ,67.3, 
216,11/11/2021,315,0.14, ,0, ,362, ,8.1, ,90.3, ,56.3, ,72.3, ,51, ,19, ,30, ,39.2, ,3.3, ,79.7, ,68.2, 
216,11/12/2021,316,0.15, ,0, ,359, ,7.5, ,93.7, ,62.2,Y,77.0,Y,38, ,14, ,24,Y,37.0,Y,3.6, ,85.7, ,69.9, 
216,11/13/2021,317,0.14, ,0, ,362,R,6.2, ,92.7, ,62.2,Y,74.0,Y,32, ,11, ,22,Y,32.5,Y,3.7, ,88.5, ,71.2, 
216,11/14/2021,318,0.14, ,0, ,364,R,5.8, ,93.0, ,56.7, ,72.2, ,33, ,11, ,21, ,30.7, ,3.7, ,88.5, ,71.5, 
216,11/15/2021,319,0.13, ,0, ,348, ,7.0, ,90.1, ,55.0, ,68.6, ,50, ,13, ,29, ,35.4, ,3.4, ,81.8, ,71.3,Y
216,11/16/2021,320,0.09, ,0, ,293, ,10.6, ,71.1, ,49.7, ,58.7, ,94, ,45, ,63, ,46.0, ,3.3, ,79.7, ,70.1, 
216,11/17/2021,321,0.08, ,0, ,304, ,12.2, ,71.7, ,46.7, ,57.3, ,97, ,49, ,76, ,49.8, ,2.8, ,67.1, ,68.5, 
216,11/18/2021,322,0.08, ,0, ,277, ,10.6, ,73.7, ,47.3, ,57.7, ,86, ,41, ,65, ,46.2, ,2.5, ,60.5, ,67.4, 
216,11/19/2021,323,0.06, ,0, ,234, ,10.9, ,68.5, ,42.6, ,53.1, ,98, ,54, ,79, ,46.9, ,2.3, ,55.4, ,66.0, 
216,11/20/2021,324,0.07, ,0, ,280, ,10.9, ,70.6, ,43.7, ,54.1, ,99, ,49, ,77, ,46.9, ,2.5, ,60.8, ,64.9, 
216,11/21/2021,325,0.19, ,0, ,343,R,4.6, ,80.7, ,49.0, ,71.0, ,76, ,12, ,18, ,25.1, ,7.7,R,185.1,R,65.1, 
216,11/22/2021,326,0.13, ,0, ,290, ,3.5, ,83.3, ,58.5,Y,70.3, ,26, ,10, ,14, ,18.6, ,3.9, ,93.2, ,66.4, 
216,11/23/2021,327,0.12, ,0, ,323, ,5.9, ,74.9, ,50.6, ,62.2, ,53, ,20, ,31, ,31.3, ,3.7, ,87.9, ,67.1, 
216,11/24/2021,328,0.12, ,0, ,323, ,5.1, ,74.6, ,43.3, ,59.5, ,67, ,9, ,29, ,27.5, ,4.5, ,109.0, ,66.0, 
216,11/25/2021,329,0.18, ,0, ,338,R,2.1, ,73.2, ,49.1, ,63.0, ,22, ,6, ,11, ,7.2, ,8.3,R,200.2,R,65.2, 
216,11/26/2021,330,0.11, ,0, ,306, ,2.9, ,77.8, ,45.9, ,59.8, ,25, ,9, ,16, ,14.0, ,3.7, ,89.6, ,64.0, 
216,11/27/2021,331,0.12, ,0, ,316, ,3.1, ,79.9, ,48.8, ,63.2, ,25, ,9, ,16, ,16.1, ,4.0, ,94.9, ,63.8, 
216,11/28/2021,332,0.12, ,0, ,312, ,3.8, ,86.1, ,49.7, ,64.7, ,25, ,7, ,18, ,20.6, ,3.9, ,92.4, ,64.4, 
216,11/29/2021,333,0.12, ,0, ,308, ,5.1, ,85.0, ,52.9, ,66.3, ,33, ,10, ,23, ,27.3, ,4.0, ,95.0, ,65.3, 
216,11/30/2021,334,0.12, ,0, ,305, ,6.1, ,82.4, ,52.5, ,64.9, ,47, ,15, ,29, ,32.1, ,3.4, ,80.7, ,65.7, 
