56,11/1/2021,305,0.02, ,0.00, ,121, ,17.5,Y,66.9, ,54.3, ,60.3, ,100, ,86, ,98,Y,59.8,Y,3.1, ,74.7, ,63.8, 
56,11/2/2021,306,0.09, ,0, ,318, ,18.2,Y,73.8, ,56.0,Y,63.2, ,100, ,67, ,92,Y,60.9,Y,3.7, ,88.4, ,64.3, 
56,11/3/2021,307,0.09, ,0.00, ,321, ,16.7,Y,75.2, ,50.9, ,61.5, ,100, ,60, ,90,Y,58.4,Y,2.4, ,58.4, ,64.3, 
56,11/4/2021,308,0.08, ,0.00, ,267, ,15.4, ,71.2, ,49.1, ,59.5, ,100, ,59, ,88, ,56.1, ,5.2, ,124.8, ,64.1, 
56,11/5/2021,309,0.09,R,0.01, ,319, ,13.1, ,72.2, ,43.0, ,56.1, ,100, ,50, ,85, ,51.7, ,2.7, ,64.7, ,63.4, 
56,11/6/2021,310,0.09, ,0, ,293, ,13.2, ,69.9, ,45.5, ,56.5, ,100, ,55, ,84, ,51.9, ,4.5, ,107.2, ,63.0, 
56,11/7/2021,311,0.10, ,0, ,282, ,9.9, ,64.2, ,40.0, ,52.5, ,100, ,40, ,73, ,44.2, ,7.2, ,172.1, ,62.6, 
56,11/8/2021,312,0.09, ,0.02, ,280, ,9.7, ,67.5, ,36.0, ,53.4, ,100, ,35, ,69, ,43.7, ,4.9, ,118.3, ,61.4, 
56,11/9/2021,313,0.05, ,0.22, ,207, ,15.2, ,65.9, ,49.5, ,56.7, ,100, ,82, ,97, ,55.7, ,7.5, ,179.8, ,61.9, 
56,11/10/2021,314,0.04, ,0.01, ,186, ,14.8, ,67.8, ,47.3, ,56.2, ,100, ,67, ,96, ,55.1, ,4.5, ,107.2, ,62.1, 
56,11/11/2021,315,0.07, ,0.01, ,291, ,14.6, ,66.1, ,45.1, ,55.1, ,100, ,86, ,98, ,54.7, ,2.3, ,54.3, ,61.9, 
56,11/12/2021,316,0.04, ,0.01, ,212, ,13.9, ,67.3, ,44.7, ,53.2, ,100, ,87, ,100, ,53.4, ,2.1, ,51.0, ,61.7, 
56,11/13/2021,317,0.01, ,0.01, ,98, ,14.4, ,62.0, ,45.7, ,54.2, ,100, ,100, ,100, ,54.2, ,2.4, ,58.5, ,61.7, 
56,11/14/2021,318,0.02, ,0, ,133, ,14.1, ,61.2, ,50.1, ,53.8, ,100, ,99, ,100, ,53.7, ,2.5, ,59.9, ,62.2, 
56,11/15/2021,319,0.00, ,0.01, ,70, ,13.9, ,57.8, ,50.4, ,53.3, ,100, ,100, ,100, ,53.3, ,2.9, ,68.8, ,62.4, 
56,11/16/2021,320,0, ,0.00, ,44, ,14.0, ,57.0, ,48.0, ,53.6, ,100, ,100, ,100, ,53.6, ,3.6, ,87.6, ,62.5, 
56,11/17/2021,321,0.03, ,0.00, ,160, ,13.0, ,62.9, ,43.6, ,51.8, ,100, ,85, ,99, ,51.5, ,1.6, ,37.7, ,62.1, 
56,11/18/2021,322,0.03, ,0.01, ,152, ,12.9, ,61.6, ,41.4, ,50.7, ,100, ,98, ,100, ,51.3, ,2.0, ,47.3, ,61.4, 
56,11/19/2021,323,0.06, ,0.00, ,256, ,14.4, ,68.9, ,45.7, ,56.9, ,100, ,57, ,91, ,54.2, ,3.3, ,80.4, ,61.5, 
56,11/20/2021,324,0.08, ,0, ,262, ,12.9, ,67.1, ,44.2, ,56.6, ,100, ,50, ,82, ,51.2, ,4.7, ,113.5, ,61.8, 
56,11/21/2021,325,0.06, ,0.01, ,259, ,11.0, ,67.7, ,36.7, ,50.1, ,100, ,55, ,89, ,47.0, ,2.3, ,54.7, ,60.9, 
56,11/22/2021,326,0.06, ,0,R,33, ,11.7, ,67.5, ,39.9, ,49.6, ,100, ,69, ,97, ,48.7, ,2.5, ,60.5, ,59.8, 
56,11/23/2021,327,0.05, ,0.01, ,227, ,10.5, ,63.9, ,35.8, ,47.2, ,100, ,55, ,95, ,45.9, ,4.4, ,106.0, ,59.3, 
56,11/24/2021,328,0.07, ,0, ,279, ,8.7, ,59.3, ,33.0, ,46.2, ,100, ,42, ,81, ,40.8, ,4.4, ,104.5, ,58.9, 
56,11/25/2021,329,0.06, ,0.00, ,271, ,8.3, ,64.9, ,31.6, ,45.2, ,100, ,45, ,81, ,39.8, ,2.6, ,63.2, ,57.9, 
56,11/26/2021,330,0.06, ,0, ,249, ,9.4, ,66.4, ,35.9, ,47.6, ,100, ,44, ,83, ,42.8, ,2.4, ,58.4, ,57.4, 
56,11/27/2021,331,0.06, ,0, ,253, ,9.5, ,67.3, ,35.9, ,49.7, ,100, ,44, ,78, ,43.1, ,2.5, ,61.0, ,57.2, 
56,11/28/2021,332,0.06, ,0, ,254, ,9.7, ,69.7, ,35.8, ,50.2, ,100, ,41, ,78, ,43.8, ,2.3, ,54.3, ,57.1, 
56,11/29/2021,333,0.06, ,0, ,251, ,10.9, ,69.8, ,35.3, ,50.6, ,100, ,52, ,87, ,46.8, ,2.5, ,59.0, ,57.0, 
56,11/30/2021,334,0.06, ,0, ,244, ,11.6, ,69.4, ,37.7, ,51.4, ,100, ,57, ,89, ,48.4, ,2.5, ,59.9, ,57.0, 
