218,11/1/2021,305,0.11, ,0, ,311, ,13.6, ,82.6, ,55.1, ,69.3, ,77, ,37, ,55, ,52.7, ,3.4, ,81.3, ,67.6, 
218,11/2/2021,306,0.12, ,0, ,367, ,11.3, ,88.1, ,55.4, ,67.7, ,76, ,22, ,49, ,47.8, ,3.3, ,78.4, ,67.7, 
218,11/3/2021,307,0.14, ,0, ,368, ,11.4, ,92.0, ,54.5, ,69.9, ,75, ,17, ,46, ,48.1, ,4.3, ,103.7, ,67.4, 
218,11/4/2021,308,0.13, ,0, ,366, ,11.1, ,87.5, ,51.2, ,67.9, ,76, ,20, ,48, ,47.3, ,3.4, ,81.5, ,67.4, 
218,11/5/2021,309,0.13, ,0, ,368, ,11.1, ,86.0, ,53.2, ,68.0, ,73, ,22, ,47, ,47.2, ,3.8, ,91.4, ,67.1, 
218,11/6/2021,310,0.12, ,0, ,365, ,11.3, ,83.4, ,51.0, ,65.8, ,78, ,26, ,52, ,47.8, ,3.4, ,81.5, ,66.9, 
218,11/7/2021,311,0.10, ,0, ,335, ,12.6, ,81.8, ,51.7, ,63.8, ,79, ,34, ,62, ,50.7, ,3.3, ,78.5, ,66.7, 
218,11/8/2021,312,0.11, ,0, ,357, ,12.2, ,80.0, ,46.4, ,62.0, ,84, ,35, ,64, ,49.8, ,3.5, ,83.6, ,66.5, 
218,11/9/2021,313,0.13, ,0, ,355, ,12.4, ,83.4, ,51.9, ,67.4, ,78, ,32, ,54, ,50.3, ,5.2, ,125.9, ,66.4, 
218,11/10/2021,314,0.13, ,0, ,349, ,12.3, ,92.6, ,56.7, ,70.7, ,74, ,23, ,48, ,50.0, ,4.9, ,117.0, ,66.6, 
218,11/11/2021,315,0.16, ,0, ,350, ,10.5, ,88.8, ,55.3, ,72.5, ,67, ,24, ,38, ,45.7, ,5.6, ,135.0, ,66.6, 
218,11/12/2021,316,0.16, ,0, ,351, ,10.2, ,91.2, ,58.8,Y,75.5,Y,65, ,20, ,34,Y,45.0,Y,5.1, ,121.2, ,66.7, 
218,11/13/2021,317,0.12, ,0, ,349, ,10.9, ,93.1, ,52.8, ,68.1, ,72, ,18, ,47, ,46.9, ,3.4, ,82.6, ,66.6, 
218,11/14/2021,318,0.12,R,0, ,348, ,10.2, ,88.7, ,50.6, ,66.5, ,71, ,20, ,46, ,45.2, ,3.8, ,91.2, ,66.3, 
218,11/15/2021,319,0.11, ,0, ,347, ,10.4, ,86.3, ,48.8, ,64.3, ,77, ,22, ,51, ,45.6, ,3.3, ,79.7, ,65.9, 
218,11/16/2021,320,0.09, ,0, ,271, ,10.8, ,79.1, ,47.7, ,61.1, ,79, ,27, ,59, ,46.7, ,3.7, ,88.9, ,65.6, 
218,11/17/2021,321,0.10, ,0, ,327, ,10.7, ,81.8, ,50.6, ,62.8, ,78, ,23, ,55, ,46.4, ,3.5, ,84.9, ,65.2, 
218,11/18/2021,322,0.10, ,0, ,312, ,9.8, ,79.2, ,46.2, ,60.7, ,78, ,22, ,54, ,44.0, ,4.0, ,95.4, ,64.7, 
218,11/19/2021,323,0.09, ,0, ,285, ,9.6, ,80.8, ,45.9, ,60.3, ,79, ,22, ,54, ,43.4, ,3.3, ,80.4, ,64.3, 
218,11/20/2021,324,0.09, ,0, ,300, ,10.3, ,77.8, ,44.1, ,60.2, ,83, ,31, ,58, ,45.4, ,3.6, ,86.0, ,63.8, 
218,11/21/2021,325,0.19, ,0, ,321, ,6.7, ,80.9, ,56.3,Y,70.1,Y,67, ,16, ,27,Y,34.3,Y,7.8,Y,188.2,Y,63.6, 
218,11/22/2021,326,0.10, ,0, ,312, ,7.4, ,84.5, ,45.6, ,63.6, ,63, ,11, ,37, ,36.8, ,3.6, ,86.1, ,63.1, 
218,11/23/2021,327,0.09, ,0, ,244, ,9.1, ,78.6, ,48.5, ,61.0, ,67, ,26, ,50, ,42.1, ,4.5, ,107.7, ,63.2, 
218,11/24/2021,328,0.16, ,0, ,321, ,5.9, ,77.8, ,45.1, ,61.4, ,75, ,14, ,32, ,31.2, ,7.1, ,170.5, ,62.2, 
218,11/25/2021,329,0.19, ,0, ,328, ,3.6,Y,73.1, ,47.6, ,61.4, ,33, ,10, ,20,Y,19.5,Y,9.1,Y,219.6,Y,60.7, 
218,11/26/2021,330,0.12, ,0, ,327, ,5.5, ,78.7, ,38.7, ,57.0, ,63, ,13, ,35, ,29.6, ,5.2, ,125.8, ,59.9, 
218,11/27/2021,331,0.09, ,0, ,320, ,6.5, ,76.6, ,38.1, ,54.3, ,70, ,17, ,45, ,33.4, ,3.4, ,80.6, ,59.6, 
218,11/28/2021,332,0.09, ,0, ,313, ,6.9, ,78.9, ,39.6, ,56.0, ,72, ,17, ,45, ,35.0, ,3.6, ,87.0, ,59.4, 
218,11/29/2021,333,0.09, ,0, ,312, ,7.9, ,84.7, ,42.5, ,58.0, ,73, ,15, ,48, ,38.5, ,3.5, ,83.7, ,59.5, 
218,11/30/2021,334,0.09, ,0, ,310, ,8.5, ,82.3, ,41.8, ,58.8, ,73, ,19, ,50, ,40.5, ,3.6, ,86.9, ,59.7, 
