251,11/1/2021,305,0.06, ,0.02, ,213, ,12.7, ,68.9, ,50.9, ,59.7, ,90, ,51, ,72, ,50.8, ,2.6, ,61.8, ,63.7, 
251,11/2/2021,306,0.10, ,0, ,353, ,10.8, ,76.2, ,47.7, ,60.7, ,86, ,32, ,59, ,46.6, ,2.3, ,56.3, ,62.9, 
251,11/3/2021,307,0.12, ,0.00, ,363, ,9.9, ,87.2, ,49.6, ,66.9, ,83, ,17, ,44, ,44.3, ,2.3, ,55.4, ,63.1, 
251,11/4/2021,308,0.13, ,0.02, ,358, ,10.3, ,84.9, ,52.5, ,67.5, ,77, ,21, ,45, ,45.3, ,2.6, ,61.3, ,63.4, 
251,11/5/2021,309,0.13,R,0, ,364, ,9.6, ,87.8, ,52.9, ,68.6, ,72, ,17, ,40, ,43.5, ,2.6, ,61.7, ,63.3, 
251,11/6/2021,310,0.11,R,0.01, ,351, ,11.6, ,80.6, ,49.6, ,63.2, ,85, ,29, ,59, ,48.5, ,2.6, ,63.6, ,63.2, 
251,11/7/2021,311,0.10, ,0, ,338, ,10.7, ,75.1, ,46.9, ,59.8, ,100, ,31, ,61, ,46.2, ,2.6, ,62.7, ,62.7, 
251,11/8/2021,312,0.10, ,0.03, ,341, ,10.6, ,75.7, ,46.6, ,59.3, ,86, ,30, ,61, ,46.0, ,2.6, ,62.9, ,62.1, 
251,11/9/2021,313,0.09, ,0.00, ,319, ,11.3, ,69.3, ,48.9, ,58.0, ,87, ,34, ,69, ,47.8, ,2.9, ,70.5, ,61.9, 
251,11/10/2021,314,0.10, ,0.02, ,335, ,11.1, ,81.3, ,49.2, ,63.7, ,90, ,26, ,55, ,47.4, ,2.6, ,61.9, ,62.3, 
251,11/11/2021,315,0.13, ,0.00, ,340, ,8.1, ,88.8, ,55.8, ,70.9, ,56, ,17, ,31, ,39.2, ,3.3, ,79.4, ,62.5, 
251,11/12/2021,316,0.14, ,0.02, ,342, ,7.3, ,89.0, ,57.1, ,71.5, ,45, ,16, ,28, ,36.5, ,3.3, ,78.9, ,62.8, 
251,11/13/2021,317,0.12, ,0.02, ,346, ,6.5, ,92.0, ,53.4, ,70.6, ,45, ,12, ,25, ,33.6, ,2.4, ,58.3, ,62.6, 
251,11/14/2021,318,0.12, ,0, ,349, ,6.0, ,91.9,Y,53.0, ,70.3, ,41, ,8, ,24, ,31.4, ,2.5, ,60.5, ,62.5, 
251,11/15/2021,319,0.13, ,0.00, ,337, ,7.0, ,86.5, ,53.2, ,68.2, ,59, ,13, ,30, ,35.5, ,2.8, ,66.4, ,62.4, 
251,11/16/2021,320,0.09, ,0, ,272, ,9.1, ,77.6, ,52.0, ,61.7, ,77, ,21, ,48, ,42.1, ,2.5, ,59.9, ,61.8, 
251,11/17/2021,321,0.09, ,0.00, ,318, ,10.2, ,72.2, ,46.1, ,58.4, ,90, ,36, ,61, ,45.2, ,2.4, ,58.0, ,61.3, 
251,11/18/2021,322,0.09, ,0.01, ,292, ,9.1, ,78.0, ,47.2, ,61.0, ,75, ,25, ,50, ,42.2, ,2.5, ,60.8, ,60.6, 
251,11/19/2021,323,0.09, ,0.03, ,282, ,9.8, ,73.9, ,45.8, ,58.3, ,83, ,30, ,59, ,44.0, ,2.3, ,54.6, ,60.3, 
251,11/20/2021,324,0.08, ,0.01, ,277, ,9.1, ,72.9, ,44.0, ,56.8, ,89, ,31, ,58, ,42.1, ,2.2, ,53.7, ,59.7, 
251,11/21/2021,325,0.12, ,0, ,320, ,5.1, ,80.3, ,48.9, ,62.5, ,50, ,12, ,27, ,27.8, ,3.6, ,85.7, ,59.5, 
251,11/22/2021,326,0.11, ,0.01, ,310, ,4.4, ,82.3, ,44.1, ,62.4, ,40, ,10, ,23, ,24.0, ,3.0, ,72.3, ,58.7, 
251,11/23/2021,327,0.11, ,0.00, ,296, ,5.4, ,75.4, ,48.9, ,62.0, ,49, ,15, ,28, ,29.0, ,3.4, ,82.2, ,59.2, 
251,11/24/2021,328,0.16, ,0, ,316, ,4.4, ,74.6, ,43.2, ,59.6, ,68, ,8, ,25, ,23.9, ,7.6, ,182.4, ,58.2, 
251,11/25/2021,329,0.14, ,0, ,320, ,2.1, ,71.6, ,43.4, ,59.4, ,28, ,7, ,12, ,7.3, ,5.7, ,136.5, ,56.9, 
251,11/26/2021,330,0.09, ,0, ,310, ,2.8, ,78.7, ,40.1, ,56.8, ,35, ,6, ,18, ,13.5, ,2.8, ,67.6, ,55.9, 
251,11/27/2021,331,0.10, ,0.01, ,312, ,3.6, ,79.8, ,43.4, ,59.8, ,39, ,6, ,20, ,19.0, ,2.7, ,64.7, ,55.8, 
251,11/28/2021,332,0.10, ,0, ,307, ,4.4, ,85.6, ,46.2, ,63.3, ,42, ,8, ,22, ,23.9, ,2.3, ,54.0, ,56.2, 
251,11/29/2021,333,0.11, ,0.01, ,304, ,5.4, ,83.5, ,49.9, ,64.6, ,49, ,10, ,26, ,28.8, ,2.8, ,66.3, ,56.9, 
251,11/30/2021,334,0.11, ,0, ,305, ,5.3, ,88.0,Y,49.7, ,66.5, ,50, ,10, ,24, ,28.7, ,2.9, ,70.5, ,57.2, 
