129,1/1/2021,1,0.05, ,0, ,230, ,8.7, ,61.4, ,33.8, ,46.5, ,98, ,49, ,81, ,41.0, ,2.2, ,53.9, ,51.5, 
129,1/2/2021,2,0.01, ,0.07, ,70, ,11.5, ,52.3, ,42.1, ,49.2, ,99, ,86, ,97, ,48.3, ,2.0, ,48.3, ,51.8, 
129,1/3/2021,3,0.04, ,0.01, ,179, ,12.4, ,62.4, ,48.3, ,53.0, ,99, ,62, ,90, ,50.3, ,2.4, ,58.5, ,53.2, 
129,1/4/2021,4,0.01, ,0.01, ,68, ,11.9, ,58.6, ,40.4, ,50.3, ,99, ,88, ,96, ,49.2, ,3.5, ,83.6, ,53.8, 
129,1/5/2021,5,0.05, ,0.01, ,216, ,9.6, ,60.7, ,39.0, ,48.9, ,99, ,54, ,82, ,43.6, ,2.7, ,65.8, ,53.0, 
129,1/6/2021,6,0.05, ,0.00, ,200, ,8.7, ,62.9, ,37.0, ,47.8, ,95, ,46, ,77, ,41.0, ,2.6, ,61.7, ,52.5, 
129,1/7/2021,7,0.07, ,0.00, ,260, ,10.1, ,65.6, ,40.6, ,51.6, ,94, ,58, ,77, ,44.7, ,3.6, ,85.4, ,52.3, 
129,1/8/2021,8,0.07, ,0.00, ,267, ,10.9, ,63.2, ,42.2, ,51.6, ,99, ,57, ,83, ,46.7, ,3.2, ,76.7, ,52.7, 
129,1/9/2021,9,0.07, ,0.00, ,271, ,8.8, ,61.4, ,38.4, ,48.5, ,99, ,45, ,75, ,41.1, ,3.4, ,81.4, ,52.8, 
129,1/10/2021,10,0.07, ,0, ,268, ,8.3, ,62.7, ,34.9, ,47.6, ,97, ,43, ,74, ,39.8, ,2.7, ,65.8, ,52.1, 
129,1/11/2021,11,0.07, ,0.00, ,259, ,10.2, ,67.4, ,38.1, ,50.5, ,98, ,54, ,81, ,45.1, ,3.0, ,71.1, ,52.0, 
129,1/12/2021,12,0.03, ,0, ,138, ,10.1, ,60.4, ,38.9, ,49.2, ,99, ,63, ,85, ,44.7, ,2.4, ,57.1, ,52.2, 
129,1/13/2021,13,0.07, ,0.00, ,264, ,11.1, ,71.0, ,40.8, ,53.6, ,96, ,54, ,79, ,47.2, ,2.5, ,58.8, ,52.5, 
129,1/14/2021,14,0.08, ,0, ,280, ,12.9, ,75.3, ,45.0, ,60.4, ,93, ,45, ,72, ,51.4, ,4.0, ,96.0, ,54.0, 
129,1/15/2021,15,0.08, ,0, ,273, ,10.5, ,76.2,Y,46.4, ,58.5, ,87, ,38, ,63, ,45.8, ,3.3, ,78.1, ,54.6, 
129,1/16/2021,16,0.08, ,0, ,280, ,10.9, ,73.0, ,44.2, ,54.9, ,99, ,45, ,74, ,46.7, ,3.3, ,78.4, ,54.9, 
129,1/17/2021,17,0.09, ,0.00, ,289, ,9.8, ,79.6,Y,40.9, ,56.7, ,99, ,30, ,62, ,44.0, ,3.1, ,73.4, ,54.8, 
129,1/18/2021,18,0.11, ,0, ,300, ,6.4, ,77.8,Y,42.3, ,59.1, ,88, ,13, ,37, ,33.2, ,3.7, ,87.8, ,54.6, 
129,1/19/2021,19,0.17, ,0, ,296, ,3.1,Y,69.4, ,46.6, ,60.0, ,35, ,13, ,18,Y,15.9,Y,8.3, ,199.1, ,53.9, 
129,1/20/2021,20,0.09, ,0, ,301, ,5.3, ,71.7, ,37.5, ,52.3, ,78, ,19, ,40, ,28.5, ,3.2, ,76.5, ,53.2, 
129,1/21/2021,21,0.07, ,0, ,300, ,7.6, ,64.2, ,32.4, ,47.6, ,86, ,31, ,68, ,37.5, ,3.6, ,85.4, ,52.5, 
129,1/22/2021,22,0.04, ,0.00, ,175, ,10.2, ,55.0, ,42.4, ,48.3, ,99, ,75, ,88, ,45.0, ,3.1, ,73.9, ,53.1, 
129,1/23/2021,23,0.07, ,0.00, ,299, ,8.9, ,55.9, ,35.5, ,45.5, ,99, ,61, ,85, ,41.4, ,2.8, ,67.8, ,52.8, 
129,1/24/2021,24,0.02, ,0.00, ,111, ,8.9, ,52.4, ,34.1, ,44.1, ,99, ,73, ,90, ,41.5, ,3.3, ,80.3, ,51.9, 
129,1/25/2021,25,0.07, ,0, ,245, ,6.4, ,54.0, ,34.4, ,46.0, ,88, ,42, ,61, ,33.2, ,5.9, ,140.7, ,51.4, 
129,1/26/2021,26,0.05, ,0.50, ,208, ,6.9, ,51.8, ,27.0,Y,41.4,Y,97, ,57, ,78,Y,35.0,Y,4.6, ,111.3, ,50.1, 
129,1/27/2021,27,0.01, ,3.22, ,35, ,10.3, ,53.2, ,43.5, ,48.7, ,95, ,79, ,88, ,45.4, ,8.4,Y,202.6,Y,49.6, 
129,1/28/2021,28,0.01, ,1.37, ,56, ,11.3, ,53.4, ,47.2, ,50.5, ,96, ,84, ,90, ,47.7, ,5.6, ,133.2, ,50.2, 
129,1/29/2021,29,0.07, ,0.19, ,303, ,9.3, ,57.0, ,39.1, ,47.4, ,98, ,58, ,83, ,42.6, ,3.0, ,72.8, ,51.0, 
