191,1/1/2021,1,0.05, ,0, ,208, ,7.4, ,64.1, ,32.5, ,45.3, ,97, ,35, ,72, ,36.6, ,2.0, ,48.5, ,45.9, 
191,1/2/2021,2,0.01, ,0.08, ,65, ,10.7, ,51.4, ,44.6, ,48.5, ,97, ,85, ,92, ,46.3, ,2.0, ,47.8, ,47.0, 
191,1/3/2021,3,0.02, ,0, ,115, ,11.2, ,56.4, ,45.2, ,49.0, ,100, ,76, ,94, ,47.5, ,1.9, ,46.2, ,48.4, 
191,1/4/2021,4,0.03, ,0.41, ,101, ,11.4, ,61.1, ,41.0, ,51.8, ,99, ,69, ,87, ,48.1, ,5.2, ,124.7, ,49.3, 
191,1/5/2021,5,0.03, ,0.00, ,169, ,8.9, ,56.7, ,36.3, ,43.5, ,100, ,68, ,93, ,41.5, ,2.3, ,54.0, ,48.5, 
191,1/6/2021,6,0.03, ,0, ,152, ,8.2, ,60.5, ,33.2, ,43.7, ,99, ,53, ,85, ,39.5, ,2.1, ,50.6, ,47.0, 
191,1/7/2021,7,0.05, ,0, ,211, ,9.1, ,57.1, ,37.4, ,46.8, ,99, ,61, ,83, ,42.0, ,3.2, ,77.5, ,47.0, 
191,1/8/2021,8,0.04, ,0, ,193, ,10.1, ,61.4, ,40.6, ,49.6, ,94, ,61, ,83, ,44.7, ,2.7, ,65.1, ,47.4, 
191,1/9/2021,9,0.06, ,0, ,264, ,7.2, ,64.5, ,33.7, ,47.3, ,98, ,28, ,65, ,36.2, ,2.3, ,54.5, ,47.8, 
191,1/10/2021,10,0.04, ,0, ,178, ,7.9, ,62.4, ,32.9, ,44.9, ,96, ,48, ,78, ,38.4, ,2.5, ,59.9, ,47.0, 
191,1/11/2021,11,0.06, ,0, ,252, ,8.6, ,61.1, ,35.2, ,47.1, ,98, ,55, ,78, ,40.7, ,2.6, ,61.5, ,47.1, 
191,1/12/2021,12,0.03, ,0, ,132, ,10.0, ,63.2, ,41.2, ,50.7, ,96, ,54, ,79, ,44.6, ,1.8, ,43.6, ,47.8, 
191,1/13/2021,13,0.06, ,0, ,265, ,11.9, ,71.5, ,41.0, ,54.9, ,98, ,54, ,81, ,49.2, ,2.1, ,50.3, ,49.1, 
191,1/14/2021,14,0.08, ,0, ,283, ,10.2, ,68.3, ,42.1, ,53.9, ,99, ,42, ,72, ,45.1, ,2.8, ,66.7, ,50.0, 
191,1/15/2021,15,0.07, ,0, ,263, ,9.7, ,70.4, ,37.9, ,51.8, ,96, ,44, ,74, ,43.6, ,2.2, ,52.9, ,49.6, 
191,1/16/2021,16,0.08, ,0, ,280, ,9.5, ,78.3,Y,40.7, ,54.9, ,97, ,28, ,64, ,43.2, ,1.7, ,39.8, ,50.2, 
191,1/17/2021,17,0.09, ,0, ,291, ,8.4, ,77.1,Y,40.7, ,56.0, ,91, ,23, ,55, ,40.1, ,2.8, ,68.2, ,50.6, 
191,1/18/2021,18,0.14,R,0, ,301, ,3.7, ,77.5,Y,50.1, ,--,S,54, ,8, ,--,Q,--,Q,6.5, ,156.9, ,50.8, 
191,1/19/2021,19,0.15, ,0.01,H,297, ,3.4,Y,68.9, ,39.2, ,55.3, ,54, ,15, ,22,Y,17.6,Y,8.3,Y,198.2,Y,49.7, 
191,1/20/2021,20,0.08, ,0, ,298, ,4.8, ,70.3, ,33.5, ,48.7, ,72, ,15, ,41, ,26.2, ,2.0, ,47.0, ,48.1, 
191,1/21/2021,21,0.08,R,0, ,277, ,5.7, ,68.3, ,29.6, ,46.3, ,85, ,24, ,53, ,30.2, ,2.0, ,47.9, ,47.5, 
191,1/22/2021,22,0.03, ,0.09, ,136, ,9.0, ,53.8, ,40.4, ,46.7, ,98, ,71, ,83, ,41.7, ,3.6, ,85.7, ,47.9, 
191,1/23/2021,23,0.05, ,0, ,195, ,8.4, ,57.4, ,36.3, ,45.1, ,99, ,51, ,82, ,40.0, ,2.2, ,53.9, ,47.8, 
191,1/24/2021,24,0.02, ,0.14, ,83, ,8.1, ,51.1, ,32.6, ,43.7, ,98, ,67, ,84, ,39.1, ,3.7, ,89.1, ,47.0, 
191,1/25/2021,25,0.08, ,0, ,298, ,5.8, ,54.4, ,37.0, ,44.4, ,74, ,36, ,58, ,30.7, ,6.0, ,144.6, ,46.3, 
191,1/26/2021,26,0.05, ,0.13, ,173, ,6.4, ,50.1, ,27.1, ,41.5, ,94, ,51, ,72, ,33.0, ,6.1, ,147.4, ,44.8, 
191,1/27/2021,27,0.02, ,0.99, ,66, ,9.4, ,54.2, ,43.4, ,48.2, ,97, ,68, ,82, ,42.9, ,5.4, ,129.9, ,45.8, 
191,1/28/2021,28,0.01, ,1.40, ,82, ,10.6, ,52.9, ,44.6, ,48.9, ,97, ,77, ,90, ,46.1, ,3.9, ,93.7, ,46.9, 
191,1/29/2021,29,0.05, ,0.16, ,221, ,8.5, ,57.1, ,40.3, ,46.7, ,97, ,49, ,78, ,40.3, ,2.1, ,51.2, ,47.6, 
191,1/30/2021,30,0.07, ,0, ,275, ,8.7, ,62.5, ,38.7, ,49.1, ,96, ,46, ,73, ,41.0, ,2.0, ,46.9, ,47.7, 
191,1/31/2021,31,0.07, ,0, ,277, ,8.9, ,67.5, ,43.5, ,54.2, ,94, ,29, ,62, ,41.4, ,1.7, ,40.3, ,49.4, 
