62,12/1/2021,335,0.13, ,0, ,248, ,5.9, ,86.7,Y,61.3,Y,71.3,Y,53, ,10, ,23,Y,31.1,Y,4.8, ,114.8, ,57.4, 
62,12/2/2021,336,0.08, ,0, ,244, ,8.8, ,73.2, ,47.9, ,60.5, ,100, ,21, ,49, ,41.2, ,2.6, ,63.6, ,57.1, 
62,12/3/2021,337,0.06,R,0, ,234, ,11.8, ,68.6, ,43.7, ,53.5, ,100, ,51, ,85, ,49.0, ,1.5, ,35.4, ,56.0, 
62,12/4/2021,338,0.04,R,0.01, ,183, ,12.0, ,68.8, ,45.8, ,52.6, ,100, ,52, ,89, ,49.3, ,1.9, ,45.4, ,56.1, 
62,12/5/2021,339,0.06,R,0.01, ,233, ,10.6, ,71.7, ,40.7, ,56.1, ,100, ,33, ,69, ,46.0, ,1.8, ,44.1, ,55.7, 
62,12/6/2021,340,0.08, ,0, ,220, ,8.8, ,73.8, ,50.3, ,60.1, ,100, ,25, ,49, ,41.1, ,2.4, ,58.0, ,55.5, 
62,12/7/2021,341,0.01,R,0.00, ,66, ,11.9, ,59.4, ,48.8, ,52.9, ,100, ,74, ,87, ,49.2, ,1.3, ,32.3, ,56.1, 
62,12/8/2021,342,0.05, ,0, ,215, ,11.7, ,68.4, ,48.0, ,55.4, ,100, ,49, ,78, ,48.8, ,2.2, ,52.1, ,55.4, 
62,12/9/2021,343,0,R,0.13, ,43, ,12.7, ,54.2, ,47.2, ,51.2, ,100, ,93, ,99, ,50.9, ,1.0, ,25.2, ,56.4, 
62,12/10/2021,344,0.03,R,0,R,123, ,8.9, ,58.7, ,46.9, ,52.4, ,100, ,52, ,66, ,41.5, ,3.5, ,83.9, ,55.1, 
62,12/11/2021,345,0.07, ,0, ,226, ,4.9, ,64.5, ,43.9, ,53.2, ,53, ,23, ,35, ,26.6, ,2.7, ,63.8, ,53.0, 
62,12/12/2021,346,0.06, ,0, ,227, ,6.8, ,66.9, ,44.0, ,52.8, ,100, ,25, ,50, ,34.5, ,1.6, ,38.1, ,52.1, 
62,12/13/2021,347,0.00,R,0.02, ,54, ,10.3, ,54.8, ,44.0, ,49.1, ,100, ,64, ,87, ,45.4, ,1.3, ,30.2, ,52.7, 
62,12/14/2021,348,0.00, ,2.37, ,27, ,11.2, ,53.9, ,41.6, ,48.2, ,100, ,82, ,98, ,47.5, ,4.8, ,114.6, ,52.9, 
62,12/15/2021,349,0.05,R,0.00, ,218, ,6.8, ,56.0, ,39.3, ,46.1, ,94, ,44, ,64, ,34.5, ,2.6, ,62.2, ,50.4, 
62,12/16/2021,350,0.04, ,0.03, ,182, ,8.0, ,59.1, ,39.1, ,47.4, ,100, ,43, ,72, ,38.8, ,3.7, ,89.0, ,49.6, 
62,12/17/2021,351,0.09, ,0.01, ,226, ,6.6, ,63.6, ,44.3, ,53.3, ,100, ,23, ,48, ,34.0, ,5.2, ,124.4, ,50.8, 
62,12/18/2021,352,0.11, ,0, ,231, ,4.0, ,68.7, ,42.0, ,55.1, ,51, ,11, ,27, ,21.5, ,6.4, ,153.5, ,49.6, 
62,12/19/2021,353,0.09, ,0, ,229, ,4.9, ,67.8, ,48.7, ,55.9, ,56, ,20, ,32, ,26.7, ,4.4, ,105.2, ,49.7, 
62,12/20/2021,354,0.08,R,0, ,206, ,4.2, ,68.3, ,45.0, ,56.2, ,62, ,12, ,27, ,22.8, ,3.6, ,87.4, ,49.6, 
62,12/21/2021,355,0.06, ,0, ,118, ,5.0, ,68.1, ,52.1, ,59.2, ,50, ,17, ,29, ,27.0, ,2.7, ,64.2, ,50.9, 
62,12/22/2021,356,0.06, ,0.00, ,174, ,7.1, ,69.7, ,50.9, ,58.4, ,75, ,25, ,43, ,35.7, ,2.0, ,48.1, ,51.5, 
62,12/23/2021,357,0.00, ,1.15, ,34, ,11.4, ,56.8, ,47.6, ,51.1, ,100, ,60, ,89, ,48.0, ,1.4, ,34.6, ,53.0, 
62,12/24/2021,358,0.03, ,1.40, ,146, ,12.5, ,57.6, ,47.7, ,51.8, ,100, ,76, ,95, ,50.5, ,2.7, ,63.9, ,52.8, 
62,12/25/2021,359,0.01, ,0.44, ,97, ,11.4, ,54.1, ,45.5, ,48.5, ,100, ,84, ,98, ,47.9, ,1.7, ,41.8, ,53.1, 
62,12/26/2021,360,0.05, ,0.5, ,239, ,9.2, ,57.6, ,42.0, ,48.3, ,100, ,55, ,80, ,42.3, ,2.4, ,58.3, ,51.9, 
62,12/27/2021,361,0.01, ,0.34, ,94, ,9.3, ,53.2, ,40.4, ,45.5, ,100, ,66, ,89, ,42.5, ,2.1, ,51.4, ,50.3, 
62,12/28/2021,362,0.01, ,0.08, ,114, ,9.4, ,49.0, ,42.4, ,44.7, ,100, ,79, ,93, ,42.9, ,1.6, ,37.6, ,50.3, 
62,12/29/2021,363,0.01, ,0.37, ,100, ,10.3, ,51.4, ,41.1, ,46.5, ,100, ,79, ,96, ,45.3, ,2.0, ,48.7, ,50.3, 
62,12/30/2021,364,0.01, ,0.10, ,99, ,11.9, ,60.0, ,46.8, ,51.3, ,100, ,69, ,92, ,49.1, ,2.4, ,57.1, ,51.7, 
62,12/31/2021,365,0.03, ,0, ,135, ,10.9, ,61.7, ,46.8, ,51.6, ,100, ,68, ,83, ,46.7, ,3.4, ,81.4, ,52.3, 
