64,12/1/2021,335,0.09,R,0, ,305, ,7.3, ,91.9,Y,34.4, ,57.8, ,95, ,11, ,45, ,36.6, ,2.0, ,47.2, ,62.0, 
64,12/2/2021,336,0.08, ,0, ,301, ,10.3, ,80.1, ,32.8, ,53.4, ,100, ,34, ,74, ,45.2, ,2.3, ,54.5, ,62.1, 
64,12/3/2021,337,0.03, ,0.01, ,177, ,12.4, ,64.1, ,45.7, ,51.7, ,100, ,71, ,95, ,50.3, ,2.5, ,59.9, ,62.0, 
64,12/4/2021,338,0.03, ,0, ,171, ,11.2, ,64.5, ,42.5, ,50.4, ,100, ,59, ,90, ,47.6, ,2.2, ,51.9, ,61.9, 
64,12/5/2021,339,0.08, ,0.00, ,285, ,9.3, ,81.1, ,37.8, ,53.5, ,100, ,25, ,67, ,42.7, ,2.5, ,60.3, ,61.7, 
64,12/6/2021,340,0.06, ,0, ,228, ,10.7, ,78.2, ,32.2, ,52.1, ,100, ,33, ,81, ,46.3, ,2.4, ,57.2, ,61.6, 
64,12/7/2021,341,0.03, ,0.02, ,150, ,14.4, ,69.2, ,50.8, ,57.0, ,100, ,64, ,91, ,54.2, ,2.2, ,53.6, ,61.4, 
64,12/8/2021,342,0.06, ,0.00, ,255, ,13.4, ,72.5, ,46.0, ,56.4, ,100, ,55, ,86, ,52.3, ,2.9, ,70.6, ,61.5, 
64,12/9/2021,343,0.02, ,0.05, ,100, ,12.4, ,58.3, ,42.6, ,52.9, ,100, ,67, ,90, ,50.2, ,3.2, ,76.1, ,61.8, 
64,12/10/2021,344,0.06, ,0, ,252, ,8.0, ,67.4, ,33.1, ,45.9, ,100, ,33, ,76, ,38.8, ,1.9, ,46.4, ,61.3, 
64,12/11/2021,345,0.07, ,0, ,286, ,6.4, ,68.6, ,27.3, ,44.2, ,100, ,23, ,65, ,33.0, ,1.9, ,45.3, ,60.4, 
64,12/12/2021,346,0.07, ,0, ,282, ,7.2, ,67.6, ,26.1, ,43.9, ,100, ,37, ,74, ,36.1, ,2.1, ,49.3, ,59.7, 
64,12/13/2021,347,0.01, ,1.59, ,70, ,10.9, ,58.0, ,31.6, ,51.1, ,100, ,61, ,85, ,46.8, ,5.5, ,130.8, ,59.2, 
64,12/14/2021,348,0.01, ,2.22, ,77, ,11.4, ,58.3, ,36.5, ,48.2, ,100, ,85, ,99, ,47.9, ,3.9, ,93.4, ,55.1, 
64,12/15/2021,349,0.05, ,0.00, ,250, ,7.6, ,56.8, ,31.9, ,41.6, ,100, ,51, ,85, ,37.4, ,1.9, ,46.2, ,54.8, 
64,12/16/2021,350,0.02, ,0.03, ,134, ,11.0, ,57.3, ,32.8, ,46.6, ,100, ,92, ,100, ,47.1, ,2.1, ,50.0, ,54.3, 
64,12/17/2021,351,0.06, ,0.00, ,266, ,9.6, ,65.7, ,35.6, ,48.3, ,100, ,37, ,83, ,43.5, ,2.3, ,54.7, ,54.6, 
64,12/18/2021,352,0.06, ,0.00, ,287, ,7.6, ,69.4, ,28.7, ,44.0, ,100, ,32, ,77, ,37.3, ,1.6, ,37.7, ,54.9, 
64,12/19/2021,353,0.06, ,0.00, ,290, ,8.0, ,67.7, ,27.7, ,43.8, ,100, ,43, ,82, ,38.7, ,1.9, ,45.7, ,54.6, 
64,12/20/2021,354,0.03, ,0, ,164, ,9.7, ,57.6, ,41.1, ,46.9, ,100, ,66, ,89, ,43.8, ,2.0, ,48.9, ,54.5, 
64,12/21/2021,355,0.05, ,0, ,209, ,8.7, ,64.7, ,37.7, ,46.9, ,100, ,36, ,79, ,40.9, ,1.9, ,44.9, ,54.7, 
64,12/22/2021,356,0.02, ,0.42, ,96, ,11.4, ,63.6, ,37.0, ,50.6, ,100, ,57, ,91, ,48.0, ,1.8, ,44.1, ,54.8, 
64,12/23/2021,357,0, ,1.09, ,28, ,14.9,Y,58.0, ,53.2,Y,55.5, ,100, ,95, ,99,Y,55.3,Y,3.3, ,79.2, ,55.0, 
64,12/24/2021,358,0.03, ,0.39, ,181, ,13.1,Y,61.2, ,49.4,Y,53.8, ,100, ,72, ,93,Y,51.7,Y,2.6, ,62.2, ,55.6, 
64,12/25/2021,359,0.03, ,0.89, ,143, ,10.7, ,55.9, ,46.8, ,50.1, ,100, ,62, ,87, ,46.3, ,3.1, ,73.8, ,56.1, 
64,12/26/2021,360,0.06, ,0.02,H,280, ,8.8, ,56.8, ,34.8, ,46.1, ,100, ,49, ,83, ,41.1, ,2.7, ,65.1, ,55.1, 
64,12/27/2021,361,0.01, ,0.38, ,90, ,9.0, ,51.6, ,31.8, ,41.5, ,100, ,91, ,100, ,41.9, ,1.9, ,46.7, ,54.8, 
64,12/28/2021,362,0.06, ,0.00, ,263, ,8.3, ,56.0, ,36.7, ,44.3, ,100, ,55, ,83, ,39.6, ,3.3, ,78.7, ,54.0, 
64,12/29/2021,363,0.02, ,0.05, ,140, ,10.4, ,52.0, ,38.2, ,47.1, ,100, ,81, ,94, ,45.5, ,5.5, ,131.7, ,53.8, 
64,12/30/2021,364,0.01, ,0.10, ,103, ,11.7, ,57.8, ,40.3, ,48.6, ,100, ,87, ,100, ,48.6, ,2.1, ,50.0, ,53.7, 
64,12/31/2021,365,0.04, ,0, ,182, ,9.9, ,57.7, ,44.9, ,49.7, ,100, ,58, ,81, ,44.2, ,5.2, ,125.6, ,54.0, 
