257,7/1/2022,182,0.38, ,0, ,814,R,3.8, ,102.7, ,74.6, ,89.7, ,13, ,4, ,8, ,20.5, ,8.0, ,191.0, ,--,S
257,7/2/2022,183,0.40, ,0, ,811,R,5.9, ,98.6, ,75.6, ,86.8, ,18, ,10, ,13, ,31.0, ,9.2, ,219.9, ,--,S
257,7/3/2022,184,0.41, ,0, ,830,R,5.0, ,95.2, ,72.3, ,83.1, ,23, ,6, ,13, ,27.2, ,10.5, ,251.7, ,--,S
257,7/4/2022,185,0.34, ,0, ,805,R,7.0, ,96.1, ,63.4, ,81.0, ,34, ,11, ,19, ,35.5, ,7.0, ,168.2, ,--,S
257,7/5/2022,186,0.34, ,0, ,801,R,8.8, ,95.8, ,66.5, ,82.6, ,36, ,14, ,23, ,41.3, ,6.4, ,152.9, ,--,S
257,7/6/2022,187,0.35, ,0, ,812,R,9.3, ,96.9, ,70.6, ,84.0, ,43, ,7, ,23, ,42.6, ,7.0, ,167.6, ,--,S
257,7/7/2022,188,0.35, ,0, ,826,R,7.8, ,99.7, ,66.3, ,85.2, ,52, ,5, ,19, ,38.0, ,5.9, ,140.5, ,--,S
257,7/8/2022,189,0.34, ,0, ,812,R,7.6, ,100.9, ,68.7, ,87.5, ,41, ,6, ,17, ,37.4, ,5.4, ,128.7, ,--,S
257,7/9/2022,190,0.35, ,0, ,820,R,7.5, ,102.0, ,68.7, ,87.4, ,33, ,7, ,17, ,37.3, ,5.7, ,135.7, ,--,S
257,7/10/2022,191,0.32, ,0, ,812,R,6.4, ,104.7, ,65.7, ,88.0, ,40, ,4, ,14, ,33.1, ,4.2, ,100.1, ,--,S
257,7/11/2022,192,0.32, ,0, ,800,R,5.6, ,108.6, ,67.2, ,91.3, ,33, ,4, ,11, ,29.7, ,4.1, ,98.7, ,--,S
257,7/12/2022,193,0.35, ,0, ,786,R,6.6, ,108.1, ,72.7, ,93.3, ,29, ,7, ,12, ,33.8, ,5.2, ,125.6, ,--,S
257,7/13/2022,194,0.36, ,0, ,775,R,7.1, ,105.8, ,72.5, ,91.9, ,29, ,6, ,14, ,35.7, ,5.8, ,139.1, ,--,S
257,7/14/2022,195,0.35, ,0, ,712, ,10.4, ,108.3, ,75.5, ,94.4, ,28, ,13, ,19, ,45.6, ,5.3, ,127.1, ,--,S
257,7/15/2022,196,0.34, ,0, ,759,R,11.4, ,107.6, ,78.5, ,95.5, ,36, ,13, ,20, ,48.0, ,4.5, ,108.6, ,--,S
257,7/16/2022,197,0.34, ,0, ,759,R,10.2, ,110.0, ,80.5, ,97.0, ,31, ,10, ,17, ,45.1, ,4.4, ,106.1, ,--,S
257,7/17/2022,198,0.35, ,0, ,666, ,9.6, ,110.5, ,77.3, ,95.7, ,30, ,9, ,17, ,43.4, ,5.5, ,130.9, ,--,S
257,7/18/2022,199,0.35, ,0, ,689, ,10.2, ,105.9, ,79.3, ,93.1, ,28, ,14, ,19, ,45.1, ,6.0, ,143.7, ,--,S
257,7/19/2022,200,0.35, ,0, ,764,R,9.5, ,106.4, ,77.3, ,93.7, ,32, ,11, ,18, ,43.3, ,5.3, ,127.1, ,--,S
257,7/20/2022,201,0.34, ,0, ,726, ,8.1, ,108.1, ,74.3, ,93.8, ,33, ,8, ,15, ,39.0, ,5.2, ,123.8, ,--,S
257,7/21/2022,202,0.35, ,0, ,761,R,7.5, ,109.3, ,72.1, ,93.3, ,30, ,8, ,14, ,37.2, ,4.9, ,118.1, ,--,S
257,7/22/2022,203,0.34, ,0, ,760,R,6.2, ,108.9, ,72.6, ,92.9, ,27, ,6, ,12, ,32.4, ,5.2, ,124.9, ,--,S
257,7/23/2022,204,0.34, ,0, ,705, ,5.3, ,105.5, ,69.7, ,91.3, ,27, ,6, ,11, ,28.5, ,5.3, ,127.0, ,--,S
257,7/24/2022,205,0.32, ,0, ,780,R,5.3, ,106.4, ,72.0, ,92.6, ,22, ,6, ,10, ,28.5, ,4.4, ,106.1, ,--,S
257,7/25/2022,206,0.34, ,0, ,695, ,9.4, ,101.6, ,76.5, ,90.5, ,36, ,10, ,19, ,43.0, ,6.7, ,161.4, ,--,S
257,7/26/2022,207,0.31, ,0, ,746,R,9.2, ,104.4, ,72.2, ,90.8, ,37, ,11, ,19, ,42.3, ,4.4, ,106.4, ,--,S
257,7/27/2022,208,0.32, ,0, ,675, ,9.2, ,107.9, ,77.3, ,93.2, ,27, ,11, ,17, ,42.4, ,4.3, ,104.4, ,--,S
257,7/28/2022,209,0.33, ,0, ,652, ,9.1, ,105.9, ,77.3, ,92.4, ,27, ,13, ,17, ,42.0, ,5.6, ,134.5, ,--,S
257,7/29/2022,210,0.34, ,0.01, ,738,R,10.5, ,106.1, ,80.3, ,92.9, ,41, ,12, ,20, ,45.9, ,5.7, ,136.4, ,--,S
257,7/30/2022,211,0.32, ,0, ,669, ,15.2, ,103.6, ,76.7, ,90.0, ,53, ,19, ,32, ,55.8, ,5.6, ,134.9, ,--,S
257,7/31/2022,212,0.22,R,0, ,456, ,17.4, ,100.8, ,75.7, ,85.1, ,66, ,22, ,42, ,59.5, ,5.2, ,125.3, ,--,S
