231,7/1/2022,182,--,N,0, ,588, ,14.1, ,64.5, ,53.9, ,57.9, ,94, ,73, ,86, ,53.6, ,8.0, ,191.6, ,67.4, 
231,7/2/2022,183,--,N,0, ,482, ,13.8, ,64.8, ,54.4, ,57.8, ,91, ,72, ,84, ,53.1, ,9.8, ,234.1, ,66.4, 
231,7/3/2022,184,--,N,0, ,567, ,13.6, ,65.4, ,52.1, ,58.3, ,93, ,69, ,82, ,52.7, ,10.7,Y,256.7,Y,66.6, 
231,7/4/2022,185,--,N,0, ,622, ,15.7, ,68.8, ,51.9, ,60.9, ,98, ,67, ,86, ,56.7, ,7.7, ,184.3, ,67.3, 
231,7/5/2022,186,--,N,0, ,589, ,17.4,Y,71.3, ,57.2, ,63.0, ,98, ,71, ,88,Y,59.5,Y,6.7, ,160.8, ,69.3, 
231,7/6/2022,187,--,N,0, ,555, ,16.3, ,70.8, ,57.3, ,63.0, ,99, ,64, ,83, ,57.7, ,7.6, ,181.8, ,70.3, 
231,7/7/2022,188,--,N,0, ,532, ,15.3, ,68.0, ,57.1, ,60.5, ,93, ,71, ,85, ,56.1, ,7.1, ,170.5, ,70.6, 
231,7/8/2022,189,--,N,0, ,626, ,15.7, ,71.0, ,55.6, ,60.2, ,97, ,70, ,88, ,56.6, ,6.2, ,148.1, ,70.9, 
231,7/9/2022,190,--,N,0, ,627, ,15.4, ,67.3, ,54.7, ,60.0, ,99, ,71, ,87, ,56.2, ,7.2, ,172.5, ,71.2, 
231,7/10/2022,191,--,N,0, ,421, ,15.3, ,66.1, ,55.5, ,58.9, ,98, ,75, ,90, ,56.0, ,6.4, ,153.0, ,70.8, 
231,7/11/2022,192,--,N,0, ,590, ,15.4, ,67.2, ,54.0, ,58.5, ,99, ,70, ,92, ,56.2, ,5.4, ,129.4, ,70.1, 
231,7/12/2022,193,--,N,0.00, ,622, ,15.6, ,68.3, ,54.2, ,60.2, ,100, ,71, ,88, ,56.6, ,6.2, ,149.3, ,69.1, 
231,7/13/2022,194,--,N,0, ,576, ,15.6, ,68.3, ,56.7, ,60.7, ,96, ,69, ,86, ,56.6, ,6.4, ,154.2, ,69.0, 
231,7/14/2022,195,--,N,0, ,582, ,15.4, ,65.9, ,55.9, ,60.0, ,98, ,75, ,87, ,56.1, ,6.7, ,160.2, ,69.9, 
231,7/15/2022,196,--,N,0, ,637, ,15.0, ,68.9, ,55.9, ,60.9, ,94, ,68, ,82, ,55.4, ,7.5, ,179.8, ,70.5, 
231,7/16/2022,197,--,N,0, ,639, ,14.7, ,66.9, ,54.4, ,58.8, ,97, ,71, ,87, ,55.0, ,6.4, ,152.7, ,71.1, 
231,7/17/2022,198,--,N,0, ,633, ,14.9, ,67.7, ,54.0, ,59.1, ,99, ,69, ,87, ,55.2, ,6.3, ,152.2, ,71.4, 
231,7/18/2022,199,--,N,0, ,461, ,15.0, ,78.6,Y,51.6, ,61.1, ,97, ,57, ,82, ,55.4, ,4.7, ,112.5, ,71.0, 
231,7/19/2022,200,--,N,0, ,659, ,14.9, ,75.3, ,51.3, ,60.1, ,97, ,60, ,84, ,55.3, ,6.1, ,147.2, ,71.2, 
231,7/20/2022,201,--,N,0, ,612, ,14.7, ,67.9, ,53.7, ,58.9, ,98, ,68, ,86, ,54.8, ,6.8, ,163.8, ,71.5, 
231,7/21/2022,202,--,N,0, ,593, ,14.6, ,66.5, ,53.4, ,58.4, ,98, ,71, ,87, ,54.6, ,6.9, ,165.1, ,71.3, 
231,7/22/2022,203,--,N,0.00, ,577, ,14.8, ,65.8, ,53.4, ,57.4, ,100, ,71, ,92, ,55.0, ,7.8, ,188.0, ,70.6, 
231,7/23/2022,204,--,N,0, ,507, ,14.5, ,64.4, ,53.7, ,57.3, ,100, ,75, ,91, ,54.5, ,8.4, ,200.6, ,68.3, 
231,7/24/2022,205,--,N,0, ,568, ,14.2, ,67.1, ,53.3, ,58.4, ,97, ,68, ,85, ,53.9, ,7.0, ,167.0, ,67.3, 
231,7/25/2022,206,--,N,0.07,H,600, ,15.6, ,64.6, ,54.1, ,57.9, ,100, ,84, ,95, ,56.5, ,6.0, ,143.0, ,67.7, 
231,7/26/2022,207,--,N,0, ,560, ,16.1, ,66.3, ,54.8, ,59.2, ,100, ,79, ,94, ,57.3, ,5.0, ,120.3, ,67.6, 
231,7/27/2022,208,--,N,0, ,546, ,16.5, ,66.5, ,55.5, ,59.8, ,100, ,79, ,94, ,58.0, ,6.2, ,147.8, ,67.7, 
231,7/28/2022,209,--,N,0, ,538, ,16.6, ,66.5, ,56.3, ,59.7, ,100, ,82, ,95, ,58.3, ,6.9, ,165.2, ,68.6, 
231,7/29/2022,210,--,N,0, ,558, ,16.7, ,68.8, ,55.1, ,60.0, ,100, ,73, ,95, ,58.4, ,5.5, ,132.2, ,69.3, 
231,7/30/2022,211,--,N,0, ,552, ,16.8, ,70.5, ,54.5, ,60.8, ,100, ,70, ,92, ,58.5, ,5.4, ,130.0, ,70.1, 
231,7/31/2022,212,--,N,0, ,551, ,18.1,Y,71.8, ,55.8, ,63.6, ,100, ,74, ,90,Y,60.6,Y,5.3, ,128.3, ,70.6, 
