62,3/1/2022,60,0.18, ,0, ,485, ,3.8, ,85.4, ,57.0, ,69.0, ,26, ,6, ,16, ,20.3, ,4.5, ,108.1, ,53.2, 
62,3/2/2022,61,0.15, ,0, ,483, ,4.9, ,84.7, ,56.6, ,68.9, ,40, ,14, ,21, ,26.8, ,1.7, ,39.6, ,54.9, 
62,3/3/2022,62,0.12,R,0.01, ,470, ,8.4, ,69.4, ,50.8, ,58.8, ,96, ,22, ,49, ,40.0, ,1.7, ,41.1, ,55.5, 
62,3/4/2022,63,0.06, ,0.33, ,267, ,11.5, ,61.6, ,46.3, ,51.4, ,100, ,63, ,89, ,48.2, ,2.6, ,62.8, ,55.3, 
62,3/5/2022,64,0.08, ,0.01, ,330, ,8.7, ,54.8, ,42.6, ,47.4, ,100, ,55, ,78, ,41.0, ,3.8, ,91.2, ,54.3, 
62,3/6/2022,65,0.11,R,0, ,455, ,8.4, ,62.8, ,41.4, ,49.2, ,100, ,43, ,70, ,39.9, ,2.1, ,49.6, ,52.8, 
62,3/7/2022,66,0.17, ,0, ,490, ,4.9, ,66.0, ,41.4, ,53.4, ,88, ,10, ,35, ,26.5, ,7.2, ,173.4, ,51.8, 
62,3/8/2022,67,0.15, ,0, ,494, ,3.5, ,69.2, ,47.0, ,56.0, ,43, ,13, ,23, ,18.9, ,3.4, ,80.9, ,51.5, 
62,3/9/2022,68,0.14, ,0, ,491, ,7.9, ,67.0, ,44.3, ,54.0, ,98, ,29, ,56, ,38.5, ,2.9, ,69.6, ,52.3, 
62,3/10/2022,69,0.14, ,0, ,404, ,7.4, ,66.5, ,48.8, ,56.3, ,90, ,7, ,48, ,36.7, ,4.0, ,96.0, ,54.4, 
62,3/11/2022,70,0.17, ,0, ,516, ,2.5,Y,71.5, ,44.5, ,58.4, ,28, ,8, ,15,Y,10.6,Y,4.3, ,103.3, ,52.6, 
62,3/12/2022,71,0.17, ,0, ,519, ,3.6, ,78.2, ,50.5, ,62.4, ,37, ,11, ,19, ,19.1, ,3.5, ,85.1, ,53.6, 
62,3/13/2022,72,0.14, ,0, ,509, ,9.8, ,69.8, ,48.8, ,56.3, ,100, ,33, ,63, ,44.0, ,2.5, ,59.4, ,55.1, 
62,3/14/2022,73,0.16, ,0, ,518, ,10.6, ,80.2, ,46.5, ,60.9, ,100, ,23, ,58, ,46.0, ,3.0, ,71.2, ,56.2, 
62,3/15/2022,74,0.17, ,0, ,507, ,9.3, ,80.2, ,52.2, ,64.0, ,82, ,28, ,46, ,42.7, ,3.4, ,81.9, ,57.6, 
62,3/16/2022,75,0.15, ,0, ,514, ,12.4, ,74.3, ,51.4, ,58.8, ,93, ,44, ,73, ,50.2, ,2.3, ,55.7, ,58.1, 
62,3/17/2022,76,0.18, ,0, ,531, ,6.6, ,82.4, ,52.9, ,66.7, ,83, ,11, ,30, ,33.9, ,4.0, ,95.1, ,58.6, 
62,3/18/2022,77,0.17, ,0, ,536, ,6.9, ,79.6, ,53.1, ,65.4, ,64, ,20, ,32, ,34.9, ,1.7, ,39.8, ,58.6, 
62,3/19/2022,78,0.14, ,0.02, ,487, ,10.1, ,68.4, ,50.1, ,57.8, ,99, ,32, ,62, ,44.8, ,3.5, ,84.7, ,59.0, 
62,3/20/2022,79,0.11,R,0.04, ,434, ,11.9, ,66.7, ,47.4, ,54.7, ,100, ,46, ,82, ,49.2, ,2.1, ,49.5, ,59.3, 
62,3/21/2022,80,0.16, ,0,R,695,R,11.7, ,74.5, ,55.0, ,64.7, ,100, ,28, ,56, ,48.8, ,3.3, ,79.7, ,59.1, 
62,3/22/2022,81,0.21, ,0, ,540, ,7.9, ,86.5, ,53.6, ,69.2, ,75, ,15, ,32, ,38.4, ,5.2, ,124.1, ,60.1, 
62,3/23/2022,82,0.22, ,0, ,552, ,5.5, ,87.1, ,62.4,Y,73.0,Y,33, ,10, ,20,Y,29.5,Y,4.5, ,108.2, ,60.7, 
62,3/24/2022,83,0.20, ,0, ,558, ,7.6, ,91.0,Y,62.7,Y,72.9,Y,49, ,17, ,28,Y,37.5,Y,2.9, ,70.4, ,62.6, 
62,3/25/2022,84,0.18, ,0, ,564, ,10.4, ,88.2, ,60.7,Y,71.0,Y,68, ,26, ,40,Y,45.6,Y,1.5, ,35.3, ,63.5, 
62,3/26/2022,85,0.18,R,0, ,576, ,10.6, ,80.9, ,49.9, ,65.2, ,100, ,27, ,50, ,46.0, ,1.7, ,41.6, ,64.0, 
62,3/27/2022,86,0.16,R,0.00, ,551, ,11.7, ,71.7, ,49.6, ,56.8, ,100, ,41, ,74, ,48.6, ,2.5, ,59.5, ,63.9, 
62,3/28/2022,87,0.04, ,1.05, ,198, ,12.3, ,60.5, ,47.3, ,52.5, ,100, ,63, ,91, ,50.0, ,2.3, ,56.1, ,61.6, 
62,3/29/2022,88,0.09, ,0.01, ,392, ,12.0, ,62.1, ,45.6, ,52.8, ,100, ,70, ,88, ,49.3, ,1.4, ,33.8, ,59.7, 
62,3/30/2022,89,0.15, ,0, ,545, ,12.9, ,70.3, ,48.3, ,56.5, ,100, ,57, ,83, ,51.3, ,2.3, ,55.3, ,60.1, 
62,3/31/2022,90,0.08,R,0, ,325, ,13.0, ,63.7, ,51.2, ,54.9, ,100, ,70, ,88, ,51.5, ,1.3, ,31.6, ,61.5, 
