178,3/1/2022,60,0.11, ,0.06, ,367, ,8.1, ,71.7, ,35.7, ,52.7, ,93, ,26, ,60, ,39.1, ,2.6, ,61.7, ,50.6, 
178,3/2/2022,61,0.12, ,0.17, ,400, ,8.7, ,70.6, ,38.8, ,52.5, ,96, ,28, ,65, ,41.0, ,2.6, ,62.2, ,51.3, 
178,3/3/2022,62,0.03, ,0.17, ,133, ,10.3, ,56.3, ,41.6, ,49.6, ,95, ,68, ,86, ,45.4, ,2.6, ,61.3, ,51.2, 
178,3/4/2022,63,0.08, ,0.02,H,293, ,9.6, ,58.4, ,44.0, ,50.4, ,95, ,43, ,77, ,43.3, ,5.9, ,141.3, ,51.9, 
178,3/5/2022,64,0.11, ,0.00, ,428, ,6.4, ,54.8, ,32.1, ,44.0, ,91, ,39, ,65, ,33.2, ,3.8, ,91.9, ,51.0, 
178,3/6/2022,65,0.11, ,0, ,436, ,6.9, ,60.2, ,29.3, ,43.9, ,95, ,40, ,71, ,35.1, ,3.1, ,74.0, ,50.0, 
178,3/7/2022,66,0.14, ,0.22, ,479,R,4.9, ,65.6, ,29.3, ,46.3, ,95, ,14, ,46, ,26.6, ,3.7, ,87.7, ,49.6, 
178,3/8/2022,67,0.14, ,0.07, ,473, ,6.2, ,72.0, ,31.9, ,50.7, ,90, ,20, ,49, ,32.3, ,2.9, ,70.8, ,49.9, 
178,3/9/2022,68,0.14, ,0.05, ,465, ,7.5, ,65.5, ,33.5, ,50.0, ,94, ,30, ,61, ,37.3, ,3.7, ,89.0, ,50.6, 
178,3/10/2022,69,0.15, ,0.02, ,502,R,4.9,Y,65.6, ,34.3, ,49.4, ,96, ,13, ,40,Y,26.4,Y,4.0, ,95.6, ,50.9, 
178,3/11/2022,70,0.14, ,0.11,H,501,R,4.4,Y,70.6, ,28.4, ,48.1, ,84, ,12, ,38,Y,23.9,Y,2.6, ,62.5, ,50.3, 
178,3/12/2022,71,0.14, ,0.08, ,489, ,6.7, ,65.4, ,29.5, ,47.6, ,87, ,24, ,60, ,34.2, ,3.9, ,92.7, ,50.4, 
178,3/13/2022,72,0.11, ,0.10, ,390, ,9.5, ,59.9, ,38.9, ,51.8, ,94, ,46, ,72, ,43.1, ,4.0, ,96.0, ,52.2, 
178,3/14/2022,73,0.14, ,0.09, ,475, ,7.6, ,70.0, ,33.3, ,52.0, ,94, ,23, ,57, ,37.3, ,3.2, ,76.6, ,52.1, 
178,3/15/2022,74,0.10, ,0.11, ,352, ,12.8, ,65.5, ,47.5, ,56.5, ,97, ,66, ,82, ,51.1, ,4.1, ,98.8, ,54.4, 
178,3/16/2022,75,0.14, ,0, ,497, ,9.7, ,68.4, ,43.5, ,54.1, ,97, ,42, ,68, ,43.8, ,3.5, ,83.3, ,55.3, 
178,3/17/2022,76,0.13, ,0, ,460, ,10.0, ,62.5, ,45.3, ,52.1, ,90, ,53, ,75, ,44.5, ,5.1, ,122.1, ,55.4, 
178,3/18/2022,77,0.14, ,0, ,501, ,9.2, ,70.6, ,37.6, ,53.0, ,96, ,40, ,67, ,42.4, ,3.1, ,74.9, ,55.3, 
178,3/19/2022,78,0.04, ,0.01, ,188, ,10.1, ,56.9, ,45.1, ,51.2, ,87, ,69, ,79, ,44.8, ,3.6, ,86.2, ,55.3, 
178,3/20/2022,79,0.16, ,0, ,533,R,7.3, ,66.9, ,40.0, ,51.9, ,85, ,25, ,55, ,36.5, ,4.9, ,118.7, ,54.7, 
178,3/21/2022,80,0.16, ,0.08, ,524, ,8.3, ,73.7, ,37.7, ,54.9, ,94, ,29, ,57, ,39.8, ,3.4, ,81.2, ,55.0, 
178,3/22/2022,81,0.18, ,0.12, ,533, ,10.5, ,81.5,Y,43.9, ,61.8,Y,93, ,29, ,56,Y,45.9,Y,3.3, ,78.5, ,56.2, 
178,3/23/2022,82,0.16, ,0.06, ,533, ,11.5, ,74.4, ,46.2, ,56.9, ,93, ,43, ,73, ,48.3, ,4.8, ,115.3, ,57.2, 
178,3/24/2022,83,0.17, ,0.00, ,545, ,10.2, ,73.0, ,39.9, ,54.6, ,96, ,35, ,70, ,45.0, ,4.5, ,107.5, ,57.1, 
178,3/25/2022,84,0.15, ,0, ,517, ,10.3, ,69.7, ,45.1, ,53.3, ,95, ,45, ,74, ,45.3, ,6.4,Y,152.7,Y,57.4, 
178,3/26/2022,85,0.16, ,0, ,561,R,10.5, ,69.5, ,38.9, ,53.9, ,95, ,50, ,74, ,45.8, ,4.4, ,104.6, ,57.2, 
178,3/27/2022,86,0.10, ,0.46, ,320, ,11.0, ,61.1, ,47.3, ,54.4, ,92, ,56, ,76, ,47.0, ,5.3, ,126.8, ,57.1, 
178,3/28/2022,87,0.15, ,0.22, ,534, ,10.4, ,61.7, ,45.3, ,52.9, ,94, ,47, ,76, ,45.5, ,3.8, ,90.1, ,57.4, 
178,3/29/2022,88,0.12, ,0, ,440, ,11.2, ,58.7, ,44.0, ,51.8, ,94, ,74, ,85, ,47.5, ,6.3,Y,152.1,Y,57.6, 
178,3/30/2022,89,0.10, ,0.01, ,612,R,10.2, ,57.4, ,48.5, ,52.6, ,91, ,62, ,75, ,44.9, ,6.3,Y,150.1,Y,57.4, 
178,3/31/2022,90,0.14, ,0, ,505, ,10.2, ,64.2, ,42.5, ,52.7, ,95, ,50, ,75, ,45.0, ,3.5, ,84.6, ,57.5, 
