105,3/1/2022,60,0.13, ,0, ,392, ,6.5, ,78.4, ,35.3, ,57.4, ,63, ,24, ,40, ,33.6, ,3.3, ,79.8, ,56.4, 
105,3/2/2022,61,0.15, ,0, ,401, ,7.1, ,79.8,Y,42.9, ,60.2, ,62, ,24, ,40, ,35.9, ,3.6, ,86.0, ,58.1, 
105,3/3/2022,62,0.13, ,0, ,302, ,7.5, ,72.2, ,47.3, ,59.3, ,66, ,29, ,44, ,37.3, ,6.5, ,156.7, ,58.9, 
105,3/4/2022,63,0.07, ,0.00, ,180, ,10.1, ,64.1, ,38.9, ,55.2, ,90, ,49, ,68, ,44.7, ,8.2, ,196.6, ,58.9, 
105,3/5/2022,64,0.13, ,0, ,381, ,5.7, ,58.9, ,34.2, ,47.1, ,68, ,35, ,52, ,30.4, ,6.6, ,157.8, ,56.6, 
105,3/6/2022,65,0.14, ,0, ,447, ,5.3, ,64.2, ,29.6, ,47.2, ,78, ,25, ,48, ,28.5, ,4.5, ,109.1, ,55.8, 
105,3/7/2022,66,0.16, ,0, ,451, ,4.5,Y,66.4, ,30.6, ,48.7, ,62, ,22, ,39,Y,24.6,Y,5.3, ,127.6, ,55.9, 
105,3/8/2022,67,0.15, ,0, ,454, ,4.1,Y,72.1, ,29.2, ,50.6, ,54, ,16, ,32,Y,22.1,Y,4.1, ,97.9, ,56.4, 
105,3/9/2022,68,0.18, ,0, ,454, ,5.2, ,74.3, ,31.7, ,55.8, ,52, ,19, ,34, ,28.1, ,6.2, ,148.0, ,57.5, 
105,3/10/2022,69,0.24, ,0, ,477, ,4.6,Y,68.8, ,41.3, ,55.4, ,69, ,14, ,31,Y,25.1,Y,11.5,Y,275.5,Y,58.7, 
105,3/11/2022,70,0.16, ,0, ,480, ,2.7,Y,73.4, ,31.8, ,52.6, ,41, ,10, ,20,Y,12.5,Y,3.8, ,90.4, ,58.2, 
105,3/12/2022,71,0.18, ,0, ,477, ,3.4,Y,78.4, ,31.6, ,55.9, ,40, ,13, ,22,Y,18.0,Y,4.2, ,101.5, ,59.0, 
105,3/13/2022,72,0.17, ,0, ,381, ,7.4, ,71.7, ,44.2, ,57.3, ,56, ,32, ,46, ,36.7, ,7.7, ,184.8, ,60.2, 
105,3/14/2022,73,0.16, ,0, ,479, ,5.6, ,75.4, ,36.3, ,56.9, ,69, ,18, ,35, ,29.8, ,3.5, ,84.2, ,60.6, 
105,3/15/2022,74,0.12, ,0, ,283, ,9.1, ,71.4, ,42.5, ,58.5, ,70, ,40, ,55, ,42.2, ,6.3, ,151.2, ,60.8, 
105,3/16/2022,75,0.21, ,0, ,487, ,8.6, ,76.4, ,41.8, ,59.4, ,87, ,24, ,49, ,40.5, ,9.2, ,220.9, ,61.3, 
105,3/17/2022,76,0.15, ,0, ,388, ,6.2, ,77.0, ,38.8, ,57.4, ,69, ,19, ,38, ,32.3, ,4.0, ,95.4, ,61.5, 
105,3/18/2022,77,0.18, ,0, ,488, ,6.8, ,77.8, ,41.9, ,60.6, ,54, ,26, ,38, ,34.6, ,4.3, ,103.4, ,62.7, 
105,3/19/2022,78,0.06, ,0.13, ,153, ,10.0, ,62.1, ,46.8, ,55.2, ,99, ,44, ,67, ,44.6, ,7.9, ,188.4, ,61.9, 
105,3/20/2022,79,0.21, ,0, ,506, ,7.5, ,70.4, ,44.7, ,56.2, ,98, ,18, ,48, ,37.0, ,10.5,Y,252.9,Y,59.9, 
105,3/21/2022,80,0.18,H,0,H,656,R,6.9,H,75.1, ,50.5, ,64.9,H,74,H,25,H,33, ,35.0, ,6.9,H,165.0,H,61.4,H
105,3/22/2022,81,0.18, ,0, ,472, ,8.4, ,82.0, ,39.9, ,62.2, ,68, ,25, ,44, ,40.1, ,3.9, ,93.0, ,62.3, 
105,3/23/2022,82,0.19, ,0, ,473, ,9.2, ,88.9,Y,46.0, ,68.3, ,69, ,21, ,39, ,42.3, ,4.1, ,98.8, ,65.0, 
105,3/24/2022,83,0.20, ,0, ,478, ,9.8, ,89.2,Y,52.2, ,71.0,Y,61, ,23, ,38,Y,44.1,Y,4.7, ,112.4, ,67.5,Y
105,3/25/2022,84,0.20, ,0, ,435, ,9.6, ,86.9, ,51.5, ,69.1,Y,68, ,23, ,39,Y,43.4,Y,5.7, ,136.6, ,68.6,Y
105,3/26/2022,85,0.21, ,0, ,467, ,8.1, ,85.9, ,50.1, ,68.9,Y,59, ,18, ,34,Y,39.2,Y,5.2, ,124.6, ,69.1,R
105,3/27/2022,86,0.20, ,0, ,370, ,7.1, ,82.2, ,50.4, ,65.2, ,70, ,8, ,34, ,35.8, ,6.8, ,163.9, ,68.9,Y
105,3/28/2022,87,0.07, ,0.28, ,238, ,12.3, ,65.4, ,48.3, ,54.9, ,99, ,54, ,84, ,50.0, ,8.1, ,193.9, ,65.5, 
105,3/29/2022,88,0.15, ,0.00, ,472, ,11.7, ,71.1, ,44.4, ,57.3, ,99, ,46, ,73, ,48.6, ,4.6, ,111.4, ,63.9, 
105,3/30/2022,89,0.15, ,0, ,453, ,11.3, ,72.9, ,42.9, ,57.8, ,99, ,45, ,69, ,47.7, ,5.6, ,134.3, ,64.8, 
105,3/31/2022,90,0.15, ,0, ,428, ,10.0, ,71.9, ,41.8, ,57.0, ,89, ,37, ,63, ,44.6, ,5.9, ,142.5, ,64.1, 
