237,3/1/2022,60,0.19, ,0, ,518,R,4.2, ,85.2, ,44.4, ,63.8, ,36, ,8, ,21, ,23.0, ,5.5, ,132.6, ,53.7, 
237,3/2/2022,61,0.17, ,0, ,517,R,4.7, ,82.9, ,49.7, ,65.0, ,35, ,9, ,22, ,25.6, ,4.2, ,101.5, ,54.2, 
237,3/3/2022,62,0.15, ,0, ,483, ,8.0, ,70.1, ,44.9, ,56.7, ,88, ,25, ,51, ,38.7, ,7.2, ,173.4, ,54.8, 
237,3/4/2022,63,0.09, ,0.33, ,348, ,10.6, ,59.1, ,44.6, ,51.2, ,95, ,61, ,82, ,46.0, ,5.4, ,130.2, ,55.1, 
237,3/5/2022,64,0.11, ,0.02, ,396, ,8.5, ,54.8, ,40.3, ,47.0, ,97, ,51, ,77, ,40.2, ,8.5,Y,204.6,Y,55.1, 
237,3/6/2022,65,0.12, ,0, ,506, ,7.7, ,59.8, ,37.1, ,47.0, ,94, ,40, ,70, ,37.7, ,5.0, ,118.8, ,54.4, 
237,3/7/2022,66,0.16, ,0, ,528,R,5.3, ,66.2, ,37.4, ,51.2, ,91, ,13, ,41, ,28.3, ,6.1, ,147.0, ,54.2, 
237,3/8/2022,67,0.16, ,0, ,536,R,3.7, ,67.3, ,37.4, ,52.1, ,48, ,15, ,28, ,20.1, ,5.2, ,124.5, ,53.9, 
237,3/9/2022,68,0.16, ,0, ,528,R,6.8, ,66.8, ,38.3, ,52.0, ,92, ,24, ,51, ,34.7, ,6.0, ,144.3, ,53.8, 
237,3/10/2022,69,0.16, ,0.01,H,479, ,6.4, ,68.1, ,42.8, ,54.4, ,86, ,7, ,44, ,33.1, ,6.4, ,154.5, ,54.5, 
237,3/11/2022,70,0.18, ,0, ,553,R,2.5,Y,72.1, ,35.0, ,55.0, ,28, ,9, ,17,Y,11.2,Y,5.6, ,135.3, ,54.2, 
237,3/12/2022,71,0.19, ,0, ,552,R,3.6,Y,75.8, ,40.6, ,58.4, ,38, ,10, ,21,Y,19.1,Y,5.3, ,127.4, ,54.1, 
237,3/13/2022,72,0.17, ,0, ,542,R,7.0, ,69.2, ,41.7, ,54.9, ,89, ,27, ,47, ,35.3, ,5.4, ,130.6, ,54.5, 
237,3/14/2022,73,0.17, ,0, ,544,R,8.3, ,80.4, ,40.2, ,59.6, ,93, ,22, ,48, ,39.7, ,4.5, ,108.3, ,54.8, 
237,3/15/2022,74,0.19, ,0, ,540, ,7.7, ,80.9, ,47.3, ,62.7, ,55, ,17, ,39, ,37.7, ,4.7, ,113.4, ,55.6, 
237,3/16/2022,75,0.17, ,0, ,544, ,10.0, ,74.0, ,44.9, ,58.5, ,87, ,37, ,60, ,44.5, ,5.0, ,119.2, ,56.2, 
237,3/17/2022,76,0.20, ,0, ,557,R,7.0, ,81.6, ,46.9, ,62.9, ,82, ,10, ,35, ,35.2, ,5.6, ,134.5, ,56.5, 
237,3/18/2022,77,0.20, ,0, ,564,R,5.7, ,78.4, ,47.4, ,62.9, ,41, ,17, ,29, ,30.2, ,4.7, ,112.1, ,56.7, 
237,3/19/2022,78,0.17, ,0.02, ,511, ,8.9, ,68.4, ,48.6, ,56.9, ,90, ,33, ,56, ,41.5, ,7.2, ,172.9, ,57.0, 
237,3/20/2022,79,0.14, ,0.02, ,478, ,11.1, ,65.9, ,44.5, ,54.2, ,99, ,54, ,78, ,47.4, ,5.9, ,142.3, ,57.3, 
237,3/21/2022,80,0.18, ,0, ,536, ,9.3, ,78.1, ,41.1, ,58.4, ,91, ,18, ,56, ,42.7, ,4.9, ,118.2, ,57.2, 
237,3/22/2022,81,0.21, ,0, ,575,R,7.5, ,84.9, ,49.8, ,66.4, ,71, ,14, ,34, ,37.0, ,5.1, ,122.4, ,57.5, 
237,3/23/2022,82,0.25, ,0, ,586,R,5.1, ,85.6, ,51.6, ,70.4, ,45, ,9, ,20, ,27.8, ,6.4, ,152.6, ,58.0, 
237,3/24/2022,83,0.23, ,0, ,583,R,7.0, ,87.7, ,55.1, ,70.3, ,40, ,15, ,28, ,35.3, ,4.9, ,117.6, ,58.4, 
237,3/25/2022,84,0.22, ,0, ,587,R,8.8, ,88.9, ,55.5,Y,70.8, ,52, ,17, ,34, ,41.3, ,4.9, ,116.7, ,58.9, 
237,3/26/2022,85,0.22, ,0, ,589,R,8.2, ,82.8, ,48.3, ,65.9, ,87, ,22, ,38, ,39.5, ,5.0, ,120.6, ,59.4, 
237,3/27/2022,86,0.18, ,0, ,572, ,10.9, ,73.1, ,46.7, ,56.8, ,98, ,34, ,70, ,46.9, ,5.6, ,135.0, ,59.5, 
237,3/28/2022,87,0.09, ,0.55, ,343, ,11.4, ,63.7, ,47.6, ,53.5, ,97, ,55, ,81, ,48.0, ,6.7, ,161.4, ,59.4, 
237,3/29/2022,88,0.11, ,0.05, ,384, ,11.2, ,60.7, ,47.2, ,52.7, ,99, ,66, ,83, ,47.6, ,4.8, ,115.8, ,58.8, 
237,3/30/2022,89,0.17, ,0, ,594, ,12.2, ,70.8, ,45.8, ,56.3, ,99, ,45, ,79, ,49.8, ,5.1, ,123.6, ,58.7, 
237,3/31/2022,90,0.10, ,0, ,348, ,12.3, ,64.2, ,51.8, ,55.3, ,96, ,63, ,82, ,50.0, ,5.8, ,138.7, ,59.3, 
