143,3/1/2022,60,0.12, ,0, ,411, ,9.0, ,77.4, ,36.9, ,55.5, ,92, ,32, ,60, ,41.9, ,3.2, ,76.3, ,51.5, 
143,3/2/2022,61,0.13, ,0, ,404, ,8.7, ,75.8, ,39.9, ,54.4, ,94, ,27, ,60, ,40.8, ,3.7, ,89.9, ,52.4, 
143,3/3/2022,62,0.09, ,0, ,300, ,8.7, ,66.7, ,37.3, ,51.0, ,91, ,42, ,69, ,41.0, ,3.6, ,87.1, ,52.4, 
143,3/4/2022,63,0.08, ,0.06, ,301, ,9.5, ,57.8, ,40.5, ,50.1, ,96, ,57, ,77, ,43.2, ,6.8, ,162.5, ,52.7, 
143,3/5/2022,64,0.10, ,0.00, ,346, ,7.4, ,57.5, ,34.2, ,46.4, ,87, ,49, ,69, ,36.8, ,6.1, ,146.7, ,52.0, 
143,3/6/2022,65,0.12, ,0, ,458, ,7.3, ,62.5, ,28.7, ,44.0, ,97, ,46, ,75, ,36.5, ,4.0, ,94.9, ,51.2, 
143,3/7/2022,66,0.12, ,0, ,460, ,6.6, ,66.4, ,28.9, ,45.2, ,98, ,25, ,64, ,33.7, ,3.2, ,76.0, ,51.1, 
143,3/8/2022,67,0.14, ,0, ,469, ,6.4, ,71.1, ,29.8, ,48.2, ,93, ,22, ,56, ,33.1, ,3.5, ,84.5, ,51.1, 
143,3/9/2022,68,0.14, ,0, ,463, ,7.8, ,69.1, ,34.3, ,50.0, ,95, ,37, ,64, ,38.2, ,4.3, ,102.2, ,51.7, 
143,3/10/2022,69,0.14, ,0, ,485, ,6.7, ,68.0, ,33.4, ,50.3, ,98, ,26, ,54, ,34.3, ,3.9, ,92.7, ,52.1, 
143,3/11/2022,70,0.15, ,0, ,491, ,5.1,Y,72.7, ,28.9,Y,48.3, ,86, ,20, ,44,Y,27.6,Y,4.0, ,95.8, ,51.8, 
143,3/12/2022,71,0.16, ,0, ,490, ,5.8, ,70.3, ,30.1, ,47.8, ,84, ,23, ,51, ,30.6, ,5.0, ,119.7, ,51.7, 
143,3/13/2022,72,0.13, ,0, ,434, ,9.2, ,66.5, ,35.7, ,51.4, ,88, ,50, ,71, ,42.3, ,4.0, ,96.4, ,52.2, 
143,3/14/2022,73,0.16, ,0, ,490, ,6.9, ,74.7, ,34.2, ,52.0, ,92, ,18, ,52, ,35.0, ,4.2, ,101.4, ,52.8, 
143,3/15/2022,74,0.08, ,0.02, ,269, ,11.3, ,70.8, ,42.8, ,54.2, ,98, ,57, ,79, ,47.7, ,3.0, ,72.1, ,53.4, 
143,3/16/2022,75,0.14, ,0.01, ,495, ,10.5, ,70.5, ,37.8, ,52.8, ,99, ,49, ,77, ,45.9, ,3.6, ,87.0, ,54.1, 
143,3/17/2022,76,0.13, ,0, ,422, ,9.0, ,70.7, ,38.9, ,51.3, ,97, ,36, ,70, ,41.8, ,3.8, ,91.9, ,54.2, 
143,3/18/2022,77,0.16, ,0, ,501, ,8.9, ,73.8, ,34.6, ,53.0, ,96, ,38, ,65, ,41.4, ,3.9, ,92.8, ,54.1, 
143,3/19/2022,78,0.04, ,0.43, ,159, ,11.1, ,61.5, ,44.1, ,50.6, ,93, ,73, ,88, ,47.4, ,4.4, ,104.9, ,54.4, 
143,3/20/2022,79,0.15, ,0, ,522, ,9.3, ,66.9, ,39.2, ,52.8, ,95, ,36, ,68, ,42.6, ,4.1, ,98.0, ,54.5, 
143,3/21/2022,80,0.15, ,0, ,513, ,9.2, ,73.2, ,36.3, ,53.3, ,96, ,36, ,66, ,42.3, ,2.9, ,69.3, ,54.5, 
143,3/22/2022,81,0.17, ,0, ,529, ,11.4, ,83.2,Y,41.3, ,60.3, ,96, ,33, ,64, ,48.1, ,3.2, ,75.8, ,55.3, 
143,3/23/2022,82,0.17, ,0, ,526, ,12.3, ,78.0, ,44.0, ,57.8, ,97, ,48, ,75, ,50.1, ,3.7, ,89.7, ,56.5, 
143,3/24/2022,83,0.17, ,0, ,535, ,10.7, ,76.1, ,39.7, ,54.5, ,99, ,39, ,74, ,46.4, ,4.2, ,101.0, ,56.5, 
143,3/25/2022,84,0.14, ,0, ,473, ,11.3, ,78.0, ,41.8, ,55.9, ,99, ,39, ,74, ,47.8, ,3.3, ,78.7, ,56.5, 
143,3/26/2022,85,0.17, ,0, ,544, ,10.9, ,75.1, ,39.6, ,55.9, ,98, ,38, ,71, ,46.7, ,3.9, ,94.4, ,56.7, 
143,3/27/2022,86,0.11, ,0.13, ,361, ,11.4, ,67.6, ,45.2, ,55.2, ,99, ,49, ,77, ,48.0, ,3.9, ,92.9, ,56.9, 
143,3/28/2022,87,0.07, ,0.17, ,260, ,11.4, ,61.0, ,47.3, ,53.7, ,98, ,65, ,81, ,48.0, ,3.8, ,90.4, ,56.9, 
143,3/29/2022,88,0.13, ,0, ,460, ,11.4, ,63.9, ,43.3, ,52.7, ,94, ,66, ,84, ,47.9, ,4.4, ,106.4, ,56.5, 
143,3/30/2022,89,0.13, ,0, ,450, ,10.5, ,62.0, ,41.2, ,52.3, ,95, ,60, ,79, ,45.9, ,5.4, ,129.2, ,56.9, 
143,3/31/2022,90,0.15, ,0, ,505, ,10.3, ,68.6, ,40.3, ,52.1, ,96, ,56, ,78, ,45.4, ,3.9, ,93.5, ,56.5, 
