103,3/1/2022,60,0.11, ,0, ,383, ,9.5, ,73.8, ,34.7, ,52.8, ,98, ,33, ,70, ,43.3, ,2.5, ,59.7, ,55.5, 
103,3/2/2022,61,0.11, ,0.00, ,385, ,10.4, ,71.3, ,44.0, ,53.6, ,99, ,30, ,74, ,45.5, ,2.7, ,65.8, ,58.2, 
103,3/3/2022,62,0.02, ,0.15, ,136, ,11.8, ,58.2, ,44.7, ,51.4, ,98, ,80, ,91, ,49.0, ,2.0, ,48.3, ,56.7, 
103,3/4/2022,63,0.12, ,0.02, ,417, ,8.4, ,61.6, ,40.0, ,50.8, ,97, ,27, ,66, ,40.0, ,5.1, ,122.4, ,56.8, 
103,3/5/2022,64,0.09, ,0, ,313, ,6.6, ,60.6, ,31.1, ,45.8, ,93, ,37, ,63, ,34.0, ,3.0, ,71.0, ,53.7, 
103,3/6/2022,65,0.11, ,0, ,430, ,6.9, ,63.5, ,29.0, ,45.1, ,98, ,38, ,68, ,35.1, ,2.4, ,56.9, ,53.5, 
103,3/7/2022,66,0.14, ,0, ,443, ,5.6, ,74.0, ,31.3, ,50.5, ,97, ,14, ,45, ,29.8, ,3.4, ,81.7, ,53.4, 
103,3/8/2022,67,0.15, ,0, ,434, ,6.2, ,80.9,Y,35.2, ,57.0, ,85, ,17, ,39, ,32.3, ,2.8, ,68.1, ,54.8, 
103,3/9/2022,68,0.16, ,0, ,429, ,7.1, ,72.0, ,40.8, ,57.1, ,66, ,28, ,44, ,35.7, ,5.4, ,130.1, ,56.1, 
103,3/10/2022,69,0.15, ,0, ,460, ,5.5, ,73.5, ,36.3, ,55.0, ,73, ,13, ,37, ,29.3, ,4.8, ,115.3, ,55.8, 
103,3/11/2022,70,0.14, ,0, ,454, ,5.4,Y,72.4, ,29.9, ,49.2, ,88, ,15, ,45,Y,28.7,Y,2.6, ,62.8, ,54.8, 
103,3/12/2022,71,0.10, ,0.00, ,389, ,7.5, ,60.1, ,28.0, ,44.7, ,96, ,44, ,75, ,37.2, ,3.2, ,75.9, ,54.0, 
103,3/13/2022,72,0.11, ,0.02, ,393, ,9.5, ,66.4, ,44.0, ,52.1, ,99, ,40, ,72, ,43.2, ,2.7, ,64.7, ,57.2, 
103,3/14/2022,73,0.13, ,0.09, ,422, ,9.0, ,70.0, ,34.9, ,52.1, ,98, ,30, ,68, ,41.8, ,2.7, ,64.5, ,57.4, 
103,3/15/2022,74,0.07, ,0.17, ,270, ,12.6, ,68.7, ,48.7, ,56.7, ,98, ,45, ,80, ,50.6, ,2.7, ,64.0, ,59.9, 
103,3/16/2022,75,0.13, ,0, ,461, ,9.3, ,70.8, ,34.4, ,51.8, ,99, ,41, ,71, ,42.5, ,2.4, ,57.1, ,58.6, 
103,3/17/2022,76,0.13, ,0, ,463, ,9.8, ,71.0, ,40.4, ,51.5, ,97, ,37, ,75, ,44.0, ,2.9, ,70.0, ,59.4, 
103,3/18/2022,77,0.13, ,0, ,444, ,9.3, ,70.9, ,34.4, ,50.8, ,98, ,42, ,73, ,42.6, ,2.6, ,63.1, ,58.7, 
103,3/19/2022,78,0.07, ,0.04, ,268, ,9.7, ,61.4, ,42.6, ,50.6, ,97, ,60, ,77, ,43.8, ,4.1, ,97.7, ,58.3, 
103,3/20/2022,79,0.15, ,0, ,479, ,7.1, ,74.9, ,42.1, ,54.4, ,72, ,23, ,49, ,35.9, ,4.9, ,117.0, ,57.4, 
103,3/21/2022,80,0.17, ,0, ,478, ,9.3, ,82.1, ,38.0, ,59.9, ,93, ,30, ,53, ,42.7, ,4.0, ,95.8, ,59.0, 
103,3/22/2022,81,0.18,R,0, ,486, ,11.4, ,90.3,Y,48.2, ,67.1,R,90, ,26, ,--,R,--,I,3.4, ,81.7, ,62.8, 
103,3/23/2022,82,0.14, ,0.01,H,482, ,11.8, ,73.1, ,43.7, ,55.2, ,99, ,53, ,80, ,49.0, ,2.8, ,67.9, ,63.3, 
103,3/24/2022,83,0.14, ,0, ,479, ,10.5, ,71.4, ,38.2, ,52.0, ,99, ,50, ,79, ,45.7, ,3.0, ,72.2, ,61.8, 
103,3/25/2022,84,0.13, ,0, ,485, ,10.6, ,69.4, ,42.1, ,52.2, ,98, ,49, ,80, ,46.2, ,2.9, ,68.7, ,62.9, 
103,3/26/2022,85,0.15, ,0.00, ,486, ,10.3, ,75.1, ,36.3, ,53.3, ,99, ,46, ,74, ,45.3, ,3.0, ,71.3, ,61.8, 
103,3/27/2022,86,0.04, ,0.46, ,174, ,11.4, ,60.4, ,45.0, ,52.0, ,97, ,68, ,86, ,47.9, ,3.2, ,75.7, ,60.5, 
103,3/28/2022,87,0.04, ,0.27, ,192, ,12.3, ,60.5, ,46.5, ,52.7, ,99, ,70, ,91, ,50.1, ,2.1, ,49.8, ,59.8, 
103,3/29/2022,88,0.13, ,0.00, ,498, ,12.1, ,68.1, ,46.4, ,54.0, ,99, ,64, ,85, ,49.6, ,2.8, ,68.1, ,62.3, 
103,3/30/2022,89,0.13, ,0.00, ,461, ,10.5, ,66.1, ,42.8, ,53.5, ,99, ,54, ,75, ,45.9, ,2.9, ,70.1, ,63.0, 
103,3/31/2022,90,0.15, ,0, ,514, ,10.2, ,68.3, ,40.3, ,54.1, ,98, ,49, ,71, ,44.9, ,2.9, ,70.7, ,62.9, 
