163,3/1/2022,60,0.14, ,0, ,409, ,7.4, ,79.0, ,31.2, ,54.9, ,93, ,23, ,50, ,36.8, ,2.8, ,66.3, ,--,S
163,3/2/2022,61,0.13, ,0, ,421, ,7.4, ,80.5,Y,34.3, ,54.8, ,95, ,19, ,50, ,36.7, ,2.2, ,53.4, ,--,S
163,3/3/2022,62,0.10, ,0, ,289, ,7.1, ,67.6, ,37.6, ,51.8, ,79, ,31, ,54, ,35.7, ,2.5, ,61.2, ,--,S
163,3/4/2022,63,0.07, ,0, ,295, ,8.7, ,58.9, ,37.0, ,48.6, ,82, ,64, ,75, ,40.9, ,3.2, ,77.8, ,--,S
163,3/5/2022,64,0.07, ,0, ,276, ,6.7, ,57.2, ,33.1, ,43.9, ,91, ,45, ,68, ,34.1, ,3.1, ,73.3, ,--,S
163,3/6/2022,65,0.11, ,0, ,435, ,6.5, ,60.8, ,27.5, ,42.8, ,96, ,37, ,69, ,33.4, ,2.4, ,58.3, ,--,S
163,3/7/2022,66,0.13, ,0, ,441, ,6.0, ,64.8, ,30.0, ,46.5, ,98, ,27, ,56, ,31.6, ,2.9, ,70.1, ,--,S
163,3/8/2022,67,0.13, ,0, ,447, ,5.5, ,70.4, ,27.6, ,47.2, ,89, ,18, ,50, ,29.3, ,2.3, ,55.7, ,--,S
163,3/9/2022,68,0.14, ,0, ,446, ,6.3, ,72.1, ,30.2, ,50.2, ,89, ,24, ,51, ,32.7, ,2.7, ,65.7, ,--,S
163,3/10/2022,69,0.14, ,0, ,464, ,6.7, ,68.6, ,35.4, ,51.2, ,90, ,24, ,52, ,34.1, ,3.3, ,80.4, ,--,S
163,3/11/2022,70,0.14, ,0, ,458, ,4.9, ,71.8, ,27.1, ,47.8, ,83, ,18, ,43, ,26.5, ,2.3, ,54.3, ,--,S
163,3/12/2022,71,0.14, ,0, ,466, ,5.3, ,74.2, ,28.1, ,48.5, ,87, ,19, ,45, ,28.4, ,2.3, ,54.9, ,--,S
163,3/13/2022,72,0.14, ,0, ,462, ,7.2, ,71.3, ,31.6, ,49.1, ,88, ,19, ,61, ,36.1, ,2.9, ,70.7, ,--,S
163,3/14/2022,73,0.15, ,0, ,461, ,7.1, ,75.4, ,30.8, ,53.4, ,96, ,19, ,51, ,35.7, ,2.8, ,68.3, ,--,S
163,3/15/2022,74,0.11, ,0, ,342, ,10.5, ,71.6, ,35.8, ,55.4, ,89, ,47, ,70, ,45.8, ,3.5, ,83.7, ,--,S
163,3/16/2022,75,0.15, ,0, ,464, ,9.5, ,73.2, ,43.2, ,56.4, ,97, ,31, ,61, ,43.1, ,3.4, ,80.5, ,--,S
163,3/17/2022,76,0.13, ,0, ,409, ,7.8, ,74.9, ,37.2, ,54.2, ,95, ,13, ,54, ,38.0, ,2.6, ,63.3, ,--,S
163,3/18/2022,77,0.15, ,0, ,468, ,7.5, ,77.5, ,33.6, ,54.1, ,91, ,23, ,52, ,37.0, ,2.5, ,59.4, ,--,S
163,3/19/2022,78,0.05, ,0.09, ,221, ,10.6, ,58.9, ,45.8, ,51.5, ,94, ,73, ,81, ,46.0, ,3.3, ,78.0, ,--,S
163,3/20/2022,79,0.15, ,0, ,479, ,8.2, ,67.7, ,41.4, ,54.1, ,97, ,31, ,57, ,39.3, ,4.4, ,106.5, ,--,S
163,3/21/2022,80,0.16, ,0, ,474, ,7.6, ,73.7, ,35.4, ,55.0, ,91, ,27, ,52, ,37.6, ,3.1, ,74.0, ,--,S
163,3/22/2022,81,0.17, ,0, ,483, ,9.5, ,83.9, ,38.8, ,59.9, ,92, ,25, ,54, ,43.1, ,2.5, ,59.8, ,--,S
163,3/23/2022,82,0.17, ,0, ,487, ,10.2, ,85.6, ,40.3, ,61.3, ,95, ,22, ,55, ,44.9, ,2.4, ,58.2, ,--,S
163,3/24/2022,83,0.17, ,0, ,484, ,10.3, ,85.1, ,40.6, ,60.3, ,94, ,30, ,57, ,45.3, ,2.3, ,55.5, ,--,S
163,3/25/2022,84,0.15, ,0, ,456, ,10.8, ,83.6, ,42.8, ,60.1, ,95, ,27, ,61, ,46.5, ,2.2, ,51.9, ,--,S
163,3/26/2022,85,0.17, ,0, ,494, ,9.6, ,79.5, ,41.3, ,57.7, ,96, ,27, ,59, ,43.4, ,2.8, ,66.4, ,--,S
163,3/27/2022,86,0.11, ,0, ,385, ,9.9, ,60.9, ,40.6, ,51.6, ,94, ,63, ,76, ,44.3, ,4.6, ,109.4, ,--,S
163,3/28/2022,87,0.07, ,0.99, ,267, ,10.9, ,57.3, ,44.7, ,51.9, ,96, ,64, ,83, ,46.9, ,4.3, ,103.8, ,--,S
163,3/29/2022,88,0.12, ,0.00, ,457, ,10.4, ,66.6, ,38.0, ,50.9, ,99, ,52, ,82, ,45.5, ,2.7, ,65.5, ,--,S
163,3/30/2022,89,0.11, ,0, ,387, ,11.1, ,69.1, ,46.5, ,53.4, ,99, ,49, ,80, ,47.3, ,3.2, ,77.3, ,--,S
163,3/31/2022,90,0.14, ,0, ,466, ,10.4, ,68.6, ,43.6, ,54.1, ,92, ,48, ,72, ,45.5, ,3.3, ,78.3, ,--,S
