171,3/1/2022,60,0.09, ,0, ,303, ,10.7, ,69.3, ,42.8, ,54.9, ,94, ,46, ,73, ,46.4, ,2.2, ,53.4, ,50.7, 
171,3/2/2022,61,0.10, ,0, ,354, ,11.0, ,69.8, ,44.8, ,55.3, ,99, ,28, ,74, ,47.1, ,2.5, ,59.6, ,51.6, 
171,3/3/2022,62,0.02, ,0.30, ,112, ,11.9, ,56.7, ,46.1, ,51.8, ,96, ,81, ,90, ,49.0, ,1.9, ,45.1, ,52.0, 
171,3/4/2022,63,0.05, ,0.11, ,215, ,10.4, ,56.5, ,44.5, ,51.2, ,98, ,55, ,81, ,45.7, ,4.7, ,112.3, ,52.5, 
171,3/5/2022,64,0.10, ,0.02, ,374, ,7.8, ,58.4, ,39.7, ,48.2, ,89, ,40, ,67, ,38.0, ,3.6, ,86.4, ,52.1, 
171,3/6/2022,65,0.10, ,0, ,405, ,8.7, ,60.8, ,37.2, ,48.1, ,96, ,49, ,77, ,41.0, ,2.9, ,70.0, ,51.7, 
171,3/7/2022,66,0.13, ,0, ,420, ,6.7, ,68.2, ,35.7, ,51.2, ,96, ,15, ,52, ,34.2, ,2.9, ,70.1, ,51.4, 
171,3/8/2022,67,0.13, ,0.01,H,424, ,7.4, ,71.4, ,38.3, ,53.8, ,83, ,23, ,52, ,36.8, ,2.6, ,62.0, ,51.2, 
171,3/9/2022,68,0.12, ,0, ,426, ,9.4, ,62.0, ,40.5, ,51.3, ,90, ,53, ,73, ,43.0, ,3.2, ,75.9, ,51.6, 
171,3/10/2022,69,0.14, ,0, ,468, ,7.3, ,69.0, ,40.1, ,53.1, ,97, ,13, ,53, ,36.5, ,2.9, ,69.9, ,51.8, 
171,3/11/2022,70,0.14, ,0, ,464, ,5.8, ,70.4, ,35.9, ,52.9, ,76, ,18, ,43, ,30.9, ,2.5, ,60.2, ,51.5, 
171,3/12/2022,71,0.13, ,0, ,452, ,8.0, ,65.5, ,36.9, ,50.5, ,80, ,40, ,64, ,38.8, ,3.3, ,79.9, ,51.5, 
171,3/13/2022,72,0.12, ,0.00, ,395, ,9.9, ,63.5, ,46.6, ,55.1, ,86, ,46, ,67, ,44.2, ,3.2, ,77.7, ,52.9, 
171,3/14/2022,73,0.14, ,0, ,447, ,8.4, ,71.7, ,40.1, ,55.1, ,93, ,25, ,56, ,39.9, ,2.7, ,64.7, ,53.2, 
171,3/15/2022,74,0.11, ,0.03, ,391, ,13.1, ,66.7, ,52.3, ,58.4, ,96, ,48, ,78, ,51.7, ,3.3, ,78.8, ,54.7, 
171,3/16/2022,75,0.13, ,0, ,474, ,11.3, ,65.9, ,48.2, ,55.2, ,91, ,57, ,76, ,47.8, ,3.3, ,79.4, ,55.7, 
171,3/17/2022,76,0.12, ,0, ,439, ,10.6, ,61.3, ,46.7, ,53.2, ,91, ,55, ,76, ,46.0, ,3.1, ,73.8, ,55.8, 
171,3/18/2022,77,0.13, ,0, ,465, ,10.3, ,69.7, ,41.1, ,53.5, ,95, ,38, ,73, ,45.2, ,2.9, ,68.6, ,55.4, 
171,3/19/2022,78,0.04, ,0.07, ,171, ,11.1, ,58.1, ,48.3, ,53.0, ,90, ,68, ,81, ,47.4, ,2.7, ,64.0, ,55.6, 
171,3/20/2022,79,0.14, ,0, ,497, ,8.8, ,63.0, ,39.8, ,51.6, ,91, ,44, ,68, ,41.3, ,3.8, ,90.3, ,55.2, 
171,3/21/2022,80,0.14, ,0, ,484, ,10.4, ,67.5, ,42.2, ,54.4, ,95, ,43, ,72, ,45.5, ,2.8, ,68.3, ,55.1, 
171,3/22/2022,81,0.17,R,0, ,493, ,12.0, ,81.9,Y,47.8, ,63.4,Y,90, ,35, ,60,Y,49.4,Y,3.1, ,75.1, ,55.9, 
171,3/23/2022,82,0.13, ,0, ,460, ,12.5, ,66.9, ,48.9, ,56.0, ,95, ,63, ,81, ,50.4, ,3.2, ,76.5, ,57.1, 
171,3/24/2022,83,0.14, ,0, ,479, ,11.4, ,67.0, ,42.2, ,53.5, ,97, ,59, ,82, ,48.0, ,3.4, ,80.9, ,56.9, 
171,3/25/2022,84,0.12, ,0, ,442, ,11.1, ,65.4, ,47.4, ,53.7, ,91, ,54, ,79, ,47.2, ,3.5, ,82.8, ,57.6, 
171,3/26/2022,85,0.14, ,0, ,495, ,11.5, ,67.2, ,42.3, ,54.1, ,95, ,61, ,80, ,48.2, ,3.1, ,75.5, ,57.3, 
171,3/27/2022,86,0.10, ,0.00, ,318, ,11.6, ,65.7, ,49.5, ,57.1, ,92, ,52, ,73, ,48.5, ,3.6, ,85.8, ,57.5, 
171,3/28/2022,87,0.13, ,0, ,467, ,11.6, ,64.5, ,49.4, ,55.5, ,97, ,51, ,77, ,48.5, ,3.6, ,86.8, ,57.9, 
171,3/29/2022,88,0.06, ,0, ,238, ,11.9, ,57.7, ,51.5, ,53.9, ,90, ,77, ,84, ,49.1, ,3.6, ,86.3, ,58.4, 
171,3/30/2022,89,0.10, ,0.01, ,383, ,10.8, ,58.9, ,47.1, ,52.6, ,91, ,66, ,80, ,46.6, ,3.6, ,87.2, ,58.5, 
171,3/31/2022,90,0.14, ,0, ,501, ,10.7, ,64.7, ,44.0, ,53.0, ,95, ,60, ,78, ,46.2, ,3.2, ,76.6, ,58.4, 
