258,3/1/2022,60,0.13, ,0, ,447, ,8.9, ,74.9, ,42.8, ,58.0, ,77, ,31, ,54, ,41.6, ,3.1, ,73.8, ,57.1, 
258,3/2/2022,61,0.15, ,0, ,492,R,8.7, ,79.1, ,43.8, ,60.5, ,76, ,21, ,48, ,40.8, ,3.1, ,75.2, ,59.0, 
258,3/3/2022,62,0.12, ,0, ,387, ,9.3, ,73.8, ,44.1, ,59.1, ,75, ,33, ,54, ,42.7, ,2.8, ,68.3, ,59.6, 
258,3/4/2022,63,0.01, ,0.84, ,91, ,11.6, ,57.0, ,43.2, ,51.3, ,100, ,60, ,90, ,48.5, ,2.4, ,58.7, ,58.0, 
258,3/5/2022,64,0.07, ,0.06, ,338, ,7.7, ,53.7, ,35.7, ,43.6, ,100, ,50, ,80, ,37.8, ,2.3, ,55.6, ,54.4, 
258,3/6/2022,65,0.10, ,0, ,439, ,7.8, ,58.0, ,35.8, ,48.7, ,93, ,46, ,67, ,38.1, ,2.4, ,58.5, ,53.8, 
258,3/7/2022,66,0.12, ,0, ,488,R,7.9, ,62.5, ,38.8, ,50.6, ,86, ,38, ,63, ,38.6, ,3.0, ,72.4, ,55.3, 
258,3/8/2022,67,0.13, ,0, ,494,R,7.8, ,67.9, ,38.6, ,52.5, ,88, ,29, ,58, ,38.1, ,2.9, ,68.9, ,55.4, 
258,3/9/2022,68,0.13, ,0, ,494,R,8.0, ,69.8, ,39.6, ,54.8, ,83, ,31, ,55, ,38.9, ,2.8, ,67.3, ,56.2, 
258,3/10/2022,69,0.13, ,0, ,515,R,9.1, ,64.7, ,35.3, ,51.0, ,98, ,46, ,72, ,42.2, ,3.1, ,74.0, ,56.8, 
258,3/11/2022,70,0.14, ,0, ,518,R,7.7, ,71.0, ,39.9, ,55.7, ,80, ,24, ,51, ,37.7, ,2.9, ,68.5, ,57.7, 
258,3/12/2022,71,0.15, ,0, ,537,R,6.8, ,76.7, ,39.9, ,58.6, ,75, ,15, ,41, ,34.7, ,3.2, ,75.7, ,58.8, 
258,3/13/2022,72,0.14, ,0, ,529,R,7.9, ,71.8, ,38.4, ,54.3, ,81, ,33, ,55, ,38.6, ,3.3, ,78.6, ,59.5, 
258,3/14/2022,73,0.15, ,0, ,553,R,8.6, ,72.9, ,40.8, ,56.2, ,88, ,27, ,56, ,40.7, ,3.1, ,74.7, ,60.1, 
258,3/15/2022,74,0.13, ,0, ,422, ,9.7, ,72.6, ,44.6, ,58.8, ,85, ,32, ,57, ,43.7, ,3.4, ,81.7, ,61.2, 
258,3/16/2022,75,0.12, ,0, ,438, ,11.7, ,71.5, ,42.5, ,57.1, ,98, ,42, ,74, ,48.8, ,2.7, ,65.7, ,61.6, 
258,3/17/2022,76,0.13, ,0, ,426, ,10.5, ,72.9, ,42.9, ,59.0, ,94, ,36, ,62, ,45.8, ,3.1, ,75.3, ,62.2, 
258,3/18/2022,77,0.16, ,0, ,548,R,10.0, ,76.9, ,43.9, ,59.4, ,93, ,29, ,58, ,44.4, ,2.9, ,68.7, ,62.7, 
258,3/19/2022,78,0.08, ,0.02, ,275, ,10.5, ,66.1, ,48.9, ,57.7, ,92, ,47, ,64, ,45.7, ,3.7, ,87.7, ,62.3, 
258,3/20/2022,79,0.05, ,0, ,228, ,10.8, ,61.1, ,44.9, ,52.1, ,94, ,58, ,82, ,46.7, ,2.5, ,60.7, ,60.4, 
258,3/21/2022,80,0.15, ,0, ,534, ,10.0, ,70.9, ,44.7, ,57.2, ,89, ,38, ,63, ,44.7, ,3.3, ,80.1, ,60.7, 
258,3/22/2022,81,0.17, ,0, ,527, ,10.2, ,82.0, ,46.0, ,64.1, ,83, ,24, ,50, ,45.1, ,3.1, ,75.4, ,63.9, 
258,3/23/2022,82,0.18, ,0, ,539, ,10.7, ,87.4, ,54.3, ,69.4,Y,68, ,22, ,43,Y,46.2,Y,3.5, ,85.0, ,66.8, 
258,3/24/2022,83,0.18, ,0, ,566,R,12.0, ,87.2, ,50.1, ,69.7,Y,85, ,27, ,49,Y,49.5,Y,2.9, ,69.5, ,69.0, 
258,3/25/2022,84,0.18, ,0, ,546, ,13.4, ,88.1, ,52.6, ,69.9,Y,88, ,30, ,54,Y,52.3,Y,2.7, ,65.1, ,70.5,Y
258,3/26/2022,85,0.18, ,0, ,564, ,13.0, ,85.5, ,52.0, ,68.5, ,89, ,27, ,55, ,51.5, ,2.8, ,68.3, ,71.0,Y
258,3/27/2022,86,0.19, ,0, ,562, ,9.9, ,83.1, ,48.7, ,66.3, ,79, ,20, ,45, ,44.3, ,3.1, ,74.5, ,70.8,Y
258,3/28/2022,87,0.06, ,0.18, ,236, ,11.3, ,64.1, ,44.9, ,54.3, ,98, ,51, ,79, ,47.9, ,2.9, ,70.3, ,66.5, 
258,3/29/2022,88,0.08, ,0, ,320, ,12.0, ,64.9, ,45.4, ,54.8, ,100, ,59, ,82, ,49.3, ,2.4, ,58.7, ,62.4, 
258,3/30/2022,89,0.13, ,0, ,434, ,12.8, ,72.4, ,50.6, ,60.6, ,94, ,45, ,71, ,51.0, ,2.6, ,62.9, ,64.4, 
258,3/31/2022,90,0.09, ,0, ,327, ,12.2, ,68.1, ,47.7, ,55.9, ,100, ,50, ,80, ,49.9, ,2.3, ,54.0, ,64.1, 
