135,3/1/2022,60,--,N,0, ,493,R,5.5, ,85.2, ,39.9, ,61.0, ,56, ,11, ,30, ,29.2, ,3.7, ,89.5, ,58.9, 
135,3/2/2022,61,--,N,0, ,462, ,6.3, ,88.8,Y,41.5, ,63.3, ,55, ,10, ,32, ,32.8, ,3.5, ,83.9, ,60.5, 
135,3/3/2022,62,--,N,0, ,475, ,6.4, ,86.0, ,44.8, ,64.7, ,63, ,12, ,31, ,33.1, ,3.7, ,89.8, ,62.1, 
135,3/4/2022,63,--,N,0, ,404, ,8.3, ,70.0, ,54.2,Y,61.4, ,63, ,33, ,45, ,39.7, ,5.7, ,137.7, ,63.0, 
135,3/5/2022,64,--,N,0, ,498, ,7.0, ,68.1, ,47.2, ,57.4, ,69, ,23, ,44, ,35.5, ,3.2, ,76.7, ,62.7, 
135,3/6/2022,65,--,N,0, ,504,R,5.6, ,66.9, ,34.7, ,51.8, ,81, ,21, ,43, ,30.0, ,3.3, ,80.3, ,61.6, 
135,3/7/2022,66,--,N,0, ,514,R,4.3, ,66.8, ,32.9, ,53.3, ,78, ,15, ,31, ,23.5, ,3.1, ,74.0, ,60.9, 
135,3/8/2022,67,--,N,0, ,523,R,3.7, ,69.2, ,38.6, ,53.2, ,51, ,11, ,27, ,20.1, ,3.7, ,87.9, ,60.6, 
135,3/9/2022,68,--,N,0, ,519,R,4.9, ,77.8, ,33.2, ,56.1, ,63, ,13, ,32, ,26.5, ,3.3, ,78.2, ,60.5, 
135,3/10/2022,69,--,N,0, ,490, ,5.1, ,72.0, ,40.1, ,56.9, ,63, ,14, ,32, ,27.3, ,4.3, ,104.3, ,61.6, 
135,3/11/2022,70,--,N,0, ,543,R,2.3,Y,71.2, ,42.7, ,57.0, ,34, ,7, ,14,Y,8.8,Y,3.0, ,72.1, ,61.6, 
135,3/12/2022,71,--,N,0, ,542,R,3.5, ,78.7, ,36.7, ,57.9, ,53, ,7, ,21, ,18.5, ,3.7, ,87.8, ,61.4, 
135,3/13/2022,72,--,N,0, ,515, ,4.5, ,83.8, ,35.8, ,61.7, ,66, ,9, ,24, ,24.7, ,4.2, ,100.7, ,62.4, 
135,3/14/2022,73,--,N,0, ,539,R,5.2, ,83.5, ,41.4, ,64.4, ,63, ,10, ,25, ,27.8, ,3.5, ,84.4, ,63.9, 
135,3/15/2022,74,--,N,0, ,543,R,6.0, ,87.5, ,42.2, ,66.5, ,56, ,10, ,27, ,31.4, ,3.4, ,81.2, ,65.1, 
135,3/16/2022,75,--,N,0, ,527, ,6.8, ,85.4, ,49.9, ,71.0, ,61, ,15, ,26, ,34.7, ,6.5, ,155.2, ,67.0, 
135,3/17/2022,76,--,N,0, ,556,R,5.3, ,82.3, ,52.8, ,70.2, ,44, ,9, ,21, ,28.7, ,2.6, ,61.2, ,68.2, 
135,3/18/2022,77,--,N,0, ,557,R,5.2, ,85.8, ,43.2, ,64.2, ,55, ,8, ,25, ,28.1, ,3.9, ,94.4, ,68.1, 
135,3/19/2022,78,--,N,0, ,509, ,6.3, ,87.1, ,44.8, ,66.6, ,61, ,11, ,28, ,32.7, ,5.7, ,138.0, ,68.2, 
135,3/20/2022,79,--,N,0, ,496, ,6.8, ,77.7, ,53.8, ,67.0, ,65, ,13, ,30, ,34.6, ,2.9, ,69.5, ,69.2, 
135,3/21/2022,80,--,N,0, ,566,R,3.1,Y,79.6, ,54.5, ,68.3, ,28, ,8, ,13,Y,15.7,Y,1.7, ,39.8, ,68.9, 
135,3/22/2022,81,--,N,0, ,572,R,4.7, ,82.0, ,56.9, ,72.6, ,24, ,12, ,17, ,25.8, ,5.9, ,141.3, ,69.4, 
135,3/23/2022,82,--,N,0, ,588,R,5.0, ,86.3, ,50.8, ,67.8, ,52, ,7, ,22, ,27.3, ,2.7, ,65.6, ,70.0, 
135,3/24/2022,83,--,N,0, ,588,R,5.7, ,90.2, ,41.6, ,66.5, ,58, ,6, ,26, ,30.2, ,3.3, ,78.7, ,70.0, 
135,3/25/2022,84,--,N,0, ,553, ,7.4, ,95.0, ,45.9, ,70.6, ,62, ,10, ,29, ,36.9, ,2.6, ,62.2, ,71.2, 
135,3/26/2022,85,--,N,0, ,531, ,8.7, ,96.5, ,50.9, ,71.1, ,67, ,15, ,34, ,41.0, ,3.2, ,77.1, ,72.5, 
135,3/27/2022,86,--,N,0, ,578, ,8.2, ,90.7, ,51.0, ,71.9, ,60, ,14, ,31, ,39.3, ,3.7, ,89.9, ,73.1, 
135,3/28/2022,87,--,N,0.06, ,350, ,10.9, ,80.8, ,58.2, ,68.2, ,90, ,22, ,46, ,46.7, ,3.8, ,90.6, ,73.6, 
135,3/29/2022,88,--,N,0.02, ,524, ,10.4, ,76.8, ,50.6, ,63.1, ,86, ,28, ,53, ,45.7, ,3.3, ,79.4, ,71.9, 
135,3/30/2022,89,--,N,0, ,570, ,10.2, ,83.4, ,47.8, ,67.0, ,90, ,24, ,45, ,45.1, ,3.3, ,78.2, ,71.6, 
135,3/31/2022,90,--,N,0, ,557, ,10.1, ,83.0, ,50.6, ,66.4, ,80, ,24, ,46, ,44.9, ,3.0, ,71.1, ,72.8, 
