116,1/1/2022,1,--,N,0, ,265, ,7.3, ,56.7, ,33.4, ,43.1, ,100, ,49, ,77, ,36.3, ,6.1, ,146.1, ,49.2, 
116,1/2/2022,2,--,N,0, ,261, ,8.4, ,62.3, ,37.6, ,45.8, ,100, ,49, ,80, ,39.9, ,6.5, ,156.0, ,48.0, 
116,1/3/2022,3,--,N,0, ,184, ,10.4, ,57.2, ,41.4, ,49.0, ,99, ,68, ,88, ,45.6, ,6.3, ,152.1, ,48.7, 
116,1/4/2022,4,--,N,0, ,204, ,12.4, ,65.6, ,46.9, ,53.6, ,100, ,69, ,88, ,50.2, ,6.0, ,143.0, ,50.5, 
116,1/5/2022,5,--,N,0.01, ,235, ,13.0, ,65.4, ,45.6, ,53.1, ,100, ,72, ,95, ,51.5, ,3.4, ,81.0, ,52.4, 
116,1/6/2022,6,--,N,0.01, ,214, ,13.0, ,64.5, ,44.8, ,51.9, ,100, ,81, ,98, ,51.5, ,5.7, ,137.8, ,53.1, 
116,1/7/2022,7,--,N,0.01, ,124, ,12.9, ,59.1, ,47.1, ,52.9, ,100, ,72, ,94, ,51.3, ,3.6, ,85.3, ,53.6, 
116,1/8/2022,8,--,N,0, ,270, ,11.0, ,63.2, ,41.8, ,50.6, ,100, ,64, ,87, ,47.0, ,6.5, ,156.1, ,53.0, 
116,1/9/2022,9,--,N,0, ,269, ,10.2, ,69.3, ,43.5, ,51.5, ,100, ,41, ,78, ,45.1, ,7.5, ,181.1, ,52.2, 
116,1/10/2022,10,--,N,0, ,264, ,9.6, ,72.6, ,43.2, ,53.9, ,100, ,30, ,68, ,43.4, ,5.6, ,133.5, ,51.9, 
116,1/11/2022,11,--,N,0, ,274, ,9.1, ,73.5, ,43.2, ,54.1, ,91, ,34, ,64, ,42.1, ,6.1, ,147.2, ,51.9, 
116,1/12/2022,12,--,N,0, ,253, ,9.7, ,79.2,Y,45.3, ,56.5, ,86, ,34, ,62, ,43.8, ,6.4, ,152.8, ,52.2, 
116,1/13/2022,13,--,N,0, ,189, ,11.4, ,74.4, ,44.8, ,53.0, ,100, ,54, ,83, ,48.0, ,4.4, ,104.4, ,52.5, 
116,1/14/2022,14,--,N,0, ,203, ,10.9, ,66.2, ,43.9, ,53.4, ,100, ,56, ,78, ,46.8, ,6.1, ,146.9, ,52.0, 
116,1/15/2022,15,--,N,0, ,149, ,11.2, ,79.3,Y,49.2, ,57.5, ,83, ,41, ,69, ,47.4, ,6.6, ,159.6, ,52.2, 
116,1/16/2022,16,--,N,0.01, ,198, ,11.9, ,71.7, ,51.4, ,59.3, ,90, ,39, ,69, ,49.2, ,4.7, ,111.7, ,53.5, 
116,1/17/2022,17,--,N,0, ,171, ,13.1, ,66.1, ,46.7, ,56.4, ,99, ,59, ,84, ,51.8, ,4.2, ,101.6, ,54.2, 
116,1/18/2022,18,--,N,0,R,393,R,12.8, ,60.6, ,49.4, ,54.4, ,100, ,71, ,89, ,51.2, ,4.6, ,111.1, ,55.0, 
116,1/19/2022,19,--,N,0, ,265, ,12.0, ,64.7, ,46.3, ,51.4, ,100, ,68, ,93, ,49.5, ,4.3, ,104.4, ,54.8, 
116,1/20/2022,20,--,N,0, ,294, ,11.6, ,70.5, ,43.8, ,53.6, ,100, ,49, ,82, ,48.4, ,5.1, ,122.5, ,54.1, 
116,1/21/2022,21,--,N,0, ,290, ,9.0, ,73.3, ,44.3, ,57.3, ,100, ,31, ,56, ,41.8, ,5.6, ,133.2, ,53.8, 
116,1/22/2022,22,--,N,0, ,291, ,7.8, ,72.7, ,41.9, ,54.2, ,84, ,28, ,54, ,38.0, ,5.0, ,119.9, ,53.1, 
116,1/23/2022,23,--,N,0, ,316, ,10.3, ,76.1,Y,42.3, ,56.4, ,94, ,28, ,66, ,45.2, ,5.7, ,135.9, ,52.4, 
116,1/24/2022,24,--,N,0, ,313, ,11.2, ,75.2, ,42.8, ,54.1, ,100, ,51, ,78, ,47.5, ,5.6, ,135.0, ,51.9, 
116,1/25/2022,25,--,N,0, ,316, ,13.6, ,72.1, ,45.5, ,54.7, ,100, ,68, ,93, ,52.7, ,5.0, ,119.6, ,51.8, 
116,1/26/2022,26,--,N,0, ,318, ,11.9, ,70.6, ,45.5, ,54.3, ,100, ,47, ,83, ,49.2, ,5.3, ,126.5, ,52.1, 
116,1/27/2022,27,--,N,0, ,324, ,11.5, ,73.8, ,47.4, ,56.1, ,100, ,32, ,75, ,48.2, ,6.7, ,161.0, ,53.2, 
116,1/28/2022,28,--,N,0, ,328, ,8.0, ,--,S,44.5, ,58.5, ,79, ,18, ,48, ,38.8, ,7.6, ,182.4, ,53.1, 
116,1/29/2022,29,--,N,0, ,278, ,13.5, ,--,S,49.5, ,63.5,Y,100,H,34,H,67,Y,52.6,Y,4.8, ,115.5, ,52.8, 
116,1/30/2022,30,--,N,0, ,336, ,11.8, ,--,S,42.0, ,55.3, ,100, ,47, ,79, ,49.0, ,6.0, ,143.9, ,52.3, 
116,1/31/2022,31,--,N,0, ,203, ,14.8, ,--,S,42.1, ,56.1, ,100, ,70, ,96, ,55.0, ,4.6, ,109.9, ,52.1, 
