6,1/1/2022,1,0.07, ,0, ,250, ,6.0, ,50.1, ,31.5, ,41.2, ,100, ,49, ,68, ,31.6, ,6.2, ,149.1, ,45.7, 
6,1/2/2022,2,0.04, ,0, ,234, ,7.4, ,52.2, ,29.8, ,39.9, ,100, ,65, ,88, ,36.7, ,2.9, ,68.8, ,45.1, 
6,1/3/2022,3,0.02, ,0.09, ,108, ,9.8, ,52.3, ,36.3, ,45.1, ,100, ,80, ,96, ,44.1, ,6.2, ,149.7, ,46.5, 
6,1/4/2022,4,0.02, ,0.00, ,122, ,12.7, ,58.4, ,46.9, ,51.4, ,100, ,84, ,98, ,50.8, ,4.8, ,115.3, ,50.6, 
6,1/5/2022,5,0.04,H,0.01,R,28,H,11.7,H,58.9, ,46.1, ,49.0,H,100,H,77,H,99, ,48.6, ,4.6,H,110.1,H,52.0,H
6,1/6/2022,6,0.00, ,0,R,18, ,12.1, ,50.2, ,49.0, ,49.8, ,100, ,100, ,100, ,49.7, ,3.4, ,81.8, ,51.6, 
6,1/7/2022,7,0.01, ,0.01, ,87, ,12.3, ,56.1, ,38.9, ,50.0, ,100, ,93, ,100, ,50.0, ,5.2, ,125.9, ,51.2, 
6,1/8/2022,8,0.05, ,0, ,230, ,10.8, ,57.4, ,39.3, ,49.1, ,100, ,68, ,91, ,46.6, ,5.4, ,128.8, ,50.5, 
6,1/9/2022,9,0.04, ,0.00, ,192, ,9.7, ,56.9, ,34.6, ,44.5, ,100, ,75, ,97, ,43.8, ,3.6, ,87.0, ,49.2, 
6,1/10/2022,10,0.07, ,0, ,247, ,9.0, ,61.4, ,39.3, ,48.9, ,99, ,47, ,76, ,41.7, ,4.2, ,101.4, ,49.7, 
6,1/11/2022,11,0.05, ,0, ,232, ,9.4, ,60.9, ,37.2, ,46.8, ,100, ,62, ,86, ,43.0, ,2.1, ,51.2, ,50.0, 
6,1/12/2022,12,0.05, ,0, ,258, ,10.4, ,62.9, ,37.9, ,48.3, ,100, ,64, ,91, ,45.7, ,2.3, ,54.1, ,50.5, 
6,1/13/2022,13,0.05, ,0, ,222, ,10.8, ,61.7, ,38.2, ,48.6, ,100, ,69, ,93, ,46.6, ,2.4, ,58.7, ,50.8, 
6,1/14/2022,14,0.08, ,0, ,255, ,9.2, ,66.4, ,38.0, ,50.2, ,100, ,39, ,75, ,42.5, ,5.9, ,141.9, ,50.3, 
6,1/15/2022,15,0.03, ,0, ,172, ,9.4, ,54.7, ,35.3, ,43.6, ,100, ,83, ,98, ,42.9, ,2.2, ,53.5, ,49.3, 
6,1/16/2022,16,0.05, ,0, ,229, ,10.1, ,59.3, ,40.1, ,47.2, ,100, ,65, ,91, ,44.7, ,3.4, ,81.7, ,50.2, 
6,1/17/2022,17,0.05, ,0, ,225, ,9.1, ,60.9, ,37.2, ,47.0, ,100, ,50, ,83, ,42.1, ,2.8, ,66.3, ,49.7, 
6,1/18/2022,18,0.05, ,0, ,259, ,9.6, ,62.2, ,36.3, ,48.1, ,100, ,56, ,84, ,43.6, ,2.2, ,54.0, ,50.0, 
6,1/19/2022,19,0.07, ,0, ,294,R,9.3, ,61.9, ,36.1, ,48.1, ,100, ,52, ,81, ,42.7, ,3.4, ,81.3, ,50.2, 
6,1/20/2022,20,0.06, ,0, ,284, ,10.0, ,64.0, ,35.9, ,48.1, ,100, ,57, ,87, ,44.5, ,2.2, ,53.9, ,50.3, 
6,1/21/2022,21,0.17, ,0, ,278, ,7.3, ,64.6, ,43.0, ,55.7, ,100, ,31, ,48, ,36.4, ,14.3,Y,342.3,Y,50.5, 
6,1/22/2022,22,0.14, ,0, ,300, ,7.1, ,69.2, ,40.8, ,55.7, ,97, ,28, ,46, ,35.6, ,10.9, ,262.5, ,50.7, 
6,1/23/2022,23,0.06, ,0, ,307,R,8.8, ,67.4, ,34.6, ,48.0, ,100, ,33, ,78, ,41.3, ,2.3, ,54.7, ,50.1, 
6,1/24/2022,24,0.06, ,0.00, ,289, ,9.1, ,62.6, ,33.5, ,45.9, ,100, ,49, ,86, ,42.1, ,2.4, ,56.6, ,50.0, 
6,1/25/2022,25,0.11, ,0, ,326,R,7.5, ,67.7, ,37.1, ,50.1, ,100, ,20, ,60, ,37.0, ,6.0, ,143.5, ,49.3, 
6,1/26/2022,26,0.07, ,0, ,303, ,8.5, ,61.5, ,35.4, ,47.0, ,100, ,43, ,78, ,40.4, ,3.8, ,91.9, ,49.2, 
6,1/27/2022,27,0.08, ,0, ,322,R,6.9, ,62.5, ,33.9, ,47.1, ,88, ,34, ,62, ,34.9, ,3.1, ,74.4, ,49.0, 
6,1/28/2022,28,0.06, ,0, ,270, ,7.8, ,63.4, ,34.7, ,46.6, ,96, ,42, ,72, ,38.2, ,2.5, ,59.5, ,48.5, 
6,1/29/2022,29,0.08, ,0, ,308, ,7.2, ,65.9, ,32.5, ,47.6, ,93, ,32, ,64, ,36.2, ,3.6, ,85.8, ,48.4, 
6,1/30/2022,30,0.07, ,0, ,307, ,8.4, ,60.5, ,32.6, ,46.1, ,100, ,51, ,79, ,40.0, ,2.8, ,66.5, ,48.8, 
6,1/31/2022,31,0.09, ,0, ,296, ,8.6, ,62.8, ,41.5, ,50.5, ,98, ,30, ,68, ,40.5, ,5.4, ,130.7, ,49.6, 
