35,1/1/2022,1,0.05, ,0, ,282, ,2.5, ,49.7, ,19.0, ,31.2, ,87, ,13, ,42, ,10.9, ,3.3, ,79.5, ,37.7, 
35,1/2/2022,2,0.05, ,0, ,284, ,3.2, ,42.6, ,13.5, ,26.5, ,91, ,33, ,65, ,16.5, ,1.8, ,42.8, ,37.2, 
35,1/3/2022,3,0.05, ,0, ,274, ,3.4, ,43.9, ,14.5, ,26.7, ,92, ,36, ,70, ,18.2, ,1.9, ,46.3, ,36.8, 
35,1/4/2022,4,0.05, ,0, ,288, ,4.1, ,51.4, ,17.2, ,31.4, ,94, ,34, ,68, ,22.2, ,2.2, ,52.0, ,36.5, 
35,1/5/2022,5,0.06, ,0, ,273, ,5.3, ,61.5, ,21.8, ,38.3, ,95, ,34, ,68, ,28.5, ,2.2, ,52.0, ,36.5, 
35,1/6/2022,6,0.06, ,0, ,275, ,5.6, ,62.1, ,24.1, ,39.0, ,98, ,34, ,69, ,29.7, ,2.0, ,48.0, ,37.1, 
35,1/7/2022,7,0.06, ,0, ,264, ,5.4, ,56.0, ,23.5, ,38.4, ,96, ,41, ,68, ,28.9, ,2.9, ,69.2, ,37.7, 
35,1/8/2022,8,0.06, ,0, ,289, ,3.2, ,56.0, ,21.2, ,38.1, ,80, ,17, ,42, ,16.9, ,2.8, ,68.3, ,38.0, 
35,1/9/2022,9,0.05, ,0, ,290, ,3.4, ,53.9, ,17.6, ,33.2, ,85, ,24, ,53, ,18.0, ,1.7, ,41.2, ,37.7, 
35,1/10/2022,10,0.05, ,0, ,217, ,3.5, ,50.7, ,19.1, ,33.4, ,86, ,24, ,54, ,18.6, ,1.9, ,44.7, ,37.1, 
35,1/11/2022,11,0.06, ,0, ,291, ,3.4, ,62.6, ,20.1, ,39.0, ,78, ,14, ,42, ,17.7, ,2.2, ,53.6, ,37.0, 
35,1/12/2022,12,0.07, ,0, ,281, ,4.2, ,66.6, ,25.2, ,41.9, ,77, ,16, ,47, ,23.1, ,1.7, ,41.3, ,37.4, 
35,1/13/2022,13,0.05,R,0, ,203, ,5.0, ,60.0, ,27.1, ,40.5, ,86, ,28, ,59, ,27.3, ,1.7, ,41.1, ,38.4, 
35,1/14/2022,14,0.07, ,0, ,262, ,4.4, ,58.8, ,23.1, ,40.5, ,81, ,28, ,51, ,23.9, ,2.6, ,61.2, ,38.8, 
35,1/15/2022,15,0.04,R,0, ,192, ,4.1, ,58.3, ,24.7, ,37.4, ,83, ,21, ,54, ,22.4, ,1.5, ,36.5, ,38.6, 
35,1/16/2022,16,0.06,R,0, ,284, ,3.6, ,59.3, ,21.8, ,36.9, ,84, ,17, ,49, ,19.3, ,1.5, ,36.7, ,38.4, 
35,1/17/2022,17,0.06, ,0, ,272, ,3.6, ,59.0, ,20.3, ,37.3, ,86, ,16, ,48, ,19.2, ,1.7, ,40.8, ,38.2, 
35,1/18/2022,18,0.08, ,0, ,296, ,4.4, ,63.3, ,24.5, ,42.3, ,81, ,24, ,47, ,23.8, ,2.7, ,63.9, ,38.4, 
35,1/19/2022,19,0.08, ,0, ,301, ,4.4, ,60.6, ,25.1, ,41.1, ,82, ,26, ,50, ,23.9, ,2.9, ,68.9, ,39.0, 
35,1/20/2022,20,0.07, ,0, ,307, ,3.9, ,66.2, ,25.6, ,41.8, ,76, ,17, ,43, ,21.2, ,2.1, ,49.3, ,39.2, 
35,1/21/2022,21,0.09, ,0, ,312, ,3.7, ,55.1, ,25.0, ,41.8, ,79, ,21, ,42, ,20.1, ,5.5, ,132.2, ,39.3, 
35,1/22/2022,22,0.07, ,0, ,318, ,3.4, ,55.2, ,24.3, ,37.8, ,65, ,24, ,44, ,17.7, ,3.6, ,86.4, ,39.1, 
35,1/23/2022,23,0.08, ,0, ,323, ,2.9, ,63.3, ,17.0, ,39.6, ,76, ,10, ,35, ,14.4, ,2.5, ,60.9, ,38.8, 
35,1/24/2022,24,0.08, ,0, ,323, ,3.4, ,68.9, ,23.0, ,43.7, ,72, ,12, ,35, ,17.8, ,2.1, ,50.7, ,38.9, 
35,1/25/2022,25,0.10, ,0, ,331, ,2.9, ,56.2, ,18.0, ,41.2, ,69, ,15, ,33, ,14.1, ,5.6, ,134.4, ,39.4, 
35,1/26/2022,26,0.07, ,0, ,337,R,2.6, ,56.5, ,14.1, ,33.5, ,80, ,15, ,40, ,12.0, ,1.5, ,35.6, ,38.7, 
35,1/27/2022,27,0.08, ,0, ,338, ,2.4, ,63.1, ,18.4, ,38.5, ,68, ,10, ,31, ,10.3, ,2.1, ,50.4, ,38.0, 
35,1/28/2022,28,0.07, ,0, ,299, ,2.6, ,58.8, ,19.7, ,36.3, ,67, ,13, ,36, ,11.8, ,1.8, ,42.1, ,37.9, 
35,1/29/2022,29,0.07, ,0, ,286, ,2.3, ,57.9, ,19.2, ,37.1, ,70, ,11, ,31, ,9.4, ,1.7, ,41.9, ,37.6, 
35,1/30/2022,30,0.08, ,0, ,352,R,2.2, ,66.1, ,18.3, ,38.2, ,61, ,6, ,28, ,7.9, ,1.9, ,45.1, ,37.5, 
35,1/31/2022,31,0.08, ,0, ,265, ,2.9, ,66.1, ,20.1, ,39.9, ,70, ,12, ,34, ,14.2, ,1.9, ,45.1, ,37.7, 
