44,1/1/2022,1,0.08, ,0, ,315, ,5.2, ,59.3, ,38.7, ,49.3, ,89, ,21, ,43, ,27.8, ,4.9, ,116.9, ,51.1, 
44,1/2/2022,2,0.07, ,0, ,319,R,3.9, ,62.9, ,36.6, ,48.0, ,60, ,18, ,34, ,20.9, ,3.7, ,87.9, ,49.4, 
44,1/3/2022,3,0.07, ,0, ,322,R,4.9, ,63.9, ,35.6, ,47.6, ,79, ,18, ,44, ,26.7, ,2.8, ,68.2, ,48.6, 
44,1/4/2022,4,0.07, ,0, ,306, ,6.3, ,62.8, ,35.8, ,47.6, ,85, ,24, ,56, ,32.7, ,2.5, ,60.7, ,48.6, 
44,1/5/2022,5,0.09, ,0, ,311, ,7.1, ,73.1, ,38.4, ,54.1, ,83, ,27, ,49, ,35.6, ,3.3, ,79.6, ,49.1, 
44,1/6/2022,6,0.08, ,0, ,311, ,7.9, ,74.7, ,45.7, ,58.0, ,69, ,28, ,48, ,38.4, ,2.9, ,69.7, ,50.1, 
44,1/7/2022,7,0.07, ,0, ,309, ,9.6, ,66.0, ,44.0, ,52.9, ,95, ,42, ,70, ,43.6, ,3.2, ,77.5, ,50.9, 
44,1/8/2022,8,0.06, ,0, ,276, ,10.8, ,63.2, ,44.8, ,52.6, ,100, ,51, ,80, ,46.6, ,2.5, ,60.0, ,52.1, 
44,1/9/2022,9,0.11, ,0, ,332,R,5.6, ,72.4, ,40.1, ,57.0, ,98, ,16, ,36, ,30.0, ,4.7, ,111.9, ,51.5, 
44,1/10/2022,10,0.13, ,0, ,203, ,3.9, ,67.6, ,49.9, ,60.0, ,32, ,18, ,22, ,21.2, ,7.1, ,170.7, ,50.9, 
44,1/11/2022,11,0.13, ,0, ,339,R,3.6, ,72.8, ,45.7, ,60.6, ,39, ,12, ,20, ,19.4, ,6.2, ,149.6, ,50.8, 
44,1/12/2022,12,0.10, ,0, ,245, ,4.7, ,75.7, ,44.9, ,59.5, ,43, ,12, ,27, ,25.5, ,3.0, ,70.9, ,51.0, 
44,1/13/2022,13,0.06, ,0, ,153, ,6.4, ,66.9, ,51.4, ,59.1, ,52, ,27, ,37, ,33.1, ,2.4, ,56.5, ,52.0, 
44,1/14/2022,14,0.13, ,0, ,319, ,5.7, ,75.9, ,47.2, ,61.5, ,61, ,14, ,30, ,30.2, ,5.1, ,121.9, ,52.9, 
44,1/15/2022,15,0.09, ,0, ,113, ,4.7, ,66.4, ,51.8, ,61.3, ,38, ,21, ,25, ,25.5, ,4.4, ,105.2, ,52.4, 
44,1/16/2022,16,0.09, ,0, ,261, ,6.2, ,73.1, ,54.3, ,62.8, ,55, ,18, ,32, ,32.2, ,2.9, ,69.6, ,53.0, 
44,1/17/2022,17,0.04, ,0.11, ,154, ,11.5, ,62.7, ,52.6, ,56.6, ,100, ,56, ,74, ,48.3, ,2.4, ,58.6, ,54.1, 
44,1/18/2022,18,0.05, ,0.01, ,218, ,13.3,Y,62.6, ,52.5, ,55.9, ,100, ,64, ,87,Y,52.1,Y,2.6, ,62.7, ,55.0, 
44,1/19/2022,19,0.07, ,0, ,299, ,12.0, ,64.2, ,48.2, ,55.0, ,100, ,56, ,81, ,49.4, ,2.5, ,59.2, ,55.6, 
44,1/20/2022,20,0.12, ,0, ,356,R,6.4, ,73.2, ,45.9, ,58.6, ,88, ,14, ,38, ,33.3, ,4.9, ,118.2, ,54.7, 
44,1/21/2022,21,0.15, ,0, ,337, ,5.2, ,70.7, ,43.6, ,57.3, ,60, ,14, ,32, ,28.1, ,7.9,Y,189.4,Y,53.2, 
44,1/22/2022,22,0.19, ,0, ,358,R,3.7, ,65.1, ,49.5, ,58.8, ,32, ,18, ,22, ,19.8, ,11.7,R,281.3,R,52.3, 
44,1/23/2022,23,0.14, ,0, ,363,R,4.2, ,71.3, ,48.6, ,60.2, ,38, ,17, ,24, ,23.1, ,6.4, ,152.9, ,51.7, 
44,1/24/2022,24,0.09, ,0, ,365,R,6.0, ,71.6, ,43.4, ,55.7, ,62, ,21, ,39, ,31.5, ,3.0, ,71.2, ,51.7, 
44,1/25/2022,25,0.11, ,0, ,363,R,4.6, ,72.6, ,41.5, ,56.0, ,67, ,8, ,30, ,25.2, ,4.6, ,109.8, ,51.7, 
44,1/26/2022,26,0.13, ,0, ,367,R,3.3, ,67.8, ,43.1, ,55.1, ,37, ,13, ,22, ,16.9, ,4.7, ,113.2, ,50.9, 
44,1/27/2022,27,0.10, ,0, ,393,R,3.3, ,70.5, ,41.8, ,54.8, ,40, ,10, ,22, ,17.1, ,3.5, ,84.0, ,50.5, 
44,1/28/2022,28,0.11, ,0, ,306, ,2.5, ,66.6, ,43.3, ,55.1, ,39, ,9, ,17, ,11.0, ,4.8, ,114.1, ,49.8, 
44,1/29/2022,29,0.12, ,0, ,167, ,2.5, ,64.7, ,47.2, ,58.2, ,39, ,12, ,15, ,11.2, ,5.4, ,130.5, ,49.5, 
44,1/30/2022,30,0.11, ,0, ,400,R,5.2, ,71.0, ,40.8, ,54.0, ,66, ,12, ,36, ,28.0, ,3.5, ,83.4, ,49.6, 
44,1/31/2022,31,0.06, ,0, ,229, ,7.0, ,63.6, ,39.8, ,51.2, ,78, ,30, ,54, ,35.2, ,2.2, ,52.0, ,49.8, 
