204,3/1/2022,60,0.20, ,0, ,505,R,3.2, ,86.5,Y,45.4, ,65.4, ,32, ,5, ,15, ,16.5, ,5.2, ,124.6, ,51.6, 
204,3/2/2022,61,0.19, ,0, ,487,R,3.8, ,86.1, ,44.2, ,63.9, ,34, ,6, ,19, ,20.8, ,4.5, ,109.0, ,52.2, 
204,3/3/2022,62,0.16, ,0.05, ,447, ,7.2, ,72.4, ,44.6, ,56.6, ,82, ,21, ,46, ,36.1, ,6.0, ,144.3, ,53.4, 
204,3/4/2022,63,0.06, ,0.01, ,242, ,9.9, ,61.7, ,47.3, ,52.5, ,89, ,52, ,73, ,44.2, ,4.0, ,95.4, ,54.4, 
204,3/5/2022,64,0.08, ,0, ,316, ,6.0, ,56.6, ,39.4, ,48.0, ,84, ,39, ,53, ,31.6, ,5.5, ,132.5, ,53.6, 
204,3/6/2022,65,0.14, ,0, ,509,R,5.4, ,62.3, ,34.0, ,47.7, ,74, ,28, ,48, ,28.8, ,4.7, ,113.3, ,52.1, 
204,3/7/2022,66,0.21, ,0, ,518,R,3.4, ,66.7, ,34.0, ,51.5, ,71, ,8, ,26, ,17.9, ,8.2, ,196.8, ,51.4, 
204,3/8/2022,67,0.18, ,0, ,520,R,3.3, ,70.6, ,35.7, ,54.0, ,45, ,11, ,23, ,17.1, ,5.3, ,126.7, ,51.0, 
204,3/9/2022,68,0.16, ,0, ,507, ,6.4, ,70.5, ,41.1, ,54.8, ,82, ,24, ,44, ,33.0, ,5.4, ,128.9, ,51.1, 
204,3/10/2022,69,0.19, ,0, ,484, ,5.3, ,69.9, ,41.9, ,56.1, ,86, ,7, ,34, ,28.4, ,6.3, ,151.9, ,52.3, 
204,3/11/2022,70,0.23, ,0, ,540,R,1.4,Y,70.6, ,45.8, ,57.8, ,17, ,5, ,8,Y,-1.9,Y,8.1, ,194.2, ,51.5, 
204,3/12/2022,71,0.18, ,0, ,537,R,3.0, ,78.5, ,42.0, ,59.3, ,35, ,8, ,17, ,15.2, ,3.7, ,89.8, ,51.5, 
204,3/13/2022,72,0.21, ,0, ,540,R,4.5, ,73.7, ,42.9, ,59.4, ,44, ,13, ,26, ,24.7, ,8.0, ,191.5, ,52.1, 
204,3/14/2022,73,0.18, ,0, ,540,R,6.6, ,82.7, ,45.4, ,63.4, ,56, ,12, ,33, ,33.7, ,3.9, ,94.3, ,53.1, 
204,3/15/2022,74,0.19, ,0, ,481, ,6.8, ,79.3, ,48.6, ,62.9, ,57, ,19, ,35, ,34.6, ,6.2, ,149.1, ,54.2, 
204,3/16/2022,75,0.20, ,0, ,547,R,7.4, ,72.3, ,50.4, ,61.0, ,58, ,22, ,40, ,36.7, ,6.8, ,162.9, ,54.2, 
204,3/17/2022,76,0.19, ,0, ,511, ,5.4, ,80.7, ,47.4, ,63.0, ,53, ,13, ,27, ,28.8, ,4.2, ,100.4, ,54.7, 
204,3/18/2022,77,0.20, ,0, ,556,R,5.6, ,81.8, ,47.0, ,63.6, ,45, ,14, ,28, ,29.6, ,4.7, ,111.8, ,54.9, 
204,3/19/2022,78,0.16, ,0.06, ,450, ,8.8, ,70.4, ,49.9, ,57.3, ,86, ,38, ,55, ,41.3, ,5.3, ,127.5, ,55.5, 
204,3/20/2022,79,0.21, ,0.00, ,572,R,6.8, ,67.8, ,49.5, ,57.3, ,92, ,23, ,42, ,34.7, ,8.0, ,191.6, ,55.3, 
204,3/21/2022,80,0.21, ,0, ,552, ,5.2, ,79.7, ,45.9, ,63.1, ,53, ,13, ,27, ,28.2, ,5.8, ,139.2, ,55.0, 
204,3/22/2022,81,0.26, ,0, ,573,R,5.8, ,85.7, ,50.4, ,69.9, ,43, ,13, ,23, ,30.6, ,7.3, ,175.0, ,55.7, 
204,3/23/2022,82,0.21, ,0, ,574,R,6.6, ,87.6, ,50.4, ,68.8, ,45, ,15, ,27, ,33.8, ,3.6, ,85.8, ,56.2, 
204,3/24/2022,83,0.21, ,0, ,573, ,7.4, ,88.2, ,52.0, ,68.8, ,49, ,18, ,31, ,36.9, ,3.9, ,92.5, ,57.3, 
204,3/25/2022,84,0.21, ,0, ,571, ,7.2, ,89.6, ,52.1, ,68.7, ,46, ,14, ,30, ,36.1, ,4.0, ,95.1, ,57.8, 
204,3/26/2022,85,0.22, ,0, ,600,R,7.1, ,81.6, ,49.3, ,64.5, ,79, ,11, ,34, ,35.6, ,5.7, ,136.9, ,57.7, 
204,3/27/2022,86,0.18, ,0, ,577, ,10.5, ,69.9, ,45.4, ,55.9, ,94, ,43, ,68, ,45.7, ,7.2, ,172.7, ,57.6, 
204,3/28/2022,87,0.04, ,1.17, ,167, ,10.7, ,56.2, ,47.4, ,51.4, ,94, ,72, ,82, ,46.2, ,6.5, ,155.2, ,57.2, 
204,3/29/2022,88,0.18, ,0.00, ,585, ,9.3, ,67.2, ,43.5, ,55.5, ,96, ,43, ,62, ,42.8, ,5.4, ,129.8, ,56.7, 
204,3/30/2022,89,0.17, ,0, ,579, ,11.2, ,74.4, ,44.3, ,57.9, ,87, ,47, ,68, ,47.5, ,3.7, ,89.9, ,57.0, 
204,3/31/2022,90,0.13, ,0, ,426, ,11.7, ,66.6, ,50.1, ,56.2, ,93, ,55, ,76, ,48.7, ,4.0, ,96.3, ,58.0, 
