183,3/1/2022,60,--,N,0, ,427, ,5.0, ,71.6, ,28.1, ,47.4, ,74, ,13, ,45, ,27.0, ,3.2, ,76.5, ,44.8, 
183,3/2/2022,61,--,N,0, ,424, ,4.7, ,72.7, ,33.6, ,50.2, ,72, ,14, ,38, ,25.8, ,3.6, ,86.3, ,46.4, 
183,3/3/2022,62,--,N,0, ,351, ,4.3, ,68.5, ,35.4, ,51.5, ,64, ,15, ,33, ,23.3, ,7.4, ,177.7, ,47.6, 
183,3/4/2022,63,--,N,0, ,352, ,5.8, ,61.5, ,42.7, ,50.9, ,64, ,30, ,45, ,30.6, ,6.7, ,161.1, ,48.5, 
183,3/5/2022,64,--,N,0, ,432, ,2.9, ,50.5, ,36.9, ,43.9, ,47, ,20, ,30, ,14.3, ,16.6, ,398.9, ,47.8, 
183,3/6/2022,65,--,N,0, ,439, ,3.8, ,57.3, ,35.1, ,44.9, ,55, ,21, ,37, ,20.6, ,12.4, ,296.4, ,46.3, 
183,3/7/2022,66,--,N,0, ,434, ,3.1, ,55.1, ,34.8, ,44.5, ,48, ,18, ,31, ,15.8, ,18.1, ,434.9, ,46.1, 
183,3/8/2022,67,--,N,0, ,437, ,3.4, ,59.5, ,32.9, ,46.2, ,57, ,20, ,32, ,18.1, ,6.9, ,164.6, ,46.0, 
183,3/9/2022,68,--,N,0, ,452, ,4.5, ,65.6, ,29.5, ,46.9, ,69, ,19, ,41, ,24.3, ,3.4, ,82.6, ,46.6, 
183,3/10/2022,69,--,N,0, ,453, ,3.1, ,52.4, ,36.7, ,45.2, ,47, ,16, ,30, ,16.0, ,22.3,Y,535.3,Y,47.2, 
183,3/11/2022,70,--,N,0, ,464, ,2.6, ,63.4, ,30.1, ,43.7, ,49, ,12, ,26, ,11.5, ,5.6, ,134.1, ,45.6, 
183,3/12/2022,71,--,N,0, ,468, ,3.6, ,67.1, ,29.1, ,46.0, ,67, ,13, ,34, ,19.2, ,4.5, ,108.3, ,46.1, 
183,3/13/2022,72,--,N,0, ,435, ,4.1, ,69.9, ,35.9, ,53.0, ,61, ,17, ,30, ,22.6, ,11.4, ,273.5, ,47.3, 
183,3/14/2022,73,--,N,0, ,458, ,4.4, ,68.6, ,36.3, ,52.8, ,65, ,17, ,32, ,23.9, ,4.8, ,115.8, ,48.7, 
183,3/15/2022,74,--,N,0, ,306, ,6.1, ,66.3, ,37.1, ,52.3, ,70, ,22, ,45, ,31.9, ,5.0, ,118.9, ,49.6, 
183,3/16/2022,75,--,N,0, ,477, ,5.2, ,66.8, ,45.5, ,55.8, ,59, ,18, ,34, ,28.1, ,14.7, ,353.0, ,50.7, 
183,3/17/2022,76,--,N,0, ,399, ,4.3, ,66.8, ,38.3, ,52.6, ,48, ,17, ,32, ,23.6, ,6.0, ,143.2, ,50.9, 
183,3/18/2022,77,--,N,0, ,482, ,5.0, ,72.7, ,35.4, ,52.9, ,69, ,15, ,36, ,26.9, ,4.2, ,100.4, ,51.0, 
183,3/19/2022,78,--,N,0, ,310, ,4.5, ,67.7, ,46.6, ,56.3, ,53, ,20, ,29, ,24.7, ,11.1, ,265.5, ,52.0, 
183,3/20/2022,79,--,N,0, ,533, ,4.4, ,63.9, ,43.7, ,52.8, ,53, ,17, ,32, ,23.8, ,20.4,Y,488.6,Y,51.2, 
183,3/21/2022,80,--,N,0, ,510, ,4.6, ,72.5, ,42.6, ,58.0, ,35, ,20, ,28, ,25.2, ,16.7, ,400.0, ,51.3, 
183,3/22/2022,81,--,N,0, ,531, ,6.3, ,77.5, ,52.3, ,63.1, ,44, ,21, ,32, ,32.8, ,14.6, ,351.1, ,53.3, 
183,3/23/2022,82,--,N,0, ,543, ,6.7, ,74.8, ,43.2, ,59.4, ,65, ,21, ,39, ,34.3, ,4.8, ,116.1, ,54.9, 
183,3/24/2022,83,--,N,0, ,549, ,7.1, ,81.7, ,41.1, ,60.6, ,73, ,17, ,39, ,35.8, ,3.9, ,93.9, ,55.7, 
183,3/25/2022,84,--,N,0, ,440, ,7.0, ,78.9, ,45.5, ,63.1, ,72, ,18, ,35, ,35.3, ,7.5, ,181.1, ,56.7, 
183,3/26/2022,85,--,N,0, ,564, ,5.7, ,80.7, ,50.5, ,66.5, ,58, ,12, ,26, ,30.3, ,8.2, ,196.0, ,57.8, 
183,3/27/2022,86,--,N,0, ,545, ,3.8, ,74.6, ,52.4, ,62.7, ,31, ,13, ,20, ,20.7, ,15.2, ,363.7, ,58.4, 
183,3/28/2022,87,--,N,0, ,306, ,5.8, ,57.5, ,43.3, ,50.0, ,70, ,24, ,48, ,30.9, ,14.4, ,344.8, ,56.7, 
183,3/29/2022,88,--,N,0, ,571, ,6.9, ,65.1, ,42.1, ,53.8, ,76, ,32, ,49, ,35.1, ,18.4, ,441.3, ,54.6, 
183,3/30/2022,89,--,N,0, ,499, ,6.4, ,72.0, ,42.5, ,57.2, ,65, ,19, ,40, ,33.1, ,5.8, ,138.5, ,55.1, 
183,3/31/2022,90,--,N,0, ,557, ,6.4, ,74.2, ,48.6, ,59.8, ,54, ,20, ,36, ,33.0, ,8.0, ,191.0, ,56.0, 
