231,3/1/2022,60,--,N,0, ,471, ,8.8, ,81.2, ,33.8, ,53.0, ,87, ,33, ,64, ,41.1, ,4.3, ,102.5, ,55.0, 
231,3/2/2022,61,--,N,0, ,471, ,9.1, ,74.2, ,32.8, ,50.7, ,95, ,33, ,72, ,42.1, ,4.3, ,102.3, ,55.3, 
231,3/3/2022,62,--,N,0, ,324, ,9.6, ,69.9, ,36.5, ,51.6, ,96, ,32, ,73, ,43.4, ,4.2, ,100.1, ,55.6, 
231,3/4/2022,63,--,N,0, ,190, ,9.8, ,59.5, ,37.6, ,47.9, ,95, ,73, ,87, ,44.1, ,9.6, ,229.4, ,55.5, 
231,3/5/2022,64,--,N,0.03, ,395, ,8.6, ,56.2, ,37.8, ,48.7, ,93, ,60, ,74, ,40.6, ,11.4,Y,273.9,Y,53.0, 
231,3/6/2022,65,--,N,0, ,483, ,8.2, ,60.1, ,31.0, ,46.6, ,94, ,40, ,75, ,39.3, ,7.1, ,170.7, ,51.5, 
231,3/7/2022,66,--,N,0, ,486, ,8.4, ,63.7, ,31.7, ,46.8, ,97, ,46, ,77, ,40.0, ,4.4, ,104.7, ,51.7, 
231,3/8/2022,67,--,N,0, ,489, ,8.5, ,68.0, ,30.4, ,47.9, ,97, ,31, ,75, ,40.2, ,4.6, ,109.2, ,51.8, 
231,3/9/2022,68,--,N,0, ,485, ,10.4, ,60.6, ,32.7, ,49.3, ,100, ,69, ,87, ,45.5, ,6.3, ,150.3, ,52.8, 
231,3/10/2022,69,--,N,0, ,497, ,10.2, ,64.0, ,37.8, ,52.1, ,95, ,54, ,77, ,45.2, ,7.1, ,170.5, ,53.7, 
231,3/11/2022,70,--,N,0, ,510, ,6.9, ,70.3, ,31.8, ,50.3, ,93, ,27, ,56, ,35.2, ,4.6, ,109.7, ,53.3, 
231,3/12/2022,71,--,N,0, ,512, ,8.1, ,64.0, ,30.4, ,46.8, ,95, ,37, ,75, ,39.2, ,4.7, ,113.9, ,53.2, 
231,3/13/2022,72,--,N,0, ,451, ,11.3, ,63.5, ,36.1, ,51.4, ,97, ,69, ,87, ,47.7, ,6.8, ,164.3, ,54.0, 
231,3/14/2022,73,--,N,0, ,508, ,10.9, ,68.7, ,36.6, ,54.2, ,99, ,41, ,76, ,46.7, ,6.3, ,151.0, ,55.4, 
231,3/15/2022,74,--,N,0, ,382, ,13.4, ,67.2, ,48.1, ,55.0, ,100, ,71, ,91, ,52.4, ,7.4, ,178.4, ,57.1, 
231,3/16/2022,75,--,N,0, ,511, ,11.8, ,65.1, ,41.5, ,54.7, ,99, ,54, ,81, ,48.9, ,9.3, ,222.8, ,58.0, 
231,3/17/2022,76,--,N,0, ,411, ,10.9, ,62.2, ,36.9, ,49.5, ,99, ,73, ,90, ,46.7, ,5.4, ,130.2, ,57.6, 
231,3/18/2022,77,--,N,0, ,505, ,11.5, ,65.6, ,39.4, ,51.6, ,100, ,66, ,88, ,48.3, ,4.5, ,108.2, ,57.5, 
231,3/19/2022,78,--,N,0, ,338, ,12.4, ,63.7, ,50.5, ,55.1, ,96, ,59, ,84, ,50.2, ,5.8, ,139.4, ,58.8, 
231,3/20/2022,79,--,N,0, ,530, ,10.7, ,64.9, ,49.1, ,54.1, ,93, ,53, ,75, ,46.4, ,11.1,Y,266.1,Y,59.0, 
231,3/21/2022,80,--,N,0.03, ,522, ,11.0, ,68.2, ,42.1, ,53.3, ,100, ,41, ,79, ,46.9, ,8.7, ,209.5, ,58.6, 
231,3/22/2022,81,--,N,0, ,547, ,11.2, ,79.8,Y,39.6, ,55.8, ,100, ,36, ,74, ,47.5, ,4.7, ,112.6, ,57.8, 
231,3/23/2022,82,--,N,0, ,541, ,11.9, ,61.8, ,41.9, ,51.5, ,100, ,79, ,92, ,49.1, ,5.4, ,129.3, ,58.5, 
231,3/24/2022,83,--,N,0, ,540, ,12.5, ,62.3, ,44.2, ,52.6, ,100, ,79, ,93, ,50.5, ,5.4, ,130.0, ,59.0, 
231,3/25/2022,84,--,N,0.01, ,440, ,12.4, ,59.5, ,47.5, ,51.9, ,100, ,79, ,94, ,50.2, ,4.7, ,113.8, ,59.3, 
231,3/26/2022,85,--,N,0, ,451, ,12.3, ,59.5, ,46.5, ,51.8, ,100, ,77, ,93, ,50.0, ,5.3, ,126.8, ,59.2, 
231,3/27/2022,86,--,N,0, ,325, ,11.7, ,63.9, ,50.6, ,56.3, ,92, ,61, ,76, ,48.6, ,11.6,Y,277.3,Y,58.9, 
231,3/28/2022,87,--,N,1.5, ,232, ,13.2, ,59.1, ,48.3, ,54.0, ,100, ,83, ,93, ,52.0, ,7.8, ,187.0, ,58.3, 
231,3/29/2022,88,--,N,0.00, ,518, ,12.5, ,59.6, ,48.0, ,53.6, ,100, ,79, ,89, ,50.5, ,10.3, ,246.5, ,57.9, 
231,3/30/2022,89,--,N,0, ,367, ,12.2, ,58.9, ,50.6, ,53.2, ,95, ,78, ,88, ,49.8, ,9.6, ,230.3, ,57.9, 
231,3/31/2022,90,--,N,0, ,487, ,11.7, ,61.2, ,46.9, ,53.1, ,96, ,73, ,85, ,48.7, ,9.7, ,233.8, ,57.8, 
