198,3/1/2022,60,0.18, ,0, ,498,R,5.2, ,90.1,Y,44.4, ,65.1, ,52, ,8, ,25, ,28.0, ,4.1, ,98.9, ,59.6, 
198,3/2/2022,61,0.15, ,0, ,480, ,6.4, ,81.0, ,44.0, ,60.6, ,73, ,15, ,36, ,33.3, ,3.3, ,78.4, ,61.2, 
198,3/3/2022,62,0.12, ,0, ,436, ,10.4, ,70.7, ,40.0, ,55.4, ,97, ,44, ,69, ,45.5, ,3.1, ,74.9, ,61.1, 
198,3/4/2022,63,0.09, ,0.00, ,380, ,12.8, ,66.4, ,45.7, ,55.0, ,100, ,57, ,87, ,51.2, ,2.7, ,65.4, ,61.8, 
198,3/5/2022,64,0.12, ,0, ,482, ,8.2, ,62.3, ,37.7, ,51.4, ,100, ,39, ,63, ,39.3, ,3.1, ,74.4, ,60.4, 
198,3/6/2022,65,0.13, ,0, ,506,R,6.5, ,62.3, ,34.2, ,47.2, ,89, ,34, ,58, ,33.4, ,3.2, ,76.1, ,58.5, 
198,3/7/2022,66,0.17, ,0, ,515,R,5.7, ,71.3, ,37.3, ,52.7, ,81, ,16, ,42, ,30.2, ,5.1, ,121.4, ,58.3, 
198,3/8/2022,67,0.15, ,0, ,519,R,5.2, ,73.9, ,36.1, ,54.3, ,82, ,13, ,36, ,28.1, ,3.1, ,75.0, ,58.2, 
198,3/9/2022,68,0.14, ,0, ,505, ,8.6, ,68.2, ,36.3, ,51.8, ,100, ,32, ,66, ,40.8, ,3.1, ,73.8, ,57.9, 
198,3/10/2022,69,0.14, ,0, ,505, ,9.8, ,67.7, ,40.7, ,53.8, ,100, ,14, ,70, ,44.1, ,3.5, ,83.1, ,59.4, 
198,3/11/2022,70,0.20, ,0, ,539,R,3.5,Y,77.2, ,40.9, ,59.3, ,56, ,7, ,20,Y,18.7,Y,5.6, ,134.0, ,60.0, 
198,3/12/2022,71,0.17, ,0, ,535,R,6.7, ,79.7, ,38.2, ,56.2, ,98, ,9, ,43, ,34.2, ,3.6, ,85.4, ,60.2, 
198,3/13/2022,72,0.14, ,0, ,508, ,9.5, ,70.5, ,35.9, ,53.6, ,100, ,36, ,68, ,43.3, ,3.1, ,74.4, ,60.9, 
198,3/14/2022,73,0.15, ,0, ,526, ,11.1, ,70.3, ,39.3, ,55.1, ,100, ,49, ,75, ,47.3, ,3.1, ,74.3, ,62.0, 
198,3/15/2022,74,0.13, ,0, ,447, ,10.6, ,73.6, ,40.4, ,56.9, ,100, ,37, ,67, ,46.0, ,2.7, ,65.9, ,62.5, 
198,3/16/2022,75,0.16, ,0, ,538,R,11.1, ,77.4, ,41.7, ,58.3, ,100, ,35, ,66, ,47.2, ,3.0, ,72.7, ,63.3, 
198,3/17/2022,76,0.16, ,0, ,489, ,9.1, ,82.0, ,42.6, ,60.0, ,93, ,17, ,51, ,42.1, ,3.2, ,75.8, ,64.1, 
198,3/18/2022,77,0.17,R,0, ,552,R,10.2, ,78.2, ,42.8, ,58.2, ,100, ,27, ,62, ,45.0, ,3.4, ,82.3, ,63.5, 
198,3/19/2022,78,0.12, ,0.01, ,459, ,12.2, ,64.6, ,44.1, ,54.9, ,100, ,61, ,83, ,49.9, ,3.7, ,88.4, ,62.8, 
198,3/20/2022,79,0.16, ,0.00, ,555,R,11.9, ,74.0, ,47.0, ,57.3, ,100, ,37, ,74, ,49.0, ,3.5, ,84.5, ,64.0, 
198,3/21/2022,80,0.18, ,0, ,558, ,8.8, ,80.3, ,40.7, ,60.4, ,89, ,19, ,49, ,41.3, ,3.2, ,75.9, ,64.5, 
198,3/22/2022,81,0.21, ,0, ,565,R,8.7, ,89.9,Y,49.4, ,67.3,Y,69, ,16, ,38,Y,40.8,Y,3.9, ,93.2, ,66.2,Y
198,3/23/2022,82,0.19, ,0, ,570,R,10.0, ,85.7, ,48.8, ,66.0, ,79, ,26, ,46, ,44.5, ,2.8, ,66.2, ,67.7,Y
198,3/24/2022,83,0.18, ,0.00,H,575,R,12.1, ,80.7, ,48.8, ,61.4, ,100, ,29, ,65, ,49.6, ,3.3, ,78.9, ,67.6,Y
198,3/25/2022,84,0.16, ,0, ,551, ,12.5, ,75.9, ,41.6, ,57.7, ,100, ,45, ,77, ,50.6, ,2.4, ,58.5, ,65.9, 
198,3/26/2022,85,0.15, ,0.01, ,582,R,13.8, ,70.2, ,43.7, ,55.0, ,100, ,61, ,93, ,53.1, ,2.7, ,64.7, ,66.4, 
198,3/27/2022,86,0.15, ,0, ,528, ,13.6, ,69.1, ,52.7, ,57.9, ,100, ,57, ,83, ,52.8, ,3.7, ,89.3, ,67.3,Y
198,3/28/2022,87,0.06, ,2.17, ,266, ,13.8, ,61.8, ,47.8, ,54.1, ,100, ,82, ,97, ,53.2, ,3.6, ,86.2, ,65.8, 
198,3/29/2022,88,0.15, ,0.00, ,586, ,13.4, ,67.0, ,45.5, ,55.0, ,100, ,59, ,91, ,52.4, ,3.1, ,73.7, ,63.6, 
198,3/30/2022,89,0.14, ,0, ,555, ,14.9, ,66.9, ,47.3, ,56.6, ,100, ,81, ,95, ,55.2, ,3.2, ,75.8, ,64.8, 
198,3/31/2022,90,0.07, ,0, ,292, ,15.2, ,66.0, ,48.8, ,57.2, ,100, ,81, ,95, ,55.7, ,2.4, ,58.6, ,65.6, 
