15,3/1/2022,60,0.12, ,0, ,395, ,8.5, ,74.6, ,37.6, ,55.9, ,83, ,36, ,56, ,40.4, ,2.8, ,67.4, ,50.9, 
15,3/2/2022,61,0.13, ,0, ,452, ,8.7, ,77.8, ,39.9, ,58.9, ,75, ,32, ,51, ,41.0, ,2.9, ,68.8, ,51.5, 
15,3/3/2022,62,0.11, ,0, ,317, ,8.6, ,72.9, ,44.0, ,58.3, ,77, ,33, ,52, ,40.7, ,4.2, ,100.9, ,52.3, 
15,3/4/2022,63,0.06, ,0.56, ,196, ,11.5, ,60.4, ,43.6, ,54.3, ,94, ,62, ,80, ,48.3, ,8.3, ,199.1, ,52.9, 
15,3/5/2022,64,0.09, ,0, ,342, ,7.2, ,54.7, ,36.3, ,45.5, ,90, ,52, ,69, ,36.0, ,5.2, ,125.3, ,53.1, 
15,3/6/2022,65,0.11, ,0, ,450, ,7.3, ,60.7, ,32.8, ,46.0, ,93, ,45, ,69, ,36.4, ,3.4, ,80.6, ,52.4, 
15,3/7/2022,66,0.13, ,0, ,468, ,6.9, ,63.3, ,34.1, ,48.8, ,87, ,37, ,59, ,35.2, ,4.4, ,106.6, ,52.1, 
15,3/8/2022,67,0.13, ,0, ,477, ,6.9, ,68.7, ,33.0, ,51.0, ,90, ,30, ,54, ,34.9, ,3.5, ,83.2, ,52.0, 
15,3/9/2022,68,0.14, ,0, ,478, ,7.5, ,71.8, ,36.1, ,53.6, ,87, ,30, ,53, ,37.0, ,3.6, ,85.5, ,52.2, 
15,3/10/2022,69,0.21, ,0, ,625,R,4.9, ,68.7, ,42.0, ,58.8, ,74, ,19, ,29, ,26.5, ,9.5,Y,228.7,Y,52.3, 
15,3/11/2022,70,0.14, ,0, ,507,R,5.2, ,72.7, ,33.5, ,53.0, ,66, ,19, ,38, ,28.1, ,3.0, ,72.0, ,52.2, 
15,3/12/2022,71,0.16, ,0, ,507, ,6.0, ,77.0, ,34.1, ,56.1, ,68, ,19, ,39, ,31.5, ,3.4, ,82.4, ,52.3, 
15,3/13/2022,72,0.17, ,0, ,457, ,7.8, ,72.8, ,40.9, ,57.0, ,65, ,32, ,49, ,38.1, ,6.5, ,154.9, ,52.6, 
15,3/14/2022,73,0.15, ,0, ,507, ,7.2, ,73.8, ,36.7, ,56.6, ,78, ,26, ,46, ,36.0, ,3.6, ,86.1, ,52.9, 
15,3/15/2022,74,0.14, ,0, ,381, ,9.8, ,72.0, ,41.8, ,58.0, ,78, ,35, ,59, ,44.0, ,6.3, ,151.2, ,53.3, 
15,3/16/2022,75,0.19, ,0, ,516, ,9.6, ,75.5, ,44.8, ,59.7, ,84, ,33, ,55, ,43.3, ,8.1, ,193.3, ,53.8, 
15,3/17/2022,76,0.15, ,0, ,445, ,7.5, ,74.9, ,38.6, ,57.9, ,74, ,26, ,46, ,37.3, ,3.9, ,94.5, ,54.1, 
15,3/18/2022,77,0.17, ,0, ,522, ,7.5, ,77.0, ,37.4, ,59.3, ,68, ,27, ,44, ,37.2, ,3.8, ,92.1, ,54.2, 
15,3/19/2022,78,0.10, ,0.13, ,259, ,9.7, ,65.9, ,48.7, ,55.8, ,93, ,44, ,64, ,43.7, ,7.6, ,181.7, ,54.4, 
15,3/20/2022,79,0.18, ,0, ,539, ,9.0, ,66.5, ,42.4, ,54.4, ,93, ,36, ,62, ,41.9, ,8.7, ,209.7, ,54.4, 
15,3/21/2022,80,0.18, ,0, ,534, ,8.0, ,72.1, ,36.1, ,55.6, ,93, ,29, ,53, ,38.6, ,5.7, ,135.8, ,54.2, 
15,3/22/2022,81,0.17, ,0, ,537, ,9.5, ,80.9, ,42.4, ,61.9, ,85, ,29, ,51, ,43.3, ,3.0, ,73.2, ,54.3, 
15,3/23/2022,82,0.19, ,0, ,537, ,10.8, ,90.1,Y,46.4, ,67.3, ,80, ,23, ,47, ,46.5, ,3.5, ,84.5, ,55.0, 
15,3/24/2022,83,0.20, ,0, ,539, ,11.4, ,88.5,Y,51.9, ,70.5,Y,72, ,27, ,45,Y,47.9,Y,4.0, ,94.9, ,55.8, 
15,3/25/2022,84,0.20, ,0, ,491, ,11.2, ,87.0, ,51.2, ,69.4,Y,70, ,28, ,46,Y,47.5,Y,5.0, ,120.5, ,56.6, 
15,3/26/2022,85,0.21, ,0, ,548, ,8.9, ,87.2,Y,51.6, ,69.2,Y,63, ,20, ,37,Y,41.6,Y,4.4, ,106.6, ,57.1, 
15,3/27/2022,86,0.22, ,0, ,519, ,9.2, ,80.1, ,50.7, ,65.5, ,71, ,24, ,43, ,42.2, ,6.5, ,156.6, ,57.4, 
15,3/28/2022,87,0.08, ,0.37, ,242, ,11.6, ,64.0, ,48.8, ,55.3, ,95, ,50, ,78, ,48.4, ,7.0, ,168.8, ,57.5, 
15,3/29/2022,88,0.12, ,0, ,428, ,11.9, ,67.6, ,45.2, ,56.6, ,95, ,57, ,76, ,49.1, ,3.9, ,94.0, ,57.1, 
15,3/30/2022,89,0.17, ,0, ,523, ,12.2, ,73.2, ,47.9, ,60.5, ,94, ,47, ,68, ,49.8, ,4.9, ,117.8, ,57.3, 
15,3/31/2022,90,0.15, ,0, ,496, ,11.2, ,68.1, ,46.3, ,57.4, ,86, ,56, ,69, ,47.5, ,5.5, ,131.3, ,57.6, 
