47,6/1/2022,152,0.30, ,0, ,715, ,9.1, ,92.3, ,50.7, ,73.3, ,90, ,12, ,33, ,42.1, ,4.7, ,111.8, ,72.8, 
47,6/2/2022,153,0.28, ,0, ,614, ,9.7, ,90.4, ,58.6, ,73.5, ,63, ,19, ,35, ,43.8, ,5.5, ,131.8, ,73.2, 
47,6/3/2022,154,0.24, ,0, ,553, ,13.3, ,79.9, ,58.3, ,69.7, ,71, ,43, ,54, ,52.1, ,8.3, ,199.8, ,72.4, 
47,6/4/2022,155,0.15, ,0, ,350, ,11.3, ,77.7, ,59.6, ,68.4, ,75, ,31, ,48, ,47.7, ,4.4, ,105.1, ,70.7, 
47,6/5/2022,156,0.13, ,0.10, ,383, ,20.4,Y,81.3, ,60.1, ,69.0, ,100, ,59, ,84,Y,64.1,Y,6.3, ,150.5, ,70.9, 
47,6/6/2022,157,0.28, ,0, ,733, ,13.4, ,85.4, ,54.6, ,70.9, ,99, ,23, ,52, ,52.3, ,6.1, ,146.2, ,72.3, 
47,6/7/2022,158,0.29, ,0, ,683, ,11.6, ,89.3, ,53.7, ,72.8, ,99, ,18, ,42, ,48.4, ,5.8, ,138.4, ,72.9, 
47,6/8/2022,159,0.28, ,0, ,661, ,12.8, ,89.0, ,59.0, ,74.6, ,60, ,27, ,44, ,51.1, ,5.4, ,128.6, ,74.1, 
47,6/9/2022,160,0.31, ,0, ,672, ,12.8, ,96.0, ,58.5, ,78.7, ,79, ,23, ,38, ,51.0, ,5.8, ,138.6, ,75.3, 
47,6/10/2022,161,0.35, ,0, ,715, ,14.2, ,99.6, ,62.9, ,84.3,Y,66, ,20, ,35,Y,53.9,Y,6.9, ,166.3, ,78.2, 
47,6/11/2022,162,0.34, ,0, ,703, ,14.1, ,95.5, ,66.5,Y,81.6, ,64, ,20, ,38, ,53.8, ,7.3, ,174.1, ,79.3, 
47,6/12/2022,163,0.24, ,0, ,588, ,16.6, ,83.2, ,61.5, ,71.9, ,93, ,49, ,62, ,58.3, ,7.3, ,175.9, ,77.6, 
47,6/13/2022,164,0.28, ,0, ,738, ,9.8, ,83.7, ,52.4, ,69.1, ,91, ,20, ,40, ,44.1, ,5.8, ,139.8, ,73.8, 
47,6/14/2022,165,0.32, ,0, ,729, ,8.6, ,89.3, ,59.6, ,75.3, ,46, ,16, ,29, ,40.7, ,6.4, ,153.0, ,73.2, 
47,6/15/2022,166,0.31, ,0.05, ,724, ,10.0, ,95.2, ,53.5, ,75.2, ,72, ,15, ,34, ,44.6, ,4.9, ,118.2, ,74.8, 
47,6/16/2022,167,0.31, ,0, ,733, ,8.9, ,82.7, ,56.8, ,69.8, ,63, ,26, ,36, ,41.6, ,8.1, ,193.9, ,74.0, 
47,6/17/2022,168,0.25, ,0.03, ,671, ,9.9, ,70.4, ,53.9, ,61.4, ,69, ,38, ,53, ,44.4, ,8.3, ,200.0, ,70.9, 
47,6/18/2022,169,0.23, ,0, ,638, ,10.3, ,76.7, ,46.7, ,62.9, ,98, ,32, ,53, ,45.4, ,5.5, ,130.8, ,69.3, 
47,6/19/2022,170,0.28, ,0.05, ,724, ,10.6, ,85.7, ,49.7, ,68.9, ,94, ,22, ,44, ,46.0, ,5.6, ,135.2, ,71.1, 
47,6/20/2022,171,0.31, ,0.01, ,709, ,10.1, ,91.7, ,55.0, ,75.4, ,72, ,16, ,34, ,44.9, ,5.9, ,142.1, ,72.3, 
47,6/21/2022,172,0.32, ,0, ,722, ,10.7, ,99.9, ,59.8, ,80.6, ,53, ,12, ,30, ,46.3, ,4.9, ,118.5, ,74.5, 
47,6/22/2022,173,0.20, ,0.02, ,409, ,12.7, ,94.0, ,61.6, ,80.0, ,56, ,24, ,36, ,51.0, ,4.6, ,109.2, ,74.7, 
47,6/23/2022,174,0.31, ,0, ,683, ,13.7, ,96.8, ,62.9, ,80.4, ,91, ,19, ,39, ,52.9, ,5.1, ,121.5, ,77.4, 
47,6/24/2022,175,0.29, ,0.04, ,725, ,13.4, ,99.8, ,56.9, ,77.7, ,93, ,19, ,41, ,52.3, ,3.7, ,89.4, ,78.4, 
47,6/25/2022,176,0.30, ,0, ,734, ,13.0, ,98.3, ,53.6, ,75.6, ,100, ,15, ,43, ,51.6, ,4.8, ,115.7, ,77.3, 
47,6/26/2022,177,0.29, ,0.04, ,738, ,15.8, ,93.7, ,52.9, ,73.5, ,99, ,26, ,56, ,56.8, ,4.6, ,109.7, ,77.3, 
47,6/27/2022,178,0.32, ,0.04, ,736, ,12.5, ,95.9, ,51.6, ,76.0, ,99, ,16, ,41, ,50.4, ,4.9, ,118.7, ,76.3, 
47,6/28/2022,179,0.33, ,0, ,724, ,9.6, ,95.9, ,55.5, ,77.8, ,81, ,13, ,29, ,43.4, ,5.2, ,125.8, ,75.8, 
47,6/29/2022,180,0.28, ,0.09, ,736, ,12.4, ,92.9, ,54.8, ,71.7, ,95, ,20, ,47, ,50.3, ,4.5, ,106.8, ,76.1, 
47,6/30/2022,181,0.26, ,0.00, ,727, ,13.9, ,86.4, ,50.0, ,67.7, ,100, ,34, ,60, ,53.4, ,3.9, ,92.7, ,77.2, 
