210,6/1/2022,152,0.21, ,0, ,707, ,11.0, ,67.9, ,42.1, ,55.2, ,88, ,55, ,74, ,46.9, ,4.3, ,102.4, ,69.6, 
210,6/2/2022,153,0.20, ,0, ,654, ,11.5, ,70.4, ,46.3, ,57.5, ,91, ,42, ,71, ,48.3, ,3.8, ,90.7, ,69.6, 
210,6/3/2022,154,0.15, ,0, ,515, ,15.0, ,68.0, ,52.8, ,60.0, ,96, ,71, ,85, ,55.5, ,4.0, ,96.6, ,70.1,Y
210,6/4/2022,155,0.18, ,0.00, ,542, ,12.5, ,69.4, ,53.6, ,60.4, ,98, ,43, ,70, ,50.5, ,4.1, ,97.7, ,70.3,Y
210,6/5/2022,156,0.20, ,0.02, ,609, ,16.7,Y,76.2,Y,57.0, ,64.7,Y,98, ,64, ,80,Y,58.3,Y,4.8, ,116.1, ,70.7,Y
210,6/6/2022,157,0.18, ,0.07, ,635, ,14.2, ,66.8, ,47.2, ,59.0, ,99, ,67, ,83, ,54.0, ,3.8, ,91.4, ,71.5,Y
210,6/7/2022,158,0.20, ,0, ,705, ,11.6, ,65.3, ,44.8, ,55.3, ,96, ,62, ,78, ,48.4, ,3.8, ,90.9, ,70.6, 
210,6/8/2022,159,0.21, ,0, ,659, ,12.6, ,72.1, ,46.6, ,59.2, ,93, ,41, ,73, ,50.7, ,4.2, ,101.3, ,70.4, 
210,6/9/2022,160,0.22, ,0, ,647, ,11.2, ,74.2, ,54.8, ,65.8,Y,94, ,35, ,52,Y,47.6,Y,4.4, ,104.6, ,71.0, 
210,6/10/2022,161,0.23,R,0, ,712, ,14.6, ,--,S,53.1, ,68.1,R,84,H,46,H,--,R,--,I,4.1, ,98.8, ,71.5,Y
210,6/11/2022,162,0.23,R,0, ,710, ,15.9,Y,82.8,R,52.8, ,67.4,R,89,H,53,H,--,R,--,I,4.2, ,100.7, ,72.4,Y
210,6/12/2022,163,0.16, ,0.01, ,515, ,16.3,Y,73.9, ,54.3, ,62.6, ,96, ,71, ,84,Y,57.7,Y,4.4, ,105.3, ,72.9,Y
210,6/13/2022,164,0.21, ,0, ,722, ,11.5, ,66.3, ,46.4, ,57.1, ,91, ,54, ,72, ,48.2, ,4.2, ,101.9, ,72.3,Y
210,6/14/2022,165,0.22, ,0, ,716, ,11.0, ,70.1, ,43.7, ,56.3, ,88, ,55, ,71, ,47.1, ,4.3, ,103.1, ,71.6,Y
210,6/15/2022,166,0.21, ,0, ,716, ,11.6, ,67.7, ,43.0, ,55.5, ,93, ,64, ,77, ,48.4, ,3.9, ,94.4, ,71.4, 
210,6/16/2022,167,0.20, ,0, ,700, ,12.1, ,68.4, ,43.0, ,56.0, ,93, ,64, ,79, ,49.6, ,4.4, ,106.8, ,71.3, 
210,6/17/2022,168,0.20, ,0, ,680, ,12.6, ,67.6, ,51.0, ,58.0, ,89, ,63, ,76, ,50.7, ,4.2, ,100.7, ,71.5, 
210,6/18/2022,169,0.20, ,0, ,656, ,12.0, ,66.0, ,47.0, ,57.3, ,90, ,58, ,75, ,49.4, ,4.4, ,105.1, ,71.6, 
210,6/19/2022,170,0.21, ,0, ,720, ,12.1, ,68.3, ,45.4, ,58.1, ,88, ,58, ,73, ,49.5, ,4.2, ,100.0, ,71.7, 
210,6/20/2022,171,0.22, ,0, ,721, ,12.4, ,73.3, ,47.2, ,60.4, ,91, ,45, ,69, ,50.3, ,4.2, ,100.6, ,71.8, 
210,6/21/2022,172,0.21,R,0, ,714, ,11.4, ,--,S,56.5, ,--,S,79,H,37,H,--,Q,--,Q,3.9, ,94.1, ,72.4, 
210,6/22/2022,173,0.22, ,0, ,671, ,13.5, ,76.9,Y,49.3, ,60.9, ,96, ,52, ,74, ,52.5, ,4.8, ,115.9, ,73.3,Y
210,6/23/2022,174,0.19, ,0, ,652, ,14.5, ,66.6, ,53.0, ,58.4, ,98, ,70, ,87, ,54.5, ,4.9, ,117.1, ,73.1, 
210,6/24/2022,175,0.20, ,0, ,695, ,14.1, ,65.0, ,52.2, ,57.8, ,99, ,73, ,86, ,53.7, ,4.9,Y,118.4,Y,73.1, 
210,6/25/2022,176,0.17, ,0, ,599, ,13.7, ,63.8, ,47.0, ,56.2, ,99, ,77, ,89, ,53.0, ,4.0, ,97.0, ,73.2, 
210,6/26/2022,177,0.19, ,0, ,635, ,13.9, ,66.9, ,45.2, ,57.2, ,98, ,75, ,87, ,53.4, ,4.1, ,97.6, ,72.8, 
210,6/27/2022,178,0.21, ,0, ,699, ,15.1, ,71.1, ,50.9, ,60.3, ,96, ,69, ,84, ,55.6, ,4.4, ,106.3, ,73.2, 
210,6/28/2022,179,0.22, ,0, ,702, ,14.6, ,72.9, ,50.9, ,62.1, ,98, ,57, ,77, ,54.8, ,4.1, ,98.1, ,73.7,Y
210,6/29/2022,180,0.15, ,0, ,515, ,15.1, ,65.6, ,53.9, ,60.0, ,98, ,71, ,86, ,55.7, ,4.7, ,112.3, ,73.6,Y
210,6/30/2022,181,0.16, ,0, ,563, ,15.0, ,66.8, ,56.4, ,60.2, ,99, ,68, ,84, ,55.5, ,4.5, ,108.7, ,73.2, 
