208,6/1/2022,152,0.32, ,0, ,739,R,11.9, ,116.7,Y,56.1,Y,92.1, ,50, ,10, ,23, ,49.1, ,3.5, ,84.6, ,70.4, 
208,6/2/2022,153,0.33, ,0, ,704, ,15.6, ,--,S,71.5, ,93.1, ,54, ,14, ,29, ,56.5, ,5.1, ,121.9, ,70.7, 
208,6/3/2022,154,0.32, ,0, ,697, ,15.1, ,--,S,73.8, ,90.5, ,50, ,17, ,31, ,55.6, ,5.2, ,124.0, ,70.8, 
208,6/4/2022,155,0.31, ,0, ,713, ,16.1, ,--,S,66.9, ,88.8, ,60, ,19, ,35, ,57.4, ,5.5, ,130.9, ,71.3, 
208,6/5/2022,156,0.31,R,0, ,679, ,21.4,Y,--,S,78.8,Y,91.9, ,58, ,26, ,42,Y,65.4,Y,5.5, ,132.5, ,71.8, 
208,6/6/2022,157,0.32,R,0, ,706, ,20.8,Y,--,S,80.2,Y,94.6,Y,56, ,22, ,38,Y,64.7,Y,5.0, ,119.7, ,72.6, 
208,6/7/2022,158,0.31, ,0.00, ,703, ,20.1,Y,103.4, ,81.4,Y,92.6, ,66, ,18, ,38,Y,63.6,Y,4.1, ,98.5, ,73.5, 
208,6/8/2022,159,0.29, ,0, ,700, ,20.7,Y,103.3, ,78.1, ,90.9, ,70, ,21, ,42,Y,64.5,Y,3.3, ,79.2, ,74.0, 
208,6/9/2022,160,0.30, ,0, ,699, ,20.5,Y,104.4, ,79.8,Y,93.2, ,63, ,21, ,38,Y,64.2,Y,3.2, ,77.8, ,74.8, 
208,6/10/2022,161,0.29, ,0.02, ,663, ,21.2,Y,110.2, ,81.2,Y,95.9,Y,65, ,20, ,37,Y,65.2,Y,3.1, ,74.0, ,75.5, 
208,6/11/2022,162,0.34, ,0.00, ,698, ,20.4,Y,115.2,Y,86.9,R,100.1,Y,53, ,17, ,31,Y,64.1,Y,4.3, ,103.3, ,76.2, 
208,6/12/2022,163,0.35, ,0, ,729, ,15.8, ,112.9, ,83.5,Y,99.9,Y,35, ,12, ,24,Y,56.8,Y,4.7, ,113.6, ,76.2, 
208,6/13/2022,164,0.34, ,0, ,746,R,15.6, ,106.6, ,77.5, ,91.9, ,57, ,13, ,30, ,56.5, ,6.0, ,143.7, ,75.5, 
208,6/14/2022,165,0.31, ,0, ,720, ,17.0, ,113.3, ,79.5, ,94.8, ,60, ,12, ,30, ,59.0, ,4.2, ,101.7, ,74.4, 
208,6/15/2022,166,0.31, ,0.00, ,729, ,15.1, ,106.4, ,74.7, ,91.0, ,63, ,11, ,30, ,55.6, ,3.4, ,82.6, ,74.6, 
208,6/16/2022,167,0.34, ,0, ,719, ,15.4, ,108.9, ,71.5, ,92.7, ,61, ,14, ,29, ,56.2, ,5.1, ,122.1, ,74.6, 
208,6/17/2022,168,0.34, ,0, ,717, ,12.5, ,105.7, ,76.7, ,90.8, ,41, ,13, ,25, ,50.5, ,6.1, ,146.0, ,74.5, 
208,6/18/2022,169,0.34, ,0, ,755,R,8.2, ,105.7, ,65.9, ,84.4, ,40, ,9, ,20, ,39.3, ,6.1, ,146.0, ,73.3,Y
208,6/19/2022,170,0.30, ,0, ,761,R,10.6, ,109.7, ,67.0, ,84.9, ,44, ,12, ,26, ,46.2, ,4.3, ,103.7, ,72.1,Y
208,6/20/2022,171,0.32, ,0, ,760,R,12.7, ,117.3,Y,69.1, ,91.3, ,55, ,12, ,25, ,50.9, ,3.2, ,76.4, ,72.6,Y
208,6/21/2022,172,0.32, ,0, ,730, ,14.8, ,112.3, ,67.2, ,91.0, ,62, ,13, ,30, ,55.1, ,3.6, ,85.4, ,72.9,Y
208,6/22/2022,173,0.23, ,0, ,471, ,16.9, ,107.0, ,80.5, ,91.5, ,45, ,25, ,33, ,58.7, ,4.2, ,101.4, ,73.9,Y
208,6/23/2022,174,0.32, ,0, ,695, ,16.8, ,108.8, ,81.8, ,95.4, ,57, ,13, ,30, ,58.6, ,4.4, ,106.5, ,74.6, 
208,6/24/2022,175,0.35, ,0, ,721, ,12.5, ,108.1, ,82.0, ,96.4, ,29, ,17, ,21, ,50.4, ,5.1, ,122.7, ,75.2, 
208,6/25/2022,176,0.35, ,0, ,740, ,10.5, ,109.1, ,80.5, ,95.4, ,29, ,12, ,18, ,45.7, ,4.8, ,114.5, ,75.1, 
208,6/26/2022,177,0.32, ,0, ,703, ,20.4, ,105.6, ,77.0, ,93.7, ,51, ,18, ,38, ,64.1, ,4.6, ,110.9, ,75.2, 
208,6/27/2022,178,0.29, ,0, ,676, ,23.4, ,103.8, ,82.8, ,93.7, ,65, ,28, ,43, ,68.0, ,3.5, ,83.2, ,76.6, 
208,6/28/2022,179,0.35, ,0, ,695, ,15.5, ,110.4, ,82.4, ,98.2, ,43, ,16, ,25, ,56.3, ,5.0, ,121.0, ,77.5, 
208,6/29/2022,180,0.35, ,0, ,697, ,12.4, ,112.6, ,83.9, ,99.2,Y,30, ,13, ,19,Y,50.2,Y,4.6, ,110.2, ,77.3, 
208,6/30/2022,181,0.33, ,0, ,698, ,14.4, ,110.4, ,83.0, ,96.7, ,38, ,14, ,24, ,54.3, ,4.3, ,103.4, ,77.1, 
