103,6/1/2022,152,0.24, ,0, ,692, ,11.3, ,86.3, ,43.9, ,64.3, ,94, ,28, ,55, ,47.7, ,2.9, ,69.6, ,72.2, 
103,6/2/2022,153,0.24, ,0, ,681, ,11.7, ,85.8, ,50.5, ,65.0, ,85, ,26, ,55, ,48.7, ,3.8, ,92.1, ,72.4, 
103,6/3/2022,154,0.19, ,0, ,572, ,13.7, ,74.6, ,50.4, ,62.3, ,92, ,56, ,71, ,53.0, ,4.0, ,95.4, ,72.0, 
103,6/4/2022,155,0.10, ,0.11, ,321, ,12.3, ,70.7, ,53.3, ,59.8, ,96, ,47, ,70, ,50.1, ,3.0, ,71.4, ,70.3, 
103,6/5/2022,156,0.13, ,0.48, ,423, ,17.2,Y,74.1, ,56.3, ,63.8, ,98, ,66, ,85,Y,59.3,Y,3.0, ,72.5, ,71.1, 
103,6/6/2022,157,0.24, ,0, ,722, ,13.9, ,82.9, ,50.4, ,66.0, ,94, ,42, ,64, ,53.4, ,2.8, ,67.3, ,73.1, 
103,6/7/2022,158,0.23, ,0, ,672, ,13.2, ,80.8, ,47.3, ,64.1, ,97, ,45, ,65, ,52.0, ,3.0, ,73.0, ,72.8, 
103,6/8/2022,159,0.24, ,0, ,669, ,13.9, ,85.8, ,53.7, ,67.2, ,83, ,43, ,61, ,53.3, ,3.1, ,75.1, ,73.9, 
103,6/9/2022,160,0.25, ,0, ,633, ,12.8, ,92.5, ,51.7, ,73.4, ,91, ,26, ,45, ,51.0, ,4.2, ,101.4, ,75.0, 
103,6/10/2022,161,0.30, ,0, ,704, ,15.4, ,99.2,Y,56.8, ,81.3,R,86, ,23, ,--,R,--,I,4.6, ,110.9, ,78.2, 
103,6/11/2022,162,0.26, ,0, ,681, ,17.9,Y,91.0, ,56.3, ,73.8, ,94, ,41, ,63,Y,60.3,Y,3.8, ,91.5, ,78.9,Y
103,6/12/2022,163,0.19, ,0, ,534, ,15.0, ,77.9, ,58.0, ,66.0, ,95, ,45, ,69, ,55.4, ,5.5, ,131.8, ,76.3, 
103,6/13/2022,164,0.27, ,0, ,731, ,10.2, ,81.2, ,53.5, ,65.9, ,68, ,28, ,47, ,45.1, ,6.0,Y,143.2,Y,75.5, 
103,6/14/2022,165,0.26, ,0, ,719, ,11.4, ,86.5, ,54.4, ,69.4, ,82, ,24, ,47, ,48.1, ,4.0, ,95.9, ,75.6, 
103,6/15/2022,166,0.26, ,0, ,718, ,12.1, ,86.8, ,49.3, ,67.2, ,94, ,33, ,53, ,49.5, ,3.3, ,79.5, ,74.5, 
103,6/16/2022,167,0.24, ,0, ,675, ,11.2, ,80.1, ,46.7, ,63.4, ,91, ,36, ,56, ,47.4, ,4.4, ,105.4, ,74.2, 
103,6/17/2022,168,0.20, ,0, ,624, ,10.4, ,67.4, ,45.8, ,57.5, ,88, ,50, ,64, ,45.7, ,4.5, ,108.3, ,71.7, 
103,6/18/2022,169,0.24, ,0, ,717, ,10.1, ,74.7, ,43.5, ,61.0, ,96, ,34, ,55, ,44.9, ,3.7, ,87.6, ,70.7, 
103,6/19/2022,170,0.25, ,0, ,718, ,11.1, ,82.5, ,44.1, ,66.0, ,97, ,29, ,51, ,47.2, ,3.3, ,79.4, ,71.5, 
103,6/20/2022,171,0.26, ,0.01,H,714, ,11.7, ,88.2, ,47.4, ,69.2, ,94, ,24, ,48, ,48.7, ,2.9, ,70.0, ,72.5, 
103,6/21/2022,172,0.28, ,0, ,728, ,12.4, ,101.3,Y,51.1, ,77.1,Y,90, ,14, ,39,Y,50.3,Y,2.5, ,60.4, ,73.9, 
103,6/22/2022,173,0.26, ,0, ,721, ,13.4, ,90.1, ,55.2, ,71.6, ,86, ,27, ,51, ,52.4, ,3.5, ,83.4, ,74.5, 
103,6/23/2022,174,0.26, ,0, ,712, ,12.9, ,87.9, ,52.4, ,68.0, ,92, ,28, ,55, ,51.4, ,3.2, ,77.0, ,73.9, 
103,6/24/2022,175,0.25, ,0, ,715, ,13.4, ,86.1, ,46.7, ,64.7, ,96, ,39, ,64, ,52.4, ,3.2, ,76.6, ,72.8, 
103,6/25/2022,176,0.23, ,0, ,708, ,13.4, ,79.3, ,49.5, ,61.5, ,98, ,40, ,72, ,52.4, ,3.8, ,90.6, ,72.2, 
103,6/26/2022,177,0.22, ,0, ,683, ,14.0, ,80.3, ,52.3, ,62.6, ,96, ,45, ,72, ,53.5, ,3.7, ,89.9, ,72.5, 
103,6/27/2022,178,0.22, ,0, ,675, ,14.3, ,82.3, ,51.8, ,63.3, ,97, ,49, ,72, ,54.1, ,3.4, ,81.7, ,72.8, 
103,6/28/2022,179,0.25, ,0, ,719, ,13.1, ,89.4, ,49.2, ,66.2, ,98, ,31, ,60, ,51.8, ,3.3, ,78.5, ,73.6, 
103,6/29/2022,180,0.23, ,0, ,716, ,12.6, ,78.3, ,45.2, ,60.0, ,97, ,44, ,71, ,50.7, ,3.7, ,88.9, ,73.1, 
103,6/30/2022,181,0.21, ,0, ,661, ,13.1, ,76.9, ,50.1, ,60.7, ,93, ,47, ,72, ,51.7, ,3.6, ,86.1, ,73.7, 
