217,6/1/2022,152,0.25, ,0, ,731, ,13.9, ,83.0, ,51.9, ,66.9, ,91, ,40, ,62, ,53.4, ,3.5, ,84.6, ,69.3, 
217,6/2/2022,153,0.23, ,0, ,688, ,15.5, ,80.6, ,53.4, ,65.2, ,97, ,52, ,73, ,56.4, ,3.4, ,82.4, ,69.9, 
217,6/3/2022,154,0.15, ,0, ,492, ,15.9, ,73.7, ,55.3, ,61.8, ,98, ,67, ,84, ,57.0, ,3.4, ,81.4, ,70.2, 
217,6/4/2022,155,0.16, ,0, ,527, ,15.2, ,74.9, ,54.2, ,62.4, ,98, ,62, ,79, ,55.9, ,3.1, ,74.5, ,69.7, 
217,6/5/2022,156,0.23, ,0, ,711, ,15.6, ,78.9, ,54.0, ,66.2, ,97, ,45, ,71, ,56.5, ,3.2, ,77.6, ,69.5, 
217,6/6/2022,157,0.23, ,0, ,709, ,17.4, ,79.5, ,56.9, ,67.0, ,100, ,58, ,77, ,59.5, ,3.3, ,80.3, ,70.6, 
217,6/7/2022,158,0.23, ,0,H,723, ,16.8, ,79.8, ,55.0, ,66.4, ,99, ,57, ,76, ,58.6, ,3.3, ,78.8, ,71.5, 
217,6/8/2022,159,0.23, ,0, ,719, ,16.7, ,83.1, ,55.2, ,66.8, ,100, ,50, ,75, ,58.5, ,3.2, ,75.8, ,71.7, 
217,6/9/2022,160,0.23, ,0, ,679, ,17.6, ,84.9, ,55.2, ,67.6, ,100, ,50, ,76, ,59.8, ,3.1, ,74.0, ,72.0, 
217,6/10/2022,161,0.24, ,0,H,713, ,18.1, ,87.2, ,55.1, ,69.0, ,99, ,47, ,75, ,60.6, ,3.0, ,71.6, ,72.2, 
217,6/11/2022,162,0.24, ,0,H,719, ,18.0, ,85.2, ,58.6, ,69.1, ,100, ,43, ,74, ,60.5, ,3.2, ,75.6, ,72.4, 
217,6/12/2022,163,0.23, ,0,H,706, ,17.2, ,80.1, ,57.4, ,66.4, ,100, ,52, ,78, ,59.3, ,3.3, ,80.1, ,72.6, 
217,6/13/2022,164,0.22, ,0, ,678, ,16.7, ,78.1, ,56.6, ,66.7, ,99, ,57, ,75, ,58.5, ,3.6, ,85.4, ,72.5, 
217,6/14/2022,165,0.24, ,0, ,727, ,15.8, ,79.3, ,53.4, ,66.7, ,94, ,54, ,71, ,56.9, ,3.6, ,87.5, ,72.4, 
217,6/15/2022,166,0.25, ,0.06, ,721, ,16.9, ,85.0, ,55.8, ,68.8, ,94, ,47, ,71, ,58.8, ,3.5, ,84.6, ,72.6, 
217,6/16/2022,167,0.23, ,0.05, ,710, ,17.7, ,80.4, ,56.5, ,66.3, ,100, ,60, ,81, ,60.1, ,3.4, ,80.9, ,73.1, 
217,6/17/2022,168,0.22, ,0.06, ,679, ,14.2, ,73.9, ,52.6, ,64.0, ,93, ,54, ,70, ,53.9, ,4.4, ,104.5, ,73.4, 
217,6/18/2022,169,0.24, ,0.06, ,741, ,12.7, ,75.1, ,50.4, ,62.0, ,94, ,43, ,67, ,50.8, ,4.0, ,94.9, ,72.8, 
217,6/19/2022,170,0.26, ,0.05, ,747, ,12.2, ,80.1, ,51.1, ,66.3, ,91, ,33, ,55, ,49.8, ,4.0, ,96.5, ,72.3, 
217,6/20/2022,171,0.29, ,0.07, ,755,R,10.7,Y,94.6,Y,53.9, ,73.9, ,75, ,11, ,37,Y,46.3,Y,4.2, ,100.8, ,72.2, 
217,6/21/2022,172,0.26, ,0.07, ,736, ,14.0, ,87.8, ,55.7, ,71.3, ,97, ,35, ,53, ,53.5, ,3.6, ,85.6, ,72.7, 
217,6/22/2022,173,0.23, ,0.07, ,656, ,15.6, ,84.7, ,54.7, ,69.2, ,98, ,36, ,64, ,56.5, ,3.2, ,76.1, ,73.0, 
217,6/23/2022,174,0.25, ,0.08, ,722, ,16.0, ,87.2, ,57.8, ,70.3, ,97, ,30, ,63, ,57.2, ,3.3, ,79.8, ,73.3, 
217,6/24/2022,175,0.26, ,0.06, ,748, ,14.9, ,87.0, ,53.4, ,69.6, ,97, ,34, ,60, ,55.2, ,3.1, ,75.5, ,73.7, 
217,6/25/2022,176,0.25, ,0.06, ,736, ,16.2, ,85.8, ,54.5, ,69.0, ,100, ,39, ,67, ,57.5, ,3.1, ,74.3, ,73.9, 
217,6/26/2022,177,0.26, ,0.06, ,739, ,16.1, ,87.5, ,56.6, ,70.4, ,97, ,39, ,64, ,57.4, ,3.1, ,75.0, ,74.0, 
217,6/27/2022,178,0.26, ,0.07, ,720, ,16.1, ,90.0, ,57.6, ,73.7, ,93, ,33, ,57, ,57.4, ,3.3, ,79.6, ,74.2, 
217,6/28/2022,179,0.26, ,0.07, ,723, ,16.9, ,91.8,Y,56.8, ,73.5, ,98, ,35, ,60, ,58.8, ,3.1, ,74.5, ,74.6, 
217,6/29/2022,180,0.25, ,0.06, ,705, ,18.1, ,86.4, ,57.7, ,70.8, ,96, ,48, ,71, ,60.7, ,3.2, ,76.1, ,74.9, 
217,6/30/2022,181,0.23, ,0.00, ,692, ,17.4, ,83.2, ,57.8, ,68.6, ,100, ,51, ,73, ,59.6, ,3.3, ,80.3, ,75.1, 
