187,6/1/2022,152,0.26, ,0, ,723, ,10.7, ,87.6, ,40.1, ,64.4, ,93, ,27, ,52, ,46.4, ,4.4, ,104.6, ,68.8, 
187,6/2/2022,153,0.25, ,0, ,671, ,11.3, ,78.9, ,50.5, ,63.7, ,84, ,32, ,56, ,47.8, ,6.4, ,154.2, ,69.3, 
187,6/3/2022,154,0.22, ,0, ,639, ,14.0, ,75.0, ,50.7, ,62.8, ,91, ,56, ,72, ,53.5, ,5.6, ,134.1, ,69.5, 
187,6/4/2022,155,0.13, ,0.01, ,352, ,12.2, ,75.2, ,55.4, ,63.7, ,90, ,40, ,60, ,49.8, ,4.5, ,108.0, ,69.7, 
187,6/5/2022,156,0.10, ,0.03, ,332, ,17.5,Y,75.9, ,56.5, ,65.4, ,94, ,68, ,82,Y,59.8,Y,4.7, ,112.5, ,69.6, 
187,6/6/2022,157,0.26, ,0, ,745,R,12.8, ,78.6, ,49.8, ,64.7, ,90, ,43, ,61, ,51.2, ,5.8, ,138.5, ,69.7, 
187,6/7/2022,158,0.26, ,0, ,707, ,11.3, ,80.9, ,44.0, ,62.8, ,94, ,38, ,58, ,47.7, ,5.7, ,137.2, ,69.7, 
187,6/8/2022,159,0.25, ,0, ,675, ,12.4, ,79.7, ,52.9, ,66.1, ,73, ,42, ,56, ,50.2, ,6.0, ,143.3, ,69.8, 
187,6/9/2022,160,0.28, ,0, ,675, ,12.4, ,91.3, ,47.4, ,70.8,H,90,H,25,H,48, ,50.3, ,5.7, ,137.0, ,70.2, 
187,6/10/2022,161,0.30,R,0, ,725, ,16.6,Y,96.7,Y,55.9, ,75.9,Y,83,H,33,H,55,Y,58.3,Y,6.4, ,152.9, ,71.7,Y
187,6/11/2022,162,0.29, ,0, ,712, ,17.8,Y,89.2, ,62.7,Y,74.5,Y,84, ,38, ,61,Y,60.2,Y,8.5, ,204.1, ,72.4,Y
187,6/12/2022,163,0.24, ,0, ,666, ,15.6, ,78.0, ,55.8, ,65.4, ,91, ,53, ,73, ,56.6, ,7.8, ,188.2, ,72.6,Y
187,6/13/2022,164,0.27, ,0, ,750,R,10.8, ,77.5, ,52.1, ,64.4, ,76, ,34, ,52, ,46.5, ,7.4, ,178.6, ,72.2,Y
187,6/14/2022,165,0.29, ,0, ,736, ,11.3, ,86.1, ,52.9, ,69.3, ,76, ,26, ,46, ,47.8, ,5.8, ,140.3, ,71.9,Y
187,6/15/2022,166,0.28, ,0, ,745, ,11.5, ,84.1, ,47.8, ,64.7, ,88, ,31, ,55, ,48.2, ,6.6, ,158.5, ,72.0,Y
187,6/16/2022,167,0.27, ,0, ,737, ,11.1, ,73.4, ,48.9, ,61.0, ,79, ,46, ,61, ,47.4, ,10.0, ,240.9, ,71.9,Y
187,6/17/2022,168,0.24, ,0, ,699, ,11.2, ,69.7, ,51.8, ,60.1, ,82, ,46, ,63, ,47.5, ,8.1, ,194.2, ,71.4, 
187,6/18/2022,169,0.26, ,0, ,743, ,10.5, ,72.6, ,45.5, ,60.1, ,87, ,36, ,59, ,45.7, ,6.3, ,150.7, ,71.0, 
187,6/19/2022,170,0.27,R,0, ,740, ,11.2, ,83.8, ,42.5, ,64.4, ,92, ,30, ,54, ,47.6, ,5.1, ,123.2, ,70.8, 
187,6/20/2022,171,0.29, ,0, ,730, ,11.5, ,92.9, ,46.6, ,70.0, ,88, ,21, ,46, ,48.3, ,4.6, ,109.6, ,71.1, 
187,6/21/2022,172,0.30,R,0, ,748, ,11.3, ,103.2,Y,48.7, ,78.0,Y,89,H,14,H,34,Y,47.7,Y,3.7, ,89.2, ,71.9, 
187,6/22/2022,173,0.26,R,0, ,669, ,14.2, ,97.1, ,54.2, ,73.5, ,79, ,26, ,50, ,53.8, ,4.0, ,94.8, ,73.0,Y
187,6/23/2022,174,0.26, ,0, ,716, ,14.9, ,88.2, ,53.6, ,69.3, ,85, ,39, ,61, ,55.2, ,4.2, ,99.9, ,73.7,Y
187,6/24/2022,175,0.25, ,0, ,741, ,14.4, ,84.7, ,50.1, ,65.9, ,91, ,43, ,66, ,54.3, ,4.2, ,100.2, ,74.1,Y
187,6/25/2022,176,0.24, ,0, ,739, ,14.3, ,82.2, ,49.6, ,63.8, ,94, ,47, ,71, ,54.1, ,4.4, ,105.6, ,74.1,Y
187,6/26/2022,177,0.24, ,0, ,709, ,14.7, ,85.2, ,51.3, ,63.9, ,94, ,44, ,72, ,54.9, ,4.2, ,100.0, ,74.1,Y
187,6/27/2022,178,0.26, ,0, ,735, ,13.6, ,89.0, ,49.3, ,65.2, ,93, ,32, ,64, ,52.7, ,5.0, ,118.9, ,74.2,Y
187,6/28/2022,179,0.27, ,0, ,749,R,12.9, ,84.4, ,51.3, ,65.8, ,93, ,33, ,60, ,51.3, ,5.8, ,139.5, ,74.2,Y
187,6/29/2022,180,0.24, ,0, ,755,R,13.1, ,77.5, ,46.4, ,60.5, ,94, ,48, ,73, ,51.7, ,5.4, ,130.0, ,74.1,Y
187,6/30/2022,181,0.22, ,0, ,716, ,13.0, ,74.9, ,48.0, ,59.9, ,92, ,48, ,74, ,51.6, ,5.8, ,138.6, ,73.9,Y
