193,6/1/2022,152,0.15, ,0, ,613, ,12.4, ,57.4, ,48.1, ,52.2, ,100, ,84, ,93, ,50.2, ,7.0, ,167.5, ,62.8, 
193,6/2/2022,153,0.17, ,0, ,669, ,12.7, ,59.0, ,51.0, ,54.2, ,96, ,74, ,89, ,50.9, ,7.1, ,171.2, ,62.7, 
193,6/3/2022,154,0.13, ,0, ,502, ,14.7, ,61.7, ,50.5, ,55.6, ,100, ,89, ,97, ,54.8, ,5.6, ,134.3, ,63.0, 
193,6/4/2022,155,0.13, ,0, ,509, ,13.8, ,61.4, ,52.1, ,56.1, ,100, ,65, ,90, ,53.2, ,5.4, ,128.8, ,63.2, 
193,6/5/2022,156,0.16,R,0.04, ,577, ,17.0, ,67.1,Y,56.1, ,60.4,Y,100, ,87, ,95,Y,59.0,Y,6.0, ,143.9, ,63.8, 
193,6/6/2022,157,0.19, ,0.01, ,725, ,13.9, ,59.5, ,52.0, ,55.8, ,100, ,84, ,91, ,53.3, ,6.5, ,155.3, ,64.4, 
193,6/7/2022,158,0.14, ,0, ,571, ,12.9, ,59.0, ,47.8, ,54.2, ,99, ,81, ,90, ,51.2, ,5.9, ,141.6, ,64.0, 
193,6/8/2022,159,0.17, ,0, ,620, ,13.5, ,62.1, ,51.7, ,56.0, ,99, ,76, ,88, ,52.6, ,5.8, ,140.2, ,63.7, 
193,6/9/2022,160,0.19, ,0,R,763,R,12.8, ,64.5, ,56.4, ,60.0, ,98, ,54, ,72, ,51.0, ,6.7, ,160.9, ,64.0, 
193,6/10/2022,161,0.20,R,0, ,751,R,14.9, ,66.7,Y,50.3, ,59.0, ,95, ,80, ,87, ,55.2, ,5.1, ,121.7, ,64.4, 
193,6/11/2022,162,0.20,R,0, ,753,R,15.6, ,67.3,Y,53.4, ,59.3, ,99, ,81, ,91, ,56.6, ,5.8, ,140.1, ,65.0, 
193,6/12/2022,163,0.14, ,0, ,521, ,15.3, ,64.3, ,54.0, ,57.9, ,100, ,86, ,93, ,56.0, ,8.1, ,195.6, ,65.3,Y
193,6/13/2022,164,0.21, ,0, ,767,R,12.2, ,58.8, ,50.6, ,54.5, ,94, ,74, ,84, ,49.9, ,9.5, ,228.9, ,64.8, 
193,6/14/2022,165,0.19, ,0, ,763,R,12.2, ,57.9, ,44.4,Y,53.1, ,97, ,79, ,89, ,49.8, ,5.2, ,125.1, ,64.2, 
193,6/15/2022,166,0.18, ,0, ,729, ,12.5, ,58.5, ,49.2, ,53.8, ,97, ,83, ,89, ,50.6, ,5.7, ,137.0, ,64.0, 
193,6/16/2022,167,0.19, ,0, ,755,R,12.9, ,58.3, ,51.2, ,54.4, ,94, ,82, ,89, ,51.3, ,8.0, ,191.0, ,64.0, 
193,6/17/2022,168,0.19, ,0, ,736, ,13.7, ,59.9, ,52.0, ,55.7, ,96, ,85, ,90, ,52.9, ,5.6, ,134.7, ,63.9, 
193,6/18/2022,169,0.20, ,0, ,759,R,13.1, ,59.4, ,47.9, ,54.8, ,99, ,78, ,90, ,51.8, ,6.9, ,164.9, ,64.2, 
193,6/19/2022,170,0.19, ,0, ,744, ,12.5, ,58.5, ,43.5,Y,53.4, ,97, ,82, ,90, ,50.5, ,5.4, ,129.2, ,64.3, 
193,6/20/2022,171,0.19, ,0, ,748, ,12.9, ,58.5, ,48.1, ,53.7, ,97, ,83, ,92, ,51.3, ,5.8, ,140.1, ,64.2, 
193,6/21/2022,172,0.21,R,0, ,755,R,13.3, ,--,S,49.8, ,59.9,Y,95,H,62,H,76,Y,52.1,Y,6.2, ,148.1, ,64.5, 
193,6/22/2022,173,0.18, ,0, ,688, ,13.5, ,64.9, ,47.2, ,55.2, ,98, ,75, ,91, ,52.6, ,6.0, ,143.2, ,64.7, 
193,6/23/2022,174,0.13, ,0, ,527, ,13.8, ,57.2, ,51.4, ,53.7, ,100, ,93, ,98, ,53.1, ,5.9, ,141.0, ,64.4, 
193,6/24/2022,175,0.14, ,0, ,576, ,13.7, ,58.2, ,50.7, ,53.7, ,100, ,91, ,97, ,52.9, ,5.9, ,142.1, ,64.1, 
193,6/25/2022,176,0.10, ,0.00, ,399, ,13.9, ,58.9, ,50.5, ,53.9, ,100, ,89, ,98, ,53.4, ,5.3, ,127.8, ,64.0, 
193,6/26/2022,177,0.08, ,0.01, ,358, ,14.3, ,59.1, ,51.5, ,54.8, ,100, ,91, ,98, ,54.2, ,4.4, ,105.7, ,64.0, 
193,6/27/2022,178,0.08, ,0, ,335, ,14.3, ,58.3, ,52.0, ,54.8, ,100, ,92, ,98, ,54.1, ,5.8, ,139.5, ,64.0, 
193,6/28/2022,179,0.18, ,0, ,689, ,14.0, ,62.2, ,51.9, ,56.1, ,100, ,78, ,91, ,53.6, ,6.4, ,154.2, ,64.0, 
193,6/29/2022,180,0.16, ,0, ,574, ,13.9, ,60.2, ,53.0, ,55.6, ,99, ,84, ,92, ,53.3, ,8.1, ,193.9, ,64.4, 
193,6/30/2022,181,0.13, ,0, ,501, ,13.5, ,59.0, ,53.4, ,55.4, ,95, ,83, ,90, ,52.6, ,6.6, ,158.6, ,64.4, 
